player_name,player_key,school,school_key,position_raw,position,year,ras_score,source_url
Steve Trapilo,steve trapilo,Boston College,boston college,OG,IOL,1987,8.46,https://ras.football/ras-information/?PlayerID=335
Todd Peat,todd peat,Northern Illinois,northern illinois,OG,IOL,1987,3.85,https://ras.football/ras-information/?PlayerID=357
Tyrone Sorrells,tyrone sorrells,Georgia Tech,georgia tech,OG,IOL,1987,9.23,https://ras.football/ras-information/?PlayerID=375
Al Smith,al smith,Utah State,utah state,LB,LB,1987,6.45,https://ras.football/ras-information/?PlayerID=2
Alex Gordon,alex gordon,Cincinnati,cincinnati,LB,LB,1987,1.94,https://ras.football/ras-information/?PlayerID=5
Bob Ontko,bob ontko,Penn State,penn state,LB,LB,1987,4.52,https://ras.football/ras-information/?PlayerID=18
Bruce Holmes,bruce holmes,Minnesota,minnesota,LB,LB,1987,0.65,https://ras.football/ras-information/?PlayerID=33
Byron Evans,byron evans,Arizona,arizona,LB,LB,1987,4.19,https://ras.football/ras-information/?PlayerID=37
Charles Faucette,charles faucette,Maryland,maryland,LB,LB,1987,3.55,https://ras.football/ras-information/?PlayerID=43
Danny Lockett,danny lockett,Arizona,arizona,LB,LB,1987,6.77,https://ras.football/ras-information/?PlayerID=76
Dave Wyman,dave wyman,Stanford,stanford,LB,LB,1987,8.06,https://ras.football/ras-information/?PlayerID=83
David Brandon,david brandon,Memphis,memphis,LB,LB,1987,0.97,https://ras.football/ras-information/?PlayerID=86
David Dudley,david dudley,Arkansas,arkansas,LB,LB,1987,3.87,https://ras.football/ras-information/?PlayerID=87
Don Graham,don graham,Penn State,penn state,LB,LB,1987,6.13,https://ras.football/ras-information/?PlayerID=97
Doug Bartlett,doug bartlett,Northern Illinois,northern illinois,LB,LB,1987,9.68,https://ras.football/ras-information/?PlayerID=101
Hardy Nickerson,hardy nickerson,California,california,LB,LB,1987,2.26,https://ras.football/ras-information/?PlayerID=134
Henry Rolling,henry rolling,UNLV,unlv,LB,LB,1987,8.71,https://ras.football/ras-information/?PlayerID=138
Ilia Jarostchuk,ilia jarostchuk,New Hampshire,new hampshire,LB,LB,1987,7.74,https://ras.football/ras-information/?PlayerID=141
Johnny Holland,johnny holland,Texas A&M,texas a&m,LB,LB,1987,7.1,https://ras.football/ras-information/?PlayerID=184
Larry Kelm,larry kelm,Texas A&M,texas a&m,LB,LB,1987,5.81,https://ras.football/ras-information/?PlayerID=211
Marc Munford,marc munford,Nebraska,nebraska,LB,LB,1987,4.84,https://ras.football/ras-information/?PlayerID=224
Mike Reid,mike reid,Wisconsin,wisconsin,LB,LB,1987,2.58,https://ras.football/ras-information/?PlayerID=247
Onzy Elam,onzy elam,Tennessee State,tennessee state,LB,LB,1987,5.16,https://ras.football/ras-information/?PlayerID=257
Ray Berry,ray berry,Baylor,baylor,LB,LB,1987,1.29,https://ras.football/ras-information/?PlayerID=272
Rick Graf,rick graf,Wisconsin,wisconsin,LB,LB,1987,10.0,https://ras.football/ras-information/?PlayerID=280
Ronnie Moten,ronnie moten,Florida,florida,LB,LB,1987,7.42,https://ras.football/ras-information/?PlayerID=301
Tim Jordan,tim jordan,Wisconsin,wisconsin,LB,LB,1987,9.03,https://ras.football/ras-information/?PlayerID=348
Tim Pidgeon,tim pidgeon,Syracuse,syracuse,LB,LB,1987,8.39,https://ras.football/ras-information/?PlayerID=352
Toby Caston,toby caston,Louisiana State,louisiana state,LB,LB,1987,3.23,https://ras.football/ras-information/?PlayerID=355
Todd Howard,todd howard,Texas A&M,texas a&m,LB,LB,1987,2.9,https://ras.football/ras-information/?PlayerID=356
Victor Simmons,victor simmons,Central State,central state,LB,LB,1987,1.61,https://ras.football/ras-information/?PlayerID=377
Walter Johnson,walter johnson,Louisiana Tech,louisiana tech,LB,LB,1987,9.35,https://ras.football/ras-information/?PlayerID=381
Winston Moss,winston moss,Miami,miami,LB,LB,1987,5.48,https://ras.football/ras-information/?PlayerID=391
Archie Harris,archie harris,William & Mary,william & mary,OT,OT,1987,7.89,https://ras.football/ras-information/?PlayerID=11
Bob Riley,bob riley,Indiana,indiana,OT,OT,1987,8.95,https://ras.football/ras-information/?PlayerID=20
Brian Williams,brian williams,Central Michigan,central michigan,OT,OT,1987,1.58,https://ras.football/ras-information/?PlayerID=30
Bruce Armstrong,bruce armstrong,Louisville,louisville,OT,OT,1987,9.47,https://ras.football/ras-information/?PlayerID=31
Chris Conlin,chris conlin,Penn State,penn state,OT,OT,1987,3.16,https://ras.football/ras-information/?PlayerID=47
Chris Gambol,chris gambol,Iowa,iowa,OT,OT,1987,10.0,https://ras.football/ras-information/?PlayerID=48
Danny Villa,danny villa,Arizona State,arizona state,OT,OT,1987,3.68,https://ras.football/ras-information/?PlayerID=78
Dave Croston,dave croston,Iowa,iowa,OT,OT,1987,2.11,https://ras.football/ras-information/?PlayerID=81
Doug Riesenberg,doug riesenberg,California,california,OT,OT,1987,6.84,https://ras.football/ras-information/?PlayerID=104
Ed Simmons,ed simmons,Eastern Washington,eastern washington,OT,OT,1987,4.74,https://ras.football/ras-information/?PlayerID=105
James Hansen,james hansen,Utah,utah,OT,OT,1987,8.42,https://ras.football/ras-information/?PlayerID=145
Joe Macesker,joe macesker,Texas-El Paso,texasel paso,OT,OT,1987,7.37,https://ras.football/ras-information/?PlayerID=169
John Clay,john clay,Missouri,missouri,OT,OT,1987,2.63,https://ras.football/ras-information/?PlayerID=177
John Gesek,john gesek,Sacramento State,sacramento state,OT,OT,1987,5.26,https://ras.football/ras-information/?PlayerID=179
Mark Dennis,mark dennis,Illinois,illinois,OT,OT,1987,5.79,https://ras.football/ras-information/?PlayerID=229
Ralph Van Dyke,ralph van dyke,Southern Illinois,southern illinois,OT,OT,1987,4.21,https://ras.football/ras-information/?PlayerID=269
Tom Welter,tom welter,Nebraska,nebraska,OT,OT,1987,1.05,https://ras.football/ras-information/?PlayerID=361
Victor Perry,victor perry,Georgia,georgia,OT,OT,1987,6.32,https://ras.football/ras-information/?PlayerID=376
Bill Ransdell,bill ransdell,Kentucky,kentucky,QB,QB,1987,4.62,https://ras.football/ras-information/?PlayerID=15
Chris Miller,chris miller,Oregon,oregon,QB,QB,1987,7.69,https://ras.football/ras-information/?PlayerID=52
Cody Carlson,cody carlson,Baylor,baylor,QB,QB,1987,6.92,https://ras.football/ras-information/?PlayerID=61
Don Majkowski,don majkowski,Virginia,virginia,QB,QB,1987,8.46,https://ras.football/ras-information/?PlayerID=98
Doug Hudson,doug hudson,Nicholls State,nicholls state,QB,QB,1987,3.85,https://ras.football/ras-information/?PlayerID=103
Jeff Van Raaphorst,jeff van raaphorst,Arizona State,arizona state,QB,QB,1987,5.38,https://ras.football/ras-information/?PlayerID=155
