player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Savion Washington,130505,T,SYRACUSE,13,0,304,74.0,2,12,633,100.0,100.0,98.4,1,17,3,674,674,62.9,0,6,194,100.0,100.0,96.9,9,3,208,208
Mark Petry,123053,G,SYRACUSE,13,0,304,68.2,3,17,634,100.0,100.0,97.9,2,23,3,673,673,52.1,2,11,193,100.0,100.0,95.6,15,2,207,207
Ryan Baer,156362,T,PITTSBURGH,13,0,268,53.4,8,31,590,100.0,100.0,95.7,6,45,6,635,635,46.2,4,18,189,100.0,100.0,93.7,23,1,205,205
Malik Williams,128441,T,S JOSE ST,13,0,285,44.9,8,19,582,100.0,100.0,97.7,1,27,0,631,631,26.4,5,12,218,100.0,100.0,96.1,17,0,239,239
Hayden Conner,144723,G,TEXAS,16,0,311,85.4,4,11,589,100.0,100.0,98.7,0,15,0,617,617,70.2,1,6,162,100.0,100.0,97.8,7,0,170,170
Peseti Lapuaho,159070,T,S JOSE ST,13,0,285,16.7,10,22,567,100.0,100.0,96.5,5,36,4,615,615,6.4,6,12,216,100.0,100.0,94.9,20,2,236,236
Jordan Seaton,183886,T,COLORADO,13,3,143,75.3,6,21,568,100.0,100.0,97.1,8,30,3,612,612,74.6,2,12,240,100.0,100.0,96.2,16,2,269,269
CJ James Jr.,151192,C,UTSA,13,0,331,77.6,1,10,578,100.0,100.0,99.0,3,11,0,612,612,64.6,0,5,164,100.0,100.0,98.5,5,0,177,177
Sheridan Wilson,157336,C,TEXAS TECH,13,0,315,87.5,3,9,581,100.0,100.0,99.0,0,12,0,610,610,81.4,0,5,170,100.0,100.0,98.5,5,0,179,179
Caleb Rogers,123157,T,TEXAS TECH,13,0,315,77.3,4,14,581,100.0,100.0,97.8,3,22,4,610,610,67.2,1,6,170,100.0,100.0,96.2,10,3,179,179
BJ Williams,170127,G,PITTSBURGH,13,1,268,68.9,8,13,570,100.0,100.0,97.6,1,24,3,610,610,49.1,5,5,186,100.0,100.0,95.7,13,3,198,198
Jake Majors,123123,C,TEXAS,16,0,311,85.4,2,13,577,100.0,100.0,98.7,0,15,0,602,602,84.5,1,3,154,100.0,100.0,98.7,4,0,161,161
Ka'ena Decambra,146066,T,HAWAII,12,0,180,74.0,2,19,576,100.0,100.0,97.8,2,23,2,602,602,69.7,1,14,264,100.0,100.0,96.8,16,1,281,281
Ryan Linthicum,144122,C,CLEMSON,14,0,140,65.6,3,19,569,100.0,100.0,97.4,0,26,4,600,600,50.8,1,11,197,100.0,100.0,94.9,16,4,207,207
DJ Chester,172473,C,LSU,13,1,211,64.6,3,18,559,100.0,100.0,97.6,2,24,3,592,592,48.7,1,14,222,100.0,100.0,95.7,17,2,237,237
Jakob Bradford,144039,G,SYRACUSE,13,0,304,71.5,3,15,557,99.8,99.8,98.2,0,19,1,590,591,67.9,2,10,170,100.0,100.0,96.5,12,0,181,181
Kamar Missouri,129890,T,UTSA,13,0,331,45.4,3,27,559,100.0,100.0,96.6,0,34,4,590,590,24.4,2,16,162,100.0,100.0,93.2,20,2,175,175
Braydon Nelson,190617,G,N TEXAS,12,0,251,52.9,5,24,544,100.0,100.0,97.2,0,30,1,582,582,26.1,3,11,114,100.0,100.0,93.0,15,1,126,126
Blake Miller,156248,T,CLEMSON,14,0,140,76.4,2,15,548,100.0,100.0,98.3,1,18,1,579,579,68.4,1,10,194,100.0,100.0,96.6,12,1,204,204
Miles Frazier,123626,G,LSU,13,1,211,88.0,1,12,545,100.0,100.0,98.8,1,13,0,579,579,81.7,0,8,213,100.0,100.0,98.1,8,0,228,228
Francis Mauigoa,170088,T,MIAMI FL,13,2,220,72.2,1,17,534,100.0,100.0,98.1,4,19,1,576,576,65.3,0,11,205,100.0,100.0,96.8,12,1,221,221
Zach Carpenter,101539,C,MIAMI FL,13,1,220,81.3,3,10,534,100.0,100.0,98.2,3,16,3,576,576,76.9,1,7,205,100.0,100.0,96.6,11,3,221,221
Pichon Wimbley,158371,G,GA SOUTHRN,13,0,174,85.9,2,8,523,100.0,100.0,98.7,0,12,2,566,566,69.7,1,4,119,100.0,100.0,96.2,7,2,135,135
Kuao Peihopa,146489,G,HAWAII,12,1,180,62.0,4,17,544,100.0,100.0,97.9,3,22,1,566,566,43.2,4,16,256,100.0,100.0,96.1,20,0,271,271
Xavier Hill,124098,G,MEMPHIS,13,0,218,86.4,2,10,529,100.0,100.0,98.5,0,14,2,561,561,78.1,1,8,227,100.0,100.0,97.6,10,1,240,240
Cameron Williams,163867,T,TEXAS,15,1,311,72.6,3,18,539,100.0,100.0,97.1,3,26,5,561,561,55.7,3,5,140,100.0,100.0,93.6,13,5,147,147
Chris Adams,145359,T,MEMPHIS,13,1,218,81.1,4,15,528,99.8,99.8,98.2,2,19,0,560,561,66.7,4,12,227,100.0,100.0,96.5,16,0,240,240
Lyndon Cooper,143987,C,PITTSBURGH,12,0,268,77.4,3,7,519,100.0,100.0,98.7,1,12,2,560,560,66.6,1,3,154,100.0,100.0,98.7,4,0,169,169
Jonah Gambill,121763,G,MEMPHIS,13,0,218,74.8,3,13,527,100.0,100.0,98.5,1,16,0,559,559,62.2,2,10,227,100.0,100.0,97.4,12,0,240,240
Jarrod Hufford,99440,C,IOWA STATE,14,0,193,72.4,0,12,520,100.0,100.0,98.7,3,13,1,559,559,60.8,0,8,184,100.0,100.0,97.3,9,1,197,197
Trent Holler,105818,C,MEMPHIS,13,1,218,84.7,1,3,527,100.0,100.0,98.9,1,8,4,558,558,78.4,1,3,225,100.0,100.0,97.8,7,3,238,238
Will Campbell,157106,T,LSU,12,0,211,80.6,5,11,524,100.0,100.0,98.1,1,18,2,558,558,73.7,4,8,214,100.0,100.0,97.2,12,0,229,229
Emery Jones Jr.,157117,T,LSU,12,1,211,67.4,4,23,522,100.0,100.0,97.2,4,28,1,556,556,62.7,2,18,213,100.0,100.0,95.3,20,0,228,228
Emmanuel Pregnon,128427,G,USC,13,1,326,67.5,5,13,532,100.0,100.0,98.3,1,18,0,555,555,48.2,3,7,174,100.0,100.0,97.1,10,0,185,185
Evan Wibberley,156645,C,W KENTUCKY,14,0,346,86.3,0,10,526,100.0,100.0,99.0,1,10,0,553,553,76.1,0,7,161,100.0,100.0,97.8,7,0,173,173
Marshall Jackson,72689,T,W KENTUCKY,14,1,346,75.1,3,20,526,100.0,100.0,97.1,1,27,4,553,553,71.4,0,13,161,100.0,100.0,94.7,15,2,173,173
Mehki Butler,147056,G,ARK STATE,13,0,113,75.8,0,15,518,100.0,100.0,98.4,0,16,1,550,550,65.6,0,11,205,100.0,100.0,97.3,11,0,217,217
Anez Cooper,162732,G,MIAMI FL,13,1,220,69.9,4,12,509,100.0,100.0,97.8,2,19,3,550,550,49.0,2,10,194,100.0,100.0,95.4,15,3,209,209
Derek Bowman,123654,T,USF,13,1,327,61.3,6,19,506,100.0,100.0,96.9,3,28,3,547,547,52.3,3,8,147,100.0,100.0,95.6,12,1,164,164
Tyler Miller,122526,T,IOWA STATE,14,0,193,54.5,3,31,507,100.0,100.0,96.4,1,35,1,544,544,32.2,2,22,180,100.0,100.0,92.8,25,1,193,193
Quantavious Leslie,123456,G,W KENTUCKY,14,0,346,83.0,3,6,516,100.0,100.0,99.1,1,9,0,543,543,68.6,3,1,157,100.0,100.0,98.7,4,0,169,169
Brady Wilson,121508,C,UAB,12,0,321,86.1,4,5,515,100.0,100.0,99.1,0,9,0,542,542,85.4,1,2,184,100.0,100.0,99.2,3,0,197,197
Bryson Broadway,137997,T,GA SOUTHRN,13,1,174,64.8,2,24,498,100.0,100.0,96.4,6,31,5,541,541,52.1,1,10,105,100.0,100.0,92.9,13,2,121,121
T.J. Session,102316,T,CAL,12,1,130,68.6,4,19,502,100.0,100.0,96.1,2,31,8,539,539,57.1,3,8,135,100.0,100.0,93.0,15,4,144,144
Aliou Bah,157068,G,MARYLAND,12,0,215,60.0,3,12,507,100.0,100.0,98.3,4,16,1,539,539,42.7,1,11,182,100.0,100.0,96.2,13,1,198,198
Kelvin Banks Jr.,163839,T,TEXAS,15,0,311,89.9,2,7,515,100.0,100.0,98.9,1,10,1,538,538,80.8,0,4,142,100.0,100.0,98.6,4,0,147,147
Dylan Fairchild,146716,G,GEORGIA,14,0,173,87.0,1,7,501,100.0,100.0,99.0,1,9,1,536,536,78.6,0,5,153,100.0,100.0,97.7,6,1,170,170
Noah Smith,147054,T,ARK STATE,13,1,113,36.8,6,33,504,100.0,100.0,95.1,4,44,5,535,535,23.3,3,24,200,100.0,100.0,91.7,30,3,211,211
Marist Talavou,72200,G,S JOSE ST,12,0,285,86.9,1,8,497,100.0,100.0,99.1,1,9,0,534,534,75.9,0,6,194,100.0,100.0,98.5,6,0,212,212
Xavier Truss,99082,T,GEORGIA,14,2,173,71.7,1,14,494,100.0,100.0,97.7,4,19,4,531,531,60.2,1,11,158,100.0,100.0,96.2,12,0,175,175
Aamil Wagner,156973,T,NOTRE DAME,16,0,258,72.2,4,23,494,100.0,100.0,96.9,2,29,2,529,529,70.7,2,17,199,100.0,100.0,94.2,21,2,218,218
Cory Godinet,174093,G,UTSA,13,1,331,43.3,3,12,498,100.0,100.0,98.3,1,16,1,529,529,22.9,1,8,137,100.0,100.0,96.0,10,1,149,149
Iapani Laloulu,174128,C,OREGON,14,0,264,80.6,4,6,498,100.0,100.0,99.0,1,10,0,528,528,82.5,2,1,163,100.0,100.0,99.1,3,0,170,170
Cole Rhett,171386,T,TOLEDO,13,0,316,45.8,5,31,494,100.0,100.0,94.5,1,45,9,527,527,39.1,3,17,179,100.0,100.0,92.2,24,4,188,188
Carter Fouty,156989,G,TOLEDO,13,1,316,55.6,4,14,494,100.0,100.0,98.0,2,19,1,527,527,38.4,4,8,179,100.0,100.0,96.1,13,1,188,188
David Stickle,122419,C,RICE,12,1,275,60.0,5,17,506,100.0,100.0,97.2,1,25,3,527,527,52.0,1,7,151,100.0,100.0,96.7,9,1,156,156
Ajani Cornelius,142968,T,OREGON,14,0,264,72.4,4,22,497,100.0,99.8,96.8,3,29,3,526,527,55.8,3,17,161,100.0,100.0,92.5,22,2,168,168
Brant Banks,101581,T,RICE,12,0,275,77.4,3,11,505,100.0,100.0,98.2,0,16,2,526,526,65.0,3,7,151,100.0,100.0,96.0,11,1,156,156
Josh Conerly Jr.,163291,T,OREGON,14,0,264,83.6,2,6,494,99.6,99.4,99.0,1,9,1,523,526,78.1,1,3,161,100.0,100.0,98.8,4,0,168,168
Alani Noa,176640,G,USC,13,0,326,51.1,0,14,505,100.0,100.0,98.4,0,15,1,523,523,32.9,0,8,162,100.0,100.0,97.5,8,0,171,171
Ethan Spoth,156998,G,TOLEDO,13,1,316,77.5,1,11,489,100.0,100.0,98.8,1,12,0,522,522,68.8,1,7,176,100.0,100.0,97.7,8,0,185,185
Jaylen Garth,123115,T,UTSA,13,1,331,65.7,7,13,489,100.0,100.0,96.9,4,25,5,520,520,54.6,5,9,147,100.0,100.0,92.5,18,4,159,159
Brendan Black,174658,G,IOWA STATE,14,0,193,26.1,1,27,482,100.0,100.0,96.7,0,30,2,518,518,22.5,0,15,177,100.0,100.0,94.6,17,2,190,190
Mason Murphy,74236,T,USC,12,0,326,58.2,11,13,498,100.0,100.0,97.0,1,27,3,517,517,42.7,8,8,166,100.0,100.0,94.0,18,2,174,174
PJ Williams,158685,T,SMU,14,0,287,79.1,4,13,474,99.8,99.8,98.0,6,18,1,516,517,68.2,2,7,160,100.0,100.0,96.6,10,1,171,171
Drew Azzopardi,158777,T,WASHINGTON,13,0,340,45.9,4,18,497,100.0,100.0,96.4,0,29,7,515,515,37.8,3,12,156,100.0,100.0,93.9,17,2,163,163
Matt Craycraft,162694,C,DUKE,13,0,154,76.1,0,5,486,100.0,100.0,99.1,0,7,2,515,515,49.3,0,4,150,100.0,100.0,97.3,6,2,160,160
Brian Parker II,162699,T,DUKE,13,0,154,85.4,1,9,486,100.0,100.0,99.0,0,10,0,515,515,75.9,1,7,150,100.0,100.0,97.3,8,0,160,160
Ethan Crowe,130330,C,BALL ST,12,0,117,85.9,3,3,490,100.0,100.0,99.2,0,7,1,514,514,76.8,2,2,142,100.0,100.0,98.6,4,0,150,150
Alan Herron,181445,T,MARYLAND,12,0,215,49.6,14,19,483,100.0,100.0,95.5,0,38,5,514,514,35.8,9,13,176,100.0,100.0,92.6,24,2,193,193
Jonah Monheim,86461,C,USC,12,0,326,69.3,2,14,495,100.0,100.0,98.4,0,16,0,514,514,66.0,1,6,166,100.0,100.0,97.9,7,0,174,174
E'Marion Harris,157022,G,ARKANSAS,13,0,111,48.6,5,28,493,100.0,100.0,95.4,1,39,6,513,513,40.9,2,17,212,100.0,100.0,92.7,25,6,223,223
Alec Johnson,156693,C,GA STATE,12,0,175,63.0,4,10,479,100.0,100.0,98.1,1,16,2,512,512,66.8,1,1,128,100.0,100.0,98.4,3,1,143,143
Trevor Timmons,145577,T,GA STATE,12,0,175,55.4,5,29,479,100.0,100.0,96.0,0,36,2,511,511,29.1,2,18,131,100.0,100.0,90.8,22,2,146,146
Jared Wilson,146717,C,GEORGIA,12,1,173,84.9,1,5,475,100.0,100.0,99.4,2,6,0,511,511,90.5,0,1,161,100.0,100.0,99.7,1,0,179,179
Josh Kaltenberger,129819,C,MARYLAND,12,1,215,75.7,3,6,479,100.0,100.0,98.6,1,11,2,511,511,74.5,0,1,165,100.0,100.0,98.5,3,2,181,181
Wyatt Bowles,81896,G,UTAH ST,12,0,329,64.3,3,12,483,100.0,100.0,98.0,1,17,2,510,510,56.8,0,4,98,100.0,100.0,96.9,5,1,105,105
Brock Dieu,146503,G,WASH STATE,13,1,341,86.5,0,6,479,100.0,100.0,99.4,3,6,0,509,509,80.5,0,5,144,100.0,100.0,98.3,5,0,157,157
Davion Carter,158004,G,TEXAS TECH,13,0,315,86.2,0,8,483,100.0,100.0,99.0,0,9,1,509,509,77.9,0,6,149,100.0,100.0,98.0,6,0,158,158
Walter Young Bear,133127,G,TULSA,12,2,320,69.5,2,11,478,100.0,100.0,98.4,3,14,1,508,508,53.9,1,5,181,100.0,100.0,97.8,7,1,190,190
Kasen Carpenter,173292,C,TULSA,12,0,320,64.8,1,15,475,100.0,100.0,98.1,0,17,1,507,507,48.4,0,8,180,100.0,100.0,97.2,9,1,189,189
Fernando Carmona,146185,T,ARKANSAS,13,1,111,68.9,3,14,487,100.0,100.0,97.2,1,22,5,507,507,71.8,1,8,209,100.0,100.0,95.9,13,4,220,220
Jon Mucciolo,108593,G,BALL ST,12,0,117,72.5,3,8,484,100.0,100.0,98.5,1,13,2,507,507,59.6,1,7,142,100.0,100.0,96.5,9,1,149,149
Dustyn Hall,101036,C,E CAROLINA,13,0,156,78.4,2,6,475,100.0,100.0,99.2,0,8,0,506,506,75.3,1,2,97,100.0,100.0,98.5,3,0,106,106
Parker Moorer,99422,T,E CAROLINA,13,2,156,72.8,6,11,475,99.8,99.8,98.0,4,18,1,506,507,55.1,3,5,98,100.0,100.0,94.9,9,1,107,107
Braylen Nelson,146050,T,FRESNO ST,13,0,169,64.3,6,22,474,100.0,100.0,96.6,2,30,2,505,505,56.4,2,15,178,100.0,100.0,94.7,18,1,196,196
Chayse Todd,97851,C,TEXAS ST,13,0,314,82.3,1,3,480,100.0,100.0,99.4,3,5,1,503,503,77.2,0,2,119,100.0,100.0,99.2,2,0,131,131
Dorion Strawn,150063,T,TEXAS ST,13,0,314,79.2,5,18,480,99.8,99.8,97.0,0,26,3,503,504,72.3,2,6,119,100.0,100.0,95.0,10,2,131,131
Mickey Rewolinski,130473,G,E MICHIGAN,12,0,160,86.4,1,5,472,100.0,100.0,99.2,1,7,1,502,502,86.2,0,4,194,100.0,100.0,99.0,4,0,205,205
Nick Dawkins,129773,C,PENN STATE,16,0,266,53.8,3,24,482,100.0,100.0,96.8,1,29,2,501,501,42.8,3,14,204,100.0,100.0,94.9,19,2,213,213
Febechi Nwaiwu,145324,G,OKLAHOMA,13,0,261,72.1,0,12,471,100.0,100.0,97.9,0,16,4,501,501,59.5,0,7,143,100.0,100.0,96.2,9,2,155,155
Jakai Clark,97645,C,SMU,14,0,287,88.0,0,6,462,100.0,100.0,99.1,3,7,1,500,500,79.8,0,4,153,100.0,100.0,98.7,4,0,164,164
James Brockermeyer,125681,C,TCU,12,0,305,81.1,1,7,477,100.0,100.0,99.0,3,9,1,500,500,72.9,1,2,114,100.0,100.0,97.8,4,1,119,119
Spencer Holstege,101600,G,UCLA,12,0,324,57.5,3,25,477,100.0,100.0,96.6,0,30,2,500,500,38.2,3,20,215,100.0,100.0,93.7,25,2,232,232
Josh Carlin,72075,G,UCLA,12,0,324,53.2,2,22,477,100.0,100.0,96.4,1,29,5,500,500,29.4,2,21,215,100.0,100.0,92.3,28,5,232,232
Esa Pole,174220,T,WASH STATE,13,1,341,85.8,3,6,468,100.0,100.0,99.0,1,9,0,499,499,82.2,2,3,144,100.0,100.0,98.3,5,0,157,157
Coleton Price,158567,C,BAYLOR,13,1,118,66.3,1,10,461,100.0,100.0,98.6,3,12,1,499,499,59.3,1,4,115,100.0,100.0,97.0,6,1,124,124
Mateo Guevara,156598,G,MIDDLE TN,12,0,224,48.9,0,12,475,100.0,100.0,98.5,2,13,1,499,499,22.2,0,9,157,100.0,100.0,96.5,10,1,171,171
Coltin Deery,162790,G,TCU,13,0,305,69.5,2,8,476,100.0,100.0,98.7,3,11,1,498,498,61.8,2,3,118,100.0,100.0,97.9,5,0,124,124
Olaivavega Ioane,164174,G,PENN STATE,16,0,266,74.9,1,16,478,99.6,99.6,98.2,0,17,0,497,499,68.9,1,10,205,100.0,100.0,97.3,11,0,214,214
Bryce Benhart,98531,T,NEBRASKA,13,0,238,67.7,2,25,462,99.8,99.8,96.2,0,31,4,496,497,57.5,1,16,195,100.0,100.0,94.1,20,3,211,211
Ben Scott,98398,C,NEBRASKA,13,0,238,82.6,1,12,462,99.8,99.8,98.4,1,14,1,496,497,71.2,1,10,195,100.0,100.0,97.2,11,0,211,211
Justin Evans,156464,G,NEBRASKA,13,1,238,66.7,0,8,462,99.8,99.8,98.7,3,10,2,496,497,46.6,0,6,195,100.0,100.0,97.4,8,2,211,211
Jacob Bayer,150349,C,ARK STATE,12,0,113,81.9,0,9,465,100.0,100.0,98.8,1,10,1,496,496,69.2,0,5,187,100.0,100.0,98.1,6,1,199,199
Reece McIntyre,98383,C,OLE MISS,13,0,226,70.0,4,10,466,100.0,100.0,98.1,0,16,2,495,495,73.0,0,3,111,100.0,100.0,97.7,4,1,123,123
Drew Shelton,164186,T,PENN STATE,16,0,266,65.7,2,14,476,100.0,100.0,97.9,1,18,2,495,495,59.0,1,9,201,100.0,100.0,97.0,11,1,210,210
Justin Osborne,99071,G,SMU,14,1,287,75.7,3,7,456,100.0,100.0,98.2,3,13,3,494,494,60.0,1,5,157,100.0,100.0,96.8,8,2,168,168
Jacarrius Peak,157418,T,NC STATE,13,2,248,79.5,3,13,461,99.8,99.8,97.8,4,18,2,494,495,74.1,1,9,163,100.0,100.0,96.3,11,1,180,180
JonDarius Morgan,146917,T,UAB,12,0,321,57.8,10,14,469,99.8,99.8,96.2,0,30,6,494,495,38.3,9,9,168,100.0,100.0,93.5,20,2,181,181
Simione Pale,176626,G,STANFORD,12,0,300,59.0,1,21,459,100.0,100.0,97.4,3,23,1,493,493,48.6,0,16,157,100.0,100.0,94.3,17,1,171,171
R.J. Perry,124292,T,USF,12,1,327,70.8,6,15,458,100.0,100.0,97.3,3,23,2,493,493,58.6,3,10,126,100.0,100.0,94.0,14,1,140,140
Joe Michalski,99426,C,OKLA STATE,12,1,262,81.6,1,3,459,100.0,100.0,99.3,1,5,1,492,492,71.2,1,1,105,100.0,100.0,98.1,3,1,111,111
Hampton Ergle,123795,G,E CAROLINA,13,1,156,41.9,5,14,462,100.0,100.0,97.1,2,23,4,492,492,16.5,3,7,94,100.0,100.0,93.6,11,1,103,103
Wendell Moe Jr.,158736,G,ARIZONA,12,0,109,88.3,1,10,467,100.0,100.0,98.8,1,11,0,491,491,83.3,1,6,185,100.0,100.0,98.1,7,0,199,199
Bruno Fina,131791,T,DUKE,12,0,154,36.9,5,25,463,99.8,99.8,95.9,0,34,4,490,491,14.8,2,18,142,100.0,100.0,90.8,23,3,152,152
Zeke Correll,53431,C,NC STATE,13,0,248,79.6,2,5,456,100.0,100.0,99.2,0,7,0,489,489,74.7,2,4,158,100.0,100.0,98.1,6,0,175,175
Anthony Carter Jr.,122856,G,NC STATE,13,2,248,73.2,2,10,457,99.8,99.6,98.7,4,12,0,489,491,53.1,2,7,162,100.0,100.0,97.2,9,0,179,179
Hudson Mesa,90875,C,S JOSE ST,11,0,285,52.7,3,11,456,100.0,100.0,98.0,1,16,2,488,488,40.0,3,7,173,100.0,100.0,97.1,10,0,189,189
Elijah Paige,174221,T,USC,13,0,326,65.4,9,17,470,100.0,100.0,96.8,1,28,2,488,488,57.1,6,7,153,100.0,100.0,95.1,14,1,161,161
Ryan Lengyel,144516,G,BAYLOR,13,0,118,78.0,0,6,453,100.0,100.0,99.3,2,6,0,487,487,71.0,0,3,112,100.0,100.0,98.7,3,0,119,119
Josh Baker,131560,C,ARIZONA,11,0,109,85.2,2,7,466,100.0,100.0,99.0,0,9,0,487,487,74.9,1,6,190,100.0,100.0,98.2,7,0,201,201
Da'Metrius Weatherspoon,154759,T,SYRACUSE,13,0,304,62.8,4,18,458,99.8,99.8,96.5,0,27,5,485,486,30.0,2,14,139,100.0,100.0,91.4,20,4,149,149
Josh Fryar,129746,T,OHIO STATE,16,0,260,63.3,2,16,464,100.0,100.0,97.8,2,19,1,485,485,57.5,2,8,171,100.0,100.0,96.5,11,1,177,177
Rush Reimer,147657,G,CAL,12,0,130,73.5,1,10,446,100.0,100.0,97.6,3,16,5,484,484,54.8,1,9,123,100.0,100.0,93.5,13,3,132,132
Alex Padgett,145657,C,BOWL GREEN,13,0,122,71.8,2,6,459,100.0,100.0,98.5,0,11,3,484,484,56.0,2,4,135,100.0,100.0,95.6,9,3,142,142
Ethan Miner,98068,C,MISS STATE,12,0,227,78.6,0,9,448,100.0,100.0,98.3,0,12,3,483,483,82.2,0,3,122,100.0,100.0,98.8,3,0,131,131
Hayden Christman,170453,T,LA TECH,13,0,208,68.0,3,13,470,100.0,100.0,97.2,1,21,5,483,483,59.2,3,8,125,100.0,100.0,94.0,13,2,127,127
Matt Gulbin,144191,G,WAKE,12,0,339,76.4,3,15,446,100.0,100.0,97.8,1,19,1,483,483,69.0,2,11,169,100.0,100.0,96.2,13,0,188,188
Lamar Robinson,164737,G,GA STATE,12,0,175,67.9,4,13,456,100.0,100.0,97.9,1,18,1,482,482,55.1,1,7,122,100.0,100.0,96.7,8,0,132,132
Falepule Alo,128376,C,UTAH ST,11,0,329,74.8,6,6,456,100.0,100.0,98.5,2,13,1,480,480,56.6,2,2,89,100.0,100.0,96.6,5,1,94,94
Nate Pabst,145639,G,BOWL GREEN,13,0,122,68.2,3,10,454,100.0,100.0,97.2,1,19,6,479,479,49.9,3,4,132,100.0,100.0,95.1,10,3,139,139
Nick Malone,99421,T,W VIRGINIA,13,1,343,83.0,1,13,446,100.0,100.0,98.0,1,16,2,479,479,75.5,1,9,148,100.0,100.0,95.9,11,1,158,158
Tomas Rimac,144783,G,W VIRGINIA,13,0,343,82.3,1,8,445,100.0,100.0,99.0,2,9,0,479,479,82.1,0,3,147,100.0,100.0,99.0,3,0,158,158
Greg Johnson,173406,C,MINNESOTA,13,0,225,69.3,3,14,457,100.0,100.0,97.9,0,18,1,479,479,68.1,1,10,235,100.0,100.0,97.2,12,1,246,246
Ja'Quay Hubbard,99678,G,W VIRGINIA,13,0,343,72.2,3,10,445,100.0,100.0,97.6,0,17,4,479,479,69.6,1,5,146,100.0,100.0,96.6,8,2,157,157
Quinn Carroll,98517,T,MINNESOTA,13,0,225,55.5,5,17,457,100.0,100.0,97.2,1,24,2,479,479,48.2,5,15,235,100.0,100.0,95.3,21,1,246,246
Jonah Savaiinaea,158742,T,ARIZONA,11,0,109,82.7,2,9,456,100.0,100.0,97.9,1,15,4,478,478,77.9,2,5,178,100.0,100.0,96.3,10,3,190,190
Joshua Braun,124371,G,ARKANSAS,12,1,111,85.9,2,5,458,100.0,100.0,99.0,2,8,1,478,478,81.2,2,3,194,100.0,100.0,98.2,6,1,205,205
Leif Fautanu,101261,C,ARIZONA ST,14,0,110,80.9,0,10,456,100.0,100.0,98.9,0,10,0,477,477,74.1,0,2,119,100.0,100.0,99.2,2,0,126,126
Sterling Porcher,156590,G,TEXAS TECH,11,0,315,56.0,4,13,458,100.0,100.0,97.1,2,22,5,477,477,27.9,1,10,130,100.0,100.0,93.5,14,3,135,135
Caleb Krings,138412,G,DUKE,13,0,154,72.0,0,9,449,100.0,100.0,99.0,0,9,0,477,477,62.3,0,4,139,100.0,100.0,98.6,4,0,148,148
Richard Pearce,151054,G,NEW MEXICO,12,0,241,70.6,0,6,435,100.0,100.0,99.3,8,6,0,476,476,52.8,0,4,78,100.0,100.0,97.4,4,0,88,88
J'Onre Reed,176030,C,SYRACUSE,12,0,304,69.5,2,11,447,100.0,100.0,98.1,3,15,2,476,476,54.4,2,6,129,100.0,100.0,95.3,10,2,139,139
Baraka Beckett,81883,G,NEW MEXICO,12,1,241,91.5,0,3,434,100.0,100.0,99.7,1,3,0,475,475,89.6,0,0,78,100.0,100.0,100.0,0,0,88,88
Rey Burnett,102277,T,TULSA,12,1,320,48.4,4,23,445,100.0,100.0,95.4,4,34,7,475,475,39.2,4,14,175,100.0,100.0,92.0,23,5,184,184
Pete Nygra,145875,C,LOUISVILLE,13,0,210,70.8,1,14,452,100.0,100.0,98.1,0,16,1,475,475,50.2,0,11,157,100.0,100.0,95.9,12,1,164,164
Jalen Travis,155412,T,IOWA STATE,12,0,193,85.8,2,8,443,100.0,99.8,98.6,1,11,1,475,476,82.5,2,3,146,100.0,100.0,97.6,6,1,156,156
Albert Reese IV,146848,T,MISS STATE,12,1,227,59.2,5,22,442,100.0,100.0,95.8,2,32,5,475,475,51.6,1,14,121,100.0,100.0,91.3,18,3,129,129
Teague Andersen,163424,T,UTAH ST,11,0,329,81.3,2,6,452,100.0,100.0,98.7,3,10,2,474,474,66.8,2,4,93,100.0,100.0,94.6,8,2,98,98
Preston Wilson,99429,G,OKLA STATE,12,0,262,87.0,1,3,443,100.0,100.0,99.5,0,4,0,474,474,84.9,0,2,104,100.0,100.0,99.0,2,0,108,108
Hollin Pierce,129899,T,RUTGERS,13,0,278,80.7,5,15,448,100.0,100.0,97.5,0,21,1,473,473,77.0,4,10,235,100.0,100.0,96.6,15,1,249,249
Simon Wilson,170493,C,MIDDLE TN,12,0,224,73.1,0,6,447,100.0,100.0,99.1,3,7,1,473,473,58.3,0,4,148,100.0,100.0,98.0,5,1,162,162
McKenzie Agnello,160062,C,NEW MEXICO,12,0,241,73.5,1,6,435,100.0,99.8,99.2,1,7,0,473,474,66.0,0,2,78,100.0,100.0,98.7,2,0,88,88
Gus Zilinskas,145132,C,RUTGERS,13,0,278,70.7,2,12,448,100.0,100.0,98.2,1,15,1,473,473,58.9,2,10,235,100.0,100.0,97.4,12,0,249,249
