player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Shomari Lawrence,141839,HB,FIU,8,0,166,40.0,2,1,26,34.7,36.6,94.2,0,3,0,30,82,45.4,0,1,5,25.0,29.2,90.0,1,0,7,24
Jalen Grant,130364,G,PURDUE,3,1,273,43.2,0,1,27,100.0,100.0,94.4,1,2,1,30,30,25.8,0,1,14,100.0,100.0,89.3,2,1,17,17
Jesse Perry,184890,T,TENNESSEE,3,1,307,78.6,0,0,28,100.0,100.0,100.0,2,0,0,30,30,70.9,0,0,1,100.0,100.0,100.0,0,0,1,1
Noah Whittington,123472,HB,OREGON,14,0,264,30.6,0,2,29,14.2,14.2,89.7,0,4,2,30,212,22.7,0,1,8,10.8,11.7,81.2,2,1,9,77
Jake Newell,163273,TE,AKRON,11,0,102,40.5,1,1,28,8.4,8.6,96.4,1,2,0,30,347,23.8,1,1,11,8.8,8.5,90.9,2,0,11,130
Preston Howard,162794,TE,MARYLAND,11,0,215,60.4,0,0,27,12.1,12.3,100.0,1,0,0,30,243,70.7,0,0,2,3.2,2.8,100.0,0,0,2,72
EJ Smith,131782,HB,TEXAS A&M,12,0,312,60.6,0,2,26,26.8,28.2,92.3,0,3,1,29,103,53.2,0,2,15,33.3,35.4,93.3,2,0,17,48
Rahmir Johnson,101655,HB,NEBRASKA,10,0,238,21.6,2,2,28,22.4,21.3,89.3,1,5,1,29,136,12.7,2,1,16,26.7,25.8,84.4,4,1,17,66
Dean Abdullah,158775,C,S DIEGO ST,3,0,284,65.0,0,1,27,100.0,100.0,98.1,0,1,0,29,29,68.4,0,0,8,100.0,100.0,100.0,0,0,10,10
Terrance Ferguson,146563,TE,OREGON,12,0,264,57.1,1,0,28,8.8,8.6,98.2,2,1,0,29,338,29.9,0,0,2,1.8,1.8,100.0,0,0,2,113
Ihson Jackson-Anderson,157474,HB,E MICHIGAN,7,0,160,60.9,0,0,27,32.5,33.3,92.6,0,2,2,29,87,42.3,0,0,13,41.9,43.8,84.6,2,2,14,32
Geirean Hatchett,131898,C,OKLAHOMA,1,0,261,45.7,1,1,28,100.0,100.0,92.9,0,3,1,29,29,79.8,0,0,8,100.0,100.0,100.0,0,0,9,9
Evan Poticher,189847,TE,MIDDLE TN,7,0,224,47.0,0,0,28,32.6,32.6,100.0,1,0,0,29,89,25.9,0,0,2,14.3,20.0,100.0,0,0,3,15
Caleb Nitta,174796,C,VA TECH,1,0,337,70.9,0,0,26,100.0,100.0,100.0,0,0,0,29,29,54.0,0,0,9,100.0,100.0,100.0,0,0,11,11
Kristian Phillips,158395,G,MICH STATE,1,0,223,80.2,0,0,26,100.0,100.0,100.0,0,0,0,29,29,69.8,0,0,9,100.0,100.0,100.0,0,0,10,10
Braden Miller,158392,G,CAL,2,0,130,87.3,0,0,29,100.0,100.0,100.0,0,0,0,29,29,82.0,0,0,8,100.0,100.0,100.0,0,0,8,8
Tyler Lawrence,186432,T,AIR FORCE,6,0,101,27.4,4,1,27,100.0,100.0,90.7,0,5,0,29,29,18.4,4,1,12,100.0,100.0,79.2,5,0,13,13
Eli Acker,124121,G,OLE MISS,5,0,226,79.9,0,0,27,100.0,100.0,100.0,0,0,0,29,29,82.2,0,0,8,100.0,100.0,100.0,0,0,9,9
Braylen Russell,184393,HB,ARKANSAS,8,0,111,48.0,0,1,27,31.8,33.0,94.4,1,2,1,29,88,19.9,0,1,9,23.7,25.6,83.3,2,1,10,39
Matthew Nehf,171238,G,C MICHIGAN,4,0,134,31.5,0,2,27,100.0,100.0,96.3,0,2,0,29,29,20.1,0,1,12,100.0,100.0,95.8,1,0,12,12
Sean Brown,99181,TE,JVILLE ST,13,0,196,53.1,0,1,26,14.4,14.9,94.2,0,2,1,29,194,35.4,0,1,5,11.4,10.2,70.0,2,1,5,49
Jake Boust,146027,TE,FRESNO ST,8,0,169,54.8,2,1,26,25.5,25.9,94.2,0,3,0,29,112,32.7,0,1,3,13.6,11.1,83.3,1,0,3,27
Vincent Santos,128280,TE,NEW MEXICO,9,0,241,52.5,0,0,24,75.0,78.4,100.0,0,0,0,29,37,49.3,0,0,8,100.0,100.0,100.0,0,0,10,10
Sullivan Absher,171074,T,NOTRE DAME,6,0,258,77.8,0,1,26,100.0,100.0,98.1,0,1,0,29,29,61.7,0,1,5,100.0,100.0,90.0,1,0,6,6
Bentley Hanshaw,51984,TE,LIBERTY,10,0,206,59.2,0,1,27,13.8,13.9,98.1,3,1,0,29,209,39.5,0,1,5,9.1,9.8,90.0,1,0,6,61
Jadan Baugh,184417,HB,FLORIDA,13,0,163,67.2,0,2,27,23.7,23.9,96.3,0,2,0,28,117,77.9,0,0,3,9.4,9.1,100.0,0,0,3,33
Devon Manuel,146633,T,FLORIDA,3,0,163,82.9,0,1,27,100.0,100.0,98.1,0,1,0,28,28,75.8,0,1,10,100.0,100.0,95.0,1,0,10,10
Quinshon Judkins,157128,HB,OHIO STATE,16,1,260,29.9,0,2,28,16.5,15.8,96.4,1,2,0,28,177,60.4,0,1,5,12.8,12.2,90.0,1,0,5,41
Tyler Foster,98497,TE,OKLA STATE,12,0,262,68.2,0,0,24,20.5,21.7,100.0,0,0,0,28,129,49.3,0,0,2,10.5,10.5,100.0,0,0,2,19
Anthony Miller,175984,TE,TULANE,10,0,319,59.3,0,1,25,38.5,38.9,90.0,0,3,2,28,72,,0,0,0,0.0,0.0,,0,0,0,10
Terrell McDonald,97922,TE,UAB,12,0,321,44.4,0,2,27,17.0,16.7,92.6,0,3,1,28,168,54.4,0,0,7,21.2,20.0,85.7,1,1,7,35
Jimothy Lewis Jr.,184758,T,MISS STATE,4,0,227,71.1,0,0,26,100.0,100.0,100.0,0,0,0,28,28,78.4,0,0,4,100.0,100.0,100.0,0,0,5,5
Marlon Gunn Jr.,162642,HB,E CAROLINA,11,0,156,86.0,0,0,27,40.3,40.0,100.0,0,0,0,28,70,81.0,0,0,7,53.8,50.0,100.0,0,0,7,14
Dante Dowdell,174131,HB,NEBRASKA,12,0,238,46.7,0,3,26,27.1,26.7,90.4,0,4,1,28,105,60.9,0,2,9,32.1,33.3,88.9,2,0,10,30
Jamari Ferrell,71409,HB,WYOMING,12,0,351,52.8,2,3,27,28.4,28.0,90.7,1,5,0,28,100,37.0,2,1,11,33.3,31.4,86.4,3,0,11,35
Lincoln Pare,121537,HB,TEXAS ST,11,1,314,37.2,0,4,27,25.2,25.2,92.6,1,4,0,28,111,55.0,0,1,11,35.5,35.3,95.5,1,0,12,34
