player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Deco Wilson,125381,S,FL A&M,12,0,164,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.3,1,311,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Isaiah Wadsworth,139159,CB,WOFFORD,12,0,350,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.3,1,310,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Landon Barrett,186004,LB,MCNEESE,2,0,217,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,5.6,1,18,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Garrett Baldwin,177370,S,HOLY CROSS,3,0,181,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,4.8,1,21,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Brian Holmes,193462,S,AVEMAR,2,0,1450,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.8,1,56,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Deven Jarvis,70770,LB,RU,1,0,1529,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,4.8,1,21,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Markus Strong,173720,DI,OKLAHOMA,1,0,261,0,0,0,0,0,0,100.0,2,2,100.0,2,2,0,0,100.0,2,2,2,100.0,0,0,0,0,0.0,0,0,,0,0,0,2,2,0
Tyris Harvey,138009,CB,ROB MORRIS,11,0,277,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.3,1,354,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Chris Hope,138995,S,E TENN ST,6,0,157,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.5,1,184,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Todd Bumphis,123557,S,BOWL GREEN,6,0,122,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,1.2,1,81,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Cade Law,126476,LB,N CAROLINA,1,0,245,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,1,1,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Ryan Turner,156485,CB,BOSTON COL,5,0,121,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.0,1,96,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Justin Ross,189517,CB,NAVY,4,0,237,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,6.7,1,15,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Kam Sallis,173118,LB,KANSAS ST,2,0,199,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,25.0,1,4,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Marcus Clarke,122208,CB,MISSOURI,4,0,229,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,5.6,1,18,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Ben Minich,171092,S,NOTRE DAME,4,0,258,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,6.3,1,16,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Xavier Scott,158226,CB,ILLINOIS,13,0,187,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.2,1,437,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Jacob Williams,155300,LB,TEXAS STHN,1,0,313,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,2.6,1,39,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Danny Simms,168605,S,MERRIMACK,4,0,385,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.6,1,38,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Clay Martineau,184232,LB,BOISE ST,2,0,120,0,0,0,0,0,0,,0,0,,0,0,0,0,50.0,1,2,1,100.0,0,0,0,0,,0,0,,0,0,0,1,1,0
Jackson Vick,157406,CB,NC STATE,10,0,248,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.4,1,74,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Jordan Burns,188881,LB,TENNESSEE,1,0,307,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,50.0,1,2,1,100.0,0,0,0,0,100.0,1,1,100.0,1,0,0,1,0,0
Jaylyn Monds,184057,CB,E MICHIGAN,2,0,160,0,0,0,0,0,0,100.0,1,1,100.0,1,0,0,0,3.7,1,27,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,0,0
Mekhi Bigelow,163757,LB,NC CENT,7,0,247,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,1.9,1,53,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Audavion Collins,163676,CB,PENN STATE,13,0,266,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.7,1,139,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Lathan Croley,191893,LB,HOLY CROSS,2,0,181,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,10.0,1,10,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Matt Baer,158254,ED,SMU,1,0,287,1,0,0,0,0,0,50.0,1,1,100.0,1,1,0,0,100.0,2,2,2,75.0,0,1,0,0,50.0,1,1,50.0,0,0,0,1,1,0
Trent Henry,168495,CB,TROY,10,0,318,1,0,0,1,0,0,50.0,1,1,50.0,0,0,0,0,1.4,2,138,2,75.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Jordan Okoye,172819,LB,SE LA,7,0,294,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,5.6,2,36,2,75.0,0,0,1,0,100.0,2,2,75.0,1,1,0,1,1,0
Celeycan Hill,171837,CB,TENN MARTN,11,0,310,0,1,0,0,0,0,50.0,1,1,100.0,1,1,0,1,2.6,2,78,2,75.0,0,0,1,1,50.0,1,1,50.0,0,0,0,1,1,0
Josiah Allen,157885,CB,UTEP,12,0,330,0,0,0,0,0,0,33.3,1,1,100.0,1,1,0,0,0.8,3,368,2,66.7,0,0,0,0,66.7,2,1,50.0,1,1,0,2,2,0
Blake Davis,189217,CB,GRAMBLING,9,0,177,0,0,0,0,0,0,100.0,3,2,66.7,2,2,0,0,1.1,3,285,2,66.7,0,0,0,0,0.0,0,0,,0,0,0,2,2,0
Camden Jones,196756,DI,SOUTHERN U,1,0,297,0,2,0,0,2,0,100.0,3,3,66.7,1,1,0,0,100.0,3,3,3,66.7,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Nyland Green,146720,CB,PURDUE,8,0,273,0,1,0,0,1,0,50.0,2,1,25.0,0,0,0,0,1.7,4,229,3,62.5,0,0,0,0,50.0,2,2,100.0,2,2,0,2,2,0
Cahari Haynes,174991,LB,APP STATE,5,0,108,0,1,0,0,1,2,100.0,4,3,62.5,2,2,0,2,16.7,4,24,3,62.5,0,0,0,0,0.0,0,0,,0,0,0,2,2,0
Kobee Minor,123148,CB,MEMPHIS,11,0,218,2,0,0,2,0,0,60.0,3,2,33.3,0,0,0,0,1.3,5,378,4,60.0,0,0,0,0,40.0,2,2,100.0,2,2,0,2,2,0
Gabe Taylor,129865,S,RICE,12,0,275,2,0,0,0,0,0,40.0,2,2,100.0,2,2,0,0,1.6,5,322,4,60.0,0,2,0,0,60.0,3,2,33.3,0,0,0,2,2,0
Chase Regan,184308,S,JAMES MAD,4,0,197,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,8.3,1,12,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Zashon Rich,188692,CB,KANSAS ST,6,0,199,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.3,1,76,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
David Godsey Jr.,133044,CB,LA MONROE,12,0,209,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.3,1,373,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Joshua McTier,145282,CB,FROSTB,1,0,880,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,10.0,1,10,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
J.J. Roberts,123399,S,MARSHALL,13,0,214,0,1,0,0,0,0,,0,0,,0,0,0,0,0.2,1,447,1,50.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Jalik Yancey,189090,CB,SAMFORD,6,0,282,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.6,2,127,1,50.0,0,0,0,0,100.0,2,1,50.0,1,1,0,1,1,0
Therrian Alexander III,183757,CB,BYU,7,0,128,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,2.9,1,34,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Bryce West,183712,CB,OHIO STATE,3,0,260,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,5.6,1,18,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Javis Mynatt,160007,S,WOFFORD,12,0,350,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,0.5,1,184,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
King Ambers,160026,CB,TXAMCO,12,0,1139,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,0.6,1,168,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Vaboue Toure,183613,S,PENN STATE,4,0,266,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,6.3,1,16,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Hurapha Maybin,195897,LB,ED WATERS,1,0,372,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,14.3,1,7,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jacob Finley,158063,CB,N ILLINOIS,13,0,254,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.7,2,297,1,50.0,0,0,0,0,100.0,2,1,50.0,1,1,0,1,1,0
Zemaiah Vaughn,131882,CB,UTAH,12,0,328,0,2,0,0,1,1,16.7,1,1,50.0,0,0,0,1,1.6,6,371,4,50.0,0,0,1,0,83.3,5,3,50.0,2,2,0,2,2,0
Bernard Stewart III,186062,CB,ALAB A&M,2,0,104,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,6.3,1,16,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
D'Arcy Harris,197439,S,WARNER,1,0,407,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,5.9,1,17,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Caleb Anderson,122629,CB,LA LAFAYET,9,0,207,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,1.1,1,94,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Cam Jackson,185964,DI,DAVIDSON,1,0,149,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,1,1,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Ja'Cari Henderson,158439,CB,UCF,7,0,323,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.9,1,54,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
P.J. Hall,122748,S,MO STATE,9,0,230,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0.5,1,191,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jamier Johnson,144730,CB,INDIANA,12,0,190,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,0.3,1,361,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jackson Finefrock,185006,CB,N ARIZONA,2,0,252,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,5.9,1,17,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Lyrik Rawls,144661,S,OKLA STATE,8,0,262,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,1.0,1,99,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Ja'Markis Weston,98826,ED,FLORIDA,1,0,163,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,2,2,1,50.0,0,0,0,0,100.0,2,1,50.0,1,1,0,1,1,0
Kingston Lopa,184854,S,OREGON,5,0,264,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,7.7,1,13,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Sione Laulea,184853,CB,OREGON,3,0,264,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,4.5,1,22,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Caleb Offord,122908,CB,ALABAMA ST,12,0,105,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.3,1,324,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jacob Clulow,188094,ED,MERCYHURST,1,0,977,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,1,1,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Jeremiah McGill,158766,S,UMASS,12,0,216,2,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.7,2,116,2,50.0,0,2,0,0,100.0,2,2,50.0,0,0,0,0,0,0
Cam Johnson,157661,CB,STNY BROOK,9,0,303,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.5,1,182,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Devin Henderson,184688,S,LIBERTY,2,0,206,0,2,0,0,0,0,0.0,0,0,,0,0,0,1,22.2,2,9,2,50.0,0,0,2,1,100.0,2,2,50.0,0,0,0,0,0,0
John Klosterman,157597,LB,IOWA STATE,2,0,193,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,6.3,1,16,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Will James,172547,CB,SO MISS,12,0,296,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,0.3,1,294,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Luke Evans,172542,CB,MIAMI OH,14,0,221,0,1,0,0,0,0,,0,0,,0,0,0,1,0.3,1,320,1,50.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Korie Black,122958,CB,OKLA STATE,12,0,262,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.3,1,370,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
O.J. Burroughs,144581,S,KANSAS,12,0,198,0,1,0,0,0,0,,0,0,,0,0,0,0,0.2,1,413,1,50.0,0,0,0,0,,0,0,,0,0,0,0,0,0
La'khi Roland,188264,CB,MARYLAND,5,0,215,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.9,1,114,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jayshawn Ross,184546,ED,ALABAMA,1,0,103,1,1,0,1,1,0,100.0,2,2,50.0,0,0,0,0,100.0,2,2,2,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Red Morgan,184542,CB,ALABAMA,10,0,103,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,1.0,1,102,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jackson Stone,159163,S,NEW HAMP,4,0,240,0,0,0,0,0,0,100.0,2,1,50.0,1,1,0,0,9.1,2,22,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Tyree Carlisle,144443,CB,TULSA,9,0,320,0,0,0,0,0,0,50.0,1,1,100.0,1,1,0,0,1.0,2,193,1,50.0,0,0,0,0,50.0,1,0,0.0,0,0,0,1,1,0
Kylin Jackson,172482,S,LSU,6,0,211,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,3.0,1,33,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
TJ Young,148344,LB,ELON,3,0,162,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,5.3,1,19,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Trevon Gola-Callard,172978,S,CINCINNATI,11,0,138,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.9,1,117,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Caden Martinez,148346,LB,ELON,4,0,162,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,5.3,1,19,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Jamal Cooper,159317,S,DARTMOUTH,8,0,148,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.5,1,204,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Payton Edwards,159380,CB,YNGTOWN ST,10,0,353,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.7,1,152,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Mike Smith III,188625,CB,JACKSON ST,5,0,194,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.1,1,48,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Croix Stewart,162469,S,UCLA,9,0,324,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.0,1,49,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Jamarion Evans,178960,S,LAMAR,5,0,204,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,2.8,1,36,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
DJ Bell,162519,CB,MEMPHIS,6,0,218,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0.7,1,146,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Greg Eggleston Jr.,136871,CB,TARLETON,8,0,401,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,1.4,1,73,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Malcom DeWalt IV,190966,CB,AKRON,9,0,102,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.3,1,80,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Josh White,124119,LB,BAYLOR,1,0,118,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,50.0,1,2,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Markeith Williams,162738,S,MIAMI FL,8,0,220,0,3,0,0,0,0,0.0,0,0,,0,0,0,0,2.4,3,124,3,50.0,0,0,3,0,100.0,3,3,50.0,0,0,0,0,0,0
Muhammed Jammeh,145863,S,N ILLINOIS,5,0,254,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,2.0,1,49,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Cooper Aurilia,178404,S,STETSON,7,0,302,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,6.5,2,31,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Terrence Spence,143073,CB,JAMES MAD,13,0,197,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,0.3,1,303,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Keeron Henderson,121575,ED,UCF,1,0,323,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,1,1,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Jacob Perez,178269,LB,IDAHO ST,1,0,186,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,2,2,1,50.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Jeff Utzinger,173390,LB,INDIANA,1,0,190,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,100.0,1,1,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Blake Palladino,191524,LB,N COLORADO,6,0,253,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,4.0,1,25,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Isaiah Reed,148677,CB,BROWN,4,0,123,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,1.5,2,136,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Valentino Diaz,163032,ED,UTEP,1,0,330,0,0,0,0,0,0,100.0,2,1,50.0,1,1,0,0,100.0,2,2,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Darius Lorfils,163110,S,BOWL GREEN,9,0,122,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.5,1,199,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Tyler Gibson,191720,CB,CORNELL,9,0,147,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.0,2,102,1,50.0,0,0,0,0,100.0,2,1,50.0,1,1,0,1,1,0
Zion Branch,74395,S,USC,10,0,326,0,1,0,0,1,0,33.3,1,1,50.0,0,0,0,0,2.4,3,125,2,50.0,0,0,0,0,66.7,2,1,50.0,1,1,0,1,1,0
Jamauri Jackson,88765,S,CAL POLY,5,0,129,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.4,1,41,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Jayden Stanley,155573,S,UC DAVIS,5,0,322,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,1.3,1,78,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jabraivon Woodard,177899,S,CITADEL,4,0,139,2,0,0,1,0,0,50.0,1,1,50.0,0,0,0,0,7.1,2,28,2,50.0,0,1,0,0,50.0,1,1,50.0,0,0,0,0,0,0
Graham Gilmartin,191833,ED,BUTLER,1,0,127,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,100.0,1,1,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Mark Johnson,177787,S,VALPO,10,0,332,0,0,0,0,0,0,100.0,2,1,50.0,1,1,0,0,0.9,2,220,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Diego Addison,196873,S,SCAR STATE,12,0,290,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.3,1,369,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Lawton Cox,177720,LB,PRESBYTERN,1,0,271,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,50.0,1,2,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Justin Fleming,155445,LB,WSRAMS,1,0,1206,0,2,0,0,2,0,100.0,2,2,50.0,0,0,0,0,5.6,2,36,2,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Tim Coutras,147546,S,TENN TECH,12,0,309,0,1,0,0,0,0,,0,0,,0,0,0,0,0.3,1,368,1,50.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Sam Jung,125296,S,N DAK ST,8,0,250,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.5,1,190,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Joseph Barry,177498,LB,YALE,1,0,352,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,33.3,1,3,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Preston Hodge,131462,CB,COLORADO,9,0,143,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.3,1,304,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Alex Kemper,163893,CB,FORDHAM,12,0,168,0,0,0,0,0,0,100.0,2,1,50.0,1,1,0,0,0.6,2,345,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Michael Jordan Jr.,163934,CB,N ALABAMA,2,0,389,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,5.9,1,17,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Vinny Pierre Jr.,177234,S,S ILLINOIS,8,0,295,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,2.5,1,40,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Reed Rus,177202,ED,S DAKOTA,1,0,291,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,1,1,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Xavier Toliver,154606,S,HOUCHR,12,0,183,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.3,1,363,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Ethan Stuhlsatz,171775,LB,LNDNWD,2,0,949,1,1,0,1,1,0,75.0,3,2,33.3,0,0,0,0,13.8,4,29,3,50.0,0,0,0,0,25.0,1,1,100.0,1,1,0,1,1,0
Shawn Riley,148732,LB,COLUMBIA,5,0,145,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,3.2,1,31,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Nyquan Washington,138141,CB,W MICHIGAN,13,0,347,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.4,1,285,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Murvin Kenion III,164351,S,SACRAMENTO,12,0,279,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.3,1,345,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Robert Carter Jr.,154439,CB,ROB MORRIS,12,0,277,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0.5,2,378,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Kyon Loud,192502,CB,MONTANA,13,0,232,1,1,0,0,1,0,50.0,1,1,50.0,0,0,0,0,1.4,2,138,2,50.0,0,1,0,0,50.0,1,1,50.0,0,0,0,0,0,0
Fondren Hollis III,104331,CB,TENN STATE,11,0,308,0,2,0,0,0,0,0.0,0,0,,0,0,0,0,0.9,2,227,2,50.0,0,0,2,0,100.0,2,2,50.0,0,0,0,0,0,0
Jayden Patrick,154239,CB,LNDNWD,12,0,949,0,0,0,0,0,0,100.0,2,1,50.0,1,1,0,0,0.7,2,292,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Lucas Allen,154177,ED,LNDNWD,1,0,949,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,100.0,1,1,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Andrew Vines,171683,S,ST FRANCIS,10,0,299,0,2,0,0,1,1,50.0,1,1,50.0,0,0,0,1,3.4,2,58,2,50.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Tamal Johnson,192655,CB,WEBER ST,4,0,342,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,7.1,1,14,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Tyler Kelly,196673,DI,KYCRST,1,0,1474,0,0,0,0,0,0,50.0,1,1,100.0,1,1,0,0,100.0,2,2,1,50.0,0,0,0,0,50.0,1,0,0.0,0,0,0,1,1,0
Khalil Baker,109119,S,ELON,12,0,162,1,3,0,0,1,1,25.0,1,1,50.0,0,0,0,1,1.0,4,407,4,50.0,0,1,2,0,75.0,3,3,50.0,0,0,0,0,0,0
