player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Derrick Sinegal,151026,LB,ALCORN ST,4,0,107,0,0,0,0,0,0,20.0,1,0,0.0,0,0,0,0,55.6,5,9,0,0.0,0,0,0,0,80.0,4,0,0.0,0,0,0,0,0,0
Kingston McKinstry,151038,LB,E CAROLINA,12,0,156,0,0,0,0,0,0,50.0,4,0,0.0,0,0,1,0,13.1,8,61,0,0.0,0,0,0,0,50.0,4,0,0.0,0,0,0,0,0,1
West Weeks,151101,LB,LSU,5,0,211,0,0,0,0,0,0,33.3,2,0,0.0,0,0,0,0,10.2,6,59,0,0.0,0,0,0,0,66.7,4,0,0.0,0,0,0,0,0,0
Nathaniel Campbell,151124,LB,YALE,8,0,352,0,0,0,0,0,0,31.3,5,0,0.0,0,0,0,0,22.4,17,76,0,0.0,0,0,0,0,68.8,11,0,0.0,0,0,0,0,0,0
Joseph Gonzales,151142,S,YALE,6,0,352,0,0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,5.0,3,60,0,0.0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,0,0
Sean Guyton,151144,CB,YALE,9,0,352,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.5,1,194,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Jack Michalik,151152,ED,YALE,1,0,352,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,50.0,1,2,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Wyatt Raymond,151154,LB,YALE,7,0,352,0,0,0,0,0,0,70.0,14,0,0.0,0,1,1,0,44.7,21,47,0,0.0,0,0,0,0,30.0,6,0,0.0,0,0,0,0,1,1
Walker Warncke,151165,LB,YALE,2,0,352,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,14.3,1,7,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Ethan Taite,151211,LB,ABILENE CH,2,0,100,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,15.4,2,13,0,0.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Giambi Nesbitt,151262,DI,ST FRANCIS,2,0,299,0,0,0,0,0,0,83.3,5,0,0.0,0,0,0,0,100.0,6,6,0,0.0,0,0,0,0,16.7,1,0,0.0,0,0,0,0,0,0
Mason Frye,151271,S,ST FRANCIS,5,0,299,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,18.8,3,16,0,0.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Breon Noel,151309,S,CHARLOTTE,3,0,136,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,10.0,1,10,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Christopher Williams,151326,ED,NAUSTA,1,0,1453,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,13,13,0,0.0,0,0,0,0,100.0,13,0,0.0,0,0,0,0,0,0
Decarlos Johnson,151338,LB,NAUSTA,1,0,1453,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,7.1,1,14,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Andrew Laws,151360,ED,NAUSTA,1,0,1453,0,0,0,0,0,0,100.0,12,0,0.0,0,0,0,0,100.0,12,12,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Neil Campbell,151435,CB,INWSLY,1,0,1451,0,0,0,0,0,0,,0,0,,0,0,0,0,3.6,1,28,0,0.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Clayton Mosher,151449,LB,INWSLY,1,0,1451,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,7.1,2,28,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Anthony Tiritilli-Roberts,151486,DI,INWSLY,1,0,1451,0,0,0,0,0,0,75.0,3,0,0.0,0,0,0,0,80.0,4,5,0,0.0,0,0,0,0,25.0,1,0,0.0,0,0,0,0,0,0
Trevon Pope,151544,S,KY STATE,1,0,378,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,4.3,1,23,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Monte Davis,151548,ED,KY STATE,1,0,378,0,0,0,0,0,0,100.0,22,0,0.0,0,0,0,0,75.9,22,29,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Kyan Gross,151551,ED,KY STATE,1,0,378,0,0,0,0,0,0,20.0,4,0,0.0,0,0,0,0,95.2,20,21,0,0.0,0,0,0,0,80.0,16,0,0.0,0,0,0,0,0,0
Zion Sharpe,151596,DI,MILES,1,0,386,0,0,0,0,0,0,83.3,10,0,0.0,0,0,0,0,100.0,13,13,0,0.0,0,0,0,0,16.7,2,0,0.0,0,0,0,0,0,0
William Hardy,151600,LB,MILES,1,0,386,0,0,0,0,0,0,100.0,2,0,0.0,0,0,0,0,15.4,2,13,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jayden Estes,151712,S,DELWARE ST,4,0,152,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.2,1,83,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Lester McCoy,151851,DI,LINCOLN,1,0,380,0,0,0,0,0,0,61.5,8,0,0.0,0,0,0,0,100.0,13,13,0,0.0,0,0,0,0,38.5,5,0,0.0,0,0,0,0,0,0
Khaleb McRae,151853,CB,LINCOLN,1,0,380,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,5.6,1,18,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Amar Lewis,151976,DI,LOUCHR,1,0,958,0,0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,100.0,3,3,0,0.0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,0,0
Ardell Reed,152001,LB,LOUCHR,1,0,958,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,33.3,1,3,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Tyren Young,152042,S,LOUCHR,1,0,958,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,5.3,1,19,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Isaiah Grant,152127,CB,RU,1,0,1529,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,4.3,1,23,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Tremaine Epps,152159,ED,N GREENVLE,1,0,390,0,0,0,0,0,0,41.7,5,0,0.0,0,0,0,0,92.3,12,13,0,0.0,0,0,0,0,58.3,7,0,0.0,0,0,0,0,0,0
De'Iveon Donald,152212,LB,N GREENVLE,1,0,390,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,21.4,3,14,0,0.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
