player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Tommy Zitiello,147329,LB,ARMY,6,0,11.0,0.0,80.5,,32.0,0,0,0,0.0,114,63.3,62.9,79.6,55.7,63.7,79.3,0,,0.0,0,0,0,39.6,0,33,41,0,2,1,0,0,0,0.0,
Terrell Taylor,147332,S,UTAH ST,3,0,,,100.0,,,1,0,0,,329,42.5,48.4,74.7,,62.3,,0,,,0,0,1,0.0,0,10,10,0,0,0,0,0,0,0.0,
Chance Keith,147333,LB,ARMY,13,3,6.0,77.5,75.6,8.5,6.6,0,1,2,5.0,114,53.9,59.4,91.8,59.1,65.6,60.7,0,42,19.0,4,2,0,109.8,31,273,361,5,14,40,1,334,225,1.3,10.8
Cade Patton,147335,CB,ARMY,1,0,,,100.0,,,0,0,0,,114,62.3,62.9,66.9,,,,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Josiah Banks,147337,S,ARMY,11,1,5.5,83.3,72.7,5.2,4.3,0,0,0,0.0,114,42.0,50.1,85.8,67.6,61.1,34.8,0,30,33.3,1,0,0,113.2,10,56,77,0,1,12,0,134,76,2.6,13.4
Max DiDomenico,147338,S,ARMY,14,2,11.1,52.5,97.1,16.6,8.7,0,1,3,7.5,114,69.2,69.8,88.7,54.1,70.4,83.2,2,18,8.1,3,1,0,53.9,21,362,373,7,32,40,1,197,52,0.6,9.4
Adam Cash,147339,LB,ARMY,5,2,14.8,83.3,93.9,8.8,7.3,0,0,0,0.0,114,48.6,50.5,76.3,67.9,54.5,68.1,0,33,0.0,0,0,0,118.8,5,46,49,2,4,6,0,93,32,2.1,18.6
Brett Gerena,147346,LB,ARMY,13,2,4.6,90.0,79.3,13.8,12.4,0,0,0,0.0,114,69.1,71.7,82.7,58.8,74.4,74.8,0,21,12.5,2,0,0,129.2,9,130,164,9,12,10,1,70,37,0.6,7.8
Damon Washington,147349,CB,ARMY,7,0,19.3,33.3,100.0,33.0,11.0,0,0,0,0.0,114,52.0,54.3,79.5,,66.1,79.3,0,15,0.0,0,0,0,43.1,2,69,69,0,3,6,0,19,2,0.3,9.5
Trey Sofia,147362,ED,ARMY,14,2,,,1.1,,,0,0,0,,114,64.3,58.7,22.8,61.4,57.1,70.0,0,,0.0,0,0,2,0.0,0,2,183,0,2,0,0,0,0,0.0,
Kyle Lewis,147364,ED,ARMY,9,0,1.0,100.0,1.0,2.0,2.0,1,0,0,0.0,114,57.2,70.4,54.4,68.3,70.4,65.4,0,6,75.0,3,0,1,91.7,1,2,191,5,1,1,0,6,5,3.0,6.0
Malcolm Bell,147394,CB,UCONN,8,3,9.6,63.3,98.2,11.4,7.2,0,1,3,10.0,146,77.6,77.9,83.2,67.3,72.7,64.8,0,53,13.0,3,3,1,87.1,19,220,224,6,17,30,0,232,129,1.1,12.2
Tui Faumuina-Brown,147395,LB,UCONN,13,5,3.1,69.2,61.1,9.6,6.6,0,2,7,17.9,146,77.3,70.2,63.7,60.0,66.7,71.3,1,32,19.4,7,6,1,74.1,27,267,437,16,24,39,0,234,182,0.9,8.7
Stan Cross,147396,S,UCONN,2,0,20.0,100.0,100.0,9.0,9.0,0,0,0,0.0,146,41.8,47.0,74.4,,60.7,62.4,0,18,0.0,0,0,0,158.3,1,10,10,0,1,1,1,18,0,2.0,18.0
Durante Jones,147397,S,UCONN,13,3,6.0,86.7,96.3,19.0,16.5,0,0,1,6.7,146,71.4,67.7,0.0,72.5,63.0,64.5,1,21,14.8,4,1,3,92.5,13,257,267,8,20,15,1,113,66,0.5,8.7
Langston Hardy,147407,ED,UCONN,12,1,2.4,100.0,24.6,7.5,7.5,0,0,0,0.0,146,58.0,66.1,90.2,63.5,67.7,65.9,1,26,28.6,4,0,0,75.0,11,84,341,10,9,11,0,122,96,1.5,11.1
Pryce Yates,147408,ED,UCONN,7,1,1.7,100.0,3.9,2.7,2.7,0,0,0,0.0,146,61.3,59.3,34.9,62.1,57.0,46.9,0,17,28.6,2,0,2,134.0,3,8,204,7,4,3,1,20,15,2.5,6.7
Jordan Mahoney,147438,CB,ARK STATE,11,4,20.3,44.8,99.2,17.8,8.0,0,0,5,17.2,113,68.2,69.4,83.4,56.6,72.5,67.1,1,48,5.6,1,4,1,61.3,13,243,245,2,13,29,0,252,73,1.1,19.4
Syrus Dumas,147461,CB,UTSA,10,0,12.4,69.2,96.5,7.6,5.3,0,0,3,7.7,331,65.9,69.1,83.5,56.4,79.7,64.9,0,49,13.0,3,2,2,125.5,27,218,226,8,20,39,3,375,119,1.8,13.9
Dylan Early,147464,S,NEW MEX ST,11,4,13.0,61.3,100.0,15.3,9.4,0,0,5,16.1,242,45.1,48.6,40.9,,57.7,60.1,1,69,9.7,3,2,1,121.8,19,304,304,5,24,31,4,316,157,1.1,16.6
Lorenzo Styles Jr.,147474,CB,OHIO STATE,16,1,6.3,50.0,86.8,10.2,5.1,1,0,3,16.7,260,48.2,53.2,83.9,54.0,78.1,56.1,0,13,25.0,2,3,2,62.0,9,99,114,1,5,18,0,79,53,0.9,8.8
Ryan Barnes,147487,CB,UMASS,7,0,17.3,25.0,97.7,37.0,9.3,0,0,1,25.0,216,91.2,90.2,78.8,60.0,72.5,82.9,1,5,0.0,0,1,0,0.0,1,42,43,2,2,4,0,5,0,0.1,5.0
JoJo Johnson,147488,CB,INDIANA,2,0,4.0,100.0,100.0,8.0,8.0,0,0,0,0.0,190,65.9,67.5,72.2,,64.2,76.6,0,5,0.0,0,0,0,87.5,1,8,8,0,1,1,0,5,1,0.6,5.0
Prince Kollie,147492,LB,VANDERBILT,12,1,0.8,25.0,87.3,53.0,13.3,0,0,1,25.0,333,69.0,70.3,0.0,62.3,72.0,77.1,0,8,0.0,0,1,1,39.6,1,55,63,2,1,4,0,8,10,0.2,8.0
Talan Alfrey,147503,S,BYU,5,0,19.5,0.0,96.8,,14.5,0,0,0,0.0,128,41.9,57.1,78.2,58.8,80.7,86.1,0,,0.0,0,0,0,39.6,0,30,31,0,2,2,0,0,0,0.0,
Blake Mangelson,147517,DI,BYU,13,1,13.0,100.0,1.6,4.0,4.0,0,0,0,0.0,128,50.6,68.7,45.7,63.3,76.7,50.1,1,17,25.0,1,0,2,79.2,1,4,256,2,2,1,0,17,4,4.3,17.0
John Nelson,147520,DI,BYU,13,2,,,0.7,,,0,0,0,,128,56.8,69.4,68.4,61.9,73.7,55.3,0,,50.0,2,0,1,0.0,0,2,275,1,0,0,0,0,0,0.0,
Ethan Slade,147532,S,BYU,3,0,1.0,100.0,100.0,10.5,10.5,0,0,0,0.0,128,57.3,65.6,73.5,,74.7,44.9,0,9,33.3,1,0,0,100.0,2,21,21,0,2,2,0,16,14,0.8,8.0
Tanner Wall,147534,S,BYU,13,2,18.2,44.4,99.7,75.3,33.4,0,0,1,11.1,128,69.5,67.4,42.9,60.0,62.7,65.1,3,39,12.5,3,1,1,38.0,4,315,316,3,19,9,0,83,16,0.3,20.8
Joseph Carter,147544,LB,LIBERTY,12,3,4.2,68.0,85.6,13.4,9.1,0,0,3,12.0,206,66.8,77.1,50.2,55.0,84.2,77.0,0,20,10.3,3,3,1,92.6,17,244,285,11,23,25,1,123,71,0.5,7.2
