player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Mason White,43872,CB,OREGON ST,9,0,15.4,70.0,96.9,7.9,5.5,1,0,0,0.0,265,50.6,54.7,80.3,55.9,64.2,49.8,0,52,11.1,1,0,1,107.1,7,62,64,1,8,10,0,112,34,2.0,16.0
Noah Taylor,52348,LB,NWESTERN,1,0,,,100.0,,,0,0,0,,256,60.0,40.2,68.3,,41.3,73.2,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
DeShawn Pace,53549,LB,UCF,12,1,4.2,85.0,84.5,8.9,7.6,0,0,1,2.5,323,71.1,68.9,31.3,56.0,72.0,56.9,2,30,21.6,8,1,2,84.4,34,321,380,13,28,40,1,290,173,1.0,8.5
Eric Phillips,53572,ED,CINCINNATI,12,0,,,0.4,,,0,0,0,,138,68.5,57.8,23.2,63.3,53.1,53.9,0,,55.6,5,0,4,0.0,0,1,262,5,4,0,0,0,0,0.0,
Iesa Jarmon,53981,CB,AKRON,4,0,5.0,100.0,100.0,15.0,15.0,0,0,0,0.0,102,58.6,61.0,75.2,,64.7,53.5,0,7,0.0,0,0,1,95.8,1,16,16,0,1,1,0,7,2,0.5,7.0
Jaheim Thomas,54193,LB,WISCONSIN,11,3,2.7,68.8,79.7,14.1,9.7,0,0,0,0.0,349,52.1,66.7,6.2,67.9,75.5,89.0,0,25,0.0,0,0,2,86.7,11,165,207,7,8,16,0,105,93,0.7,9.5
Cheikhsaliou Fall,54240,ED,CAL,13,2,,,1.2,,,1,0,0,,130,58.3,52.7,27.3,53.5,57.3,59.2,0,,40.0,2,0,2,0.0,0,2,172,1,1,0,0,0,0,0.0,
Jaiden Cameron,62277,ED,NWESTERN,6,0,,,3.6,,,0,0,0,,256,60.9,53.2,78.4,63.8,46.1,45.5,0,,0.0,0,0,0,0.0,0,1,28,0,1,0,0,0,0,0.0,
Alex Howard,62494,LB,DUKE,13,2,4.7,73.9,79.6,14.5,10.7,0,1,1,4.3,154,64.6,62.4,27.3,74.5,56.0,64.3,0,26,21.4,6,1,4,92.1,17,262,329,16,20,23,0,157,66,0.6,9.2
Barry Brown,62724,LB,COAST CAR,13,4,2.2,90.9,81.6,8.5,7.7,1,0,0,0.0,141,55.8,58.5,1.2,67.9,60.9,46.3,0,28,21.1,4,0,3,99.8,20,177,217,7,11,22,0,175,140,1.0,8.8
Kam Butler,63872,ED,VIRGINIA,12,1,-3.0,100.0,7.6,13.5,13.5,1,0,1,50.0,335,63.0,71.2,62.3,74.9,64.2,47.5,0,25,37.5,6,1,2,118.8,2,30,396,9,9,2,0,29,35,1.1,14.5
Josh Minkins,66051,S,CINCINNATI,11,1,11.9,57.1,99.6,28.9,16.5,0,0,3,21.4,138,76.3,71.3,84.2,59.1,61.6,67.6,2,28,7.1,1,3,0,61.0,8,237,238,5,12,14,1,91,27,0.4,11.4
Jeremiah Wood,66274,CB,OHIO,1,0,5.0,100.0,100.0,2.0,2.0,0,0,0,0.0,259,51.9,35.7,64.4,,,,0,5,,0,0,0,87.5,1,2,2,0,0,1,0,5,0,2.5,5.0
Ty Hamilton,66298,DI,OHIO STATE,16,0,4.0,0.0,1.1,,4.0,0,0,0,0.0,260,58.7,65.0,71.5,60.9,66.9,66.6,0,,33.3,1,0,1,39.6,0,4,378,4,2,1,0,0,0,0.0,
Korey Foreman,70831,ED,FRESNO ST,11,0,2.4,60.0,11.6,8.3,5.0,0,0,0,0.0,169,53.7,69.4,17.2,63.5,84.7,56.3,0,8,40.0,2,0,3,68.8,3,26,224,5,3,5,0,20,10,0.8,6.7
Tuasivi Nomura,70879,LB,FRESNO ST,13,10,5.4,71.7,84.2,11.5,8.2,0,0,3,6.5,169,58.6,67.9,37.6,54.1,77.7,77.5,0,26,2.5,1,3,3,115.4,33,411,488,10,29,46,4,271,148,0.7,8.2
Tate Romney,70946,LB,ARIZONA ST,4,0,5.0,100.0,94.4,16.0,16.0,0,0,0,0.0,110,58.3,55.3,72.8,59.5,53.9,56.2,0,9,0.0,0,0,0,104.2,1,17,18,0,1,1,0,9,4,0.6,9.0
Domani Jackson,71370,CB,ALABAMA,13,3,11.9,54.0,97.7,13.1,7.1,0,0,7,14.0,103,64.3,67.3,86.6,41.7,81.5,48.6,2,31,19.4,7,5,3,63.0,27,375,384,10,26,50,1,311,103,0.9,11.5
William Nimmo Jr.,71391,S,S DIEGO ST,11,0,9.8,41.7,100.0,28.2,11.8,0,0,0,0.0,284,53.7,56.3,83.0,,60.0,58.0,0,29,11.1,1,0,1,62.5,5,147,147,1,8,12,0,74,25,0.5,14.8
Akili Arnold,71406,S,USC,12,9,8.5,86.8,96.4,11.7,10.2,0,0,1,2.6,326,57.0,58.0,87.8,61.2,57.9,63.8,1,41,13.2,5,1,0,122.8,33,401,416,7,24,38,3,372,165,1.0,11.3
Easton Mascarenas-Arnold,71410,LB,USC,13,9,3.1,92.9,83.2,9.3,8.7,0,1,1,2.4,326,33.9,54.2,87.2,67.1,66.7,57.7,2,27,16.7,8,1,0,92.6,39,380,457,10,31,42,1,381,296,1.0,9.8
Silas Bolden,71674,WR,TEXAS,2,0,,,100.0,,,0,0,0,,311,63.0,64.6,60.0,,60.0,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Sheldon Newton,71957,DI,BOISE ST,12,0,,,1.1,,,0,0,0,,120,58.8,56.7,83.5,57.5,55.3,55.8,0,,33.3,1,0,0,0.0,0,2,175,3,2,0,0,0,0,0.0,
DJ Harvey,72089,CB,S JOSE ST,12,2,10.8,56.5,97.9,11.2,6.3,0,1,9,14.5,285,90.3,90.6,85.9,63.9,86.0,63.6,4,43,15.2,7,7,2,56.9,35,412,421,17,37,62,3,276,72,0.7,7.9
Kamren Fabiculanan,72332,S,WASHINGTON,13,4,5.3,70.0,94.4,17.7,12.4,0,0,1,3.3,340,85.5,67.9,58.7,59.5,42.2,66.0,2,19,6.9,2,1,1,74.6,21,391,414,6,23,30,2,142,88,0.4,6.8
Raider Damuni,72338,S,BYU,12,1,6.6,76.9,96.9,14.0,10.8,0,0,0,0.0,128,58.9,62.2,82.4,65.7,66.0,55.0,0,24,22.2,2,0,0,96.6,10,155,160,2,6,13,0,95,72,0.7,9.5
Logan Pili,72354,LB,UTAH ST,5,0,,,83.3,,,0,0,0,,329,66.4,60.9,76.9,56.7,55.6,41.0,0,,0.0,0,0,0,0.0,0,15,18,0,1,0,0,0,0,0.0,
Zahran Manley,72425,CB,STANFORD,5,2,14.8,50.0,100.0,13.6,6.8,0,0,5,20.8,300,60.7,62.8,82.3,,72.6,54.1,0,67,21.4,3,4,2,105.4,12,169,169,0,9,24,2,195,81,1.2,16.3
Noa Pola-Gates,72535,CB,NEW MEXICO,11,3,14.2,51.2,99.1,14.8,7.6,0,0,9,22.0,241,67.8,69.6,14.1,63.8,78.8,63.5,0,59,17.2,5,8,4,95.3,21,334,337,6,21,41,2,337,128,1.1,16.0
Jadon Pearson,72538,LB,UTAH ST,10,5,3.4,64.7,88.1,13.8,8.9,0,0,1,5.9,329,63.6,61.8,80.2,54.6,60.5,51.6,0,12,26.7,4,1,0,94.7,11,163,185,3,6,17,1,78,68,0.5,7.1
Lavario Wiley,72769,CB,UNLV,9,1,12.6,81.3,99.3,9.6,7.8,0,0,3,18.8,325,59.1,60.2,81.5,59.6,64.5,67.3,0,24,15.4,2,2,3,148.2,13,133,134,2,10,16,2,161,37,1.3,12.4
Keith Conley Jr.,72821,ED,UNLV,14,0,8.0,0.0,3.2,,4.0,0,0,0,0.0,325,69.0,72.5,83.6,70.1,66.7,65.9,0,,0.0,0,0,0,39.6,0,5,154,4,1,1,0,0,0,0.0,
Henry Ikahihifo,73151,ED,NEVADA,13,0,2.5,100.0,18.5,12.8,12.8,0,0,0,0.0,239,60.0,68.0,55.3,68.3,67.8,56.2,0,71,42.9,3,0,2,118.8,4,53,287,5,4,4,0,90,80,1.8,22.5
Lincoln Tuioti-Mariner,73243,S,AIR FORCE,9,4,8.8,81.3,89.2,8.2,6.7,0,0,2,6.3,101,67.4,71.9,89.7,64.9,77.3,61.9,0,24,20.7,6,2,0,104.9,26,222,249,10,19,32,0,294,122,1.4,11.3
Marco Notarainni,73389,LB,BOISE ST,14,6,7.6,62.5,73.4,38.0,23.8,0,0,1,12.5,120,66.7,77.1,46.1,63.8,81.1,48.1,0,36,27.8,5,1,1,106.3,5,196,267,7,7,8,0,106,58,0.6,21.2
Gio De Leon,73658,LB,BUFFALO,1,0,,,100.0,,,0,0,0,,126,60.0,67.0,73.8,,65.6,73.1,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Justin Houston,74101,CB,FRESNO ST,3,1,16.0,66.7,100.0,9.0,6.0,0,0,0,0.0,169,55.7,62.7,77.9,69.9,70.6,79.7,1,21,0.0,0,0,0,58.3,2,21,21,1,0,3,0,29,3,1.6,14.5
Taariq Al-Uqdah,74119,LB,WASH STATE,12,3,3.9,67.6,84.2,14.3,9.6,0,0,2,5.9,341,84.2,76.2,56.2,61.7,67.4,51.0,3,25,18.8,6,2,1,57.4,23,351,417,9,23,34,1,211,157,0.6,9.2
Justin Sinclair,74258,S,HAWAII,11,1,6.0,75.0,99.5,16.8,12.6,0,0,0,0.0,180,69.3,60.0,29.7,59.4,43.6,34.6,0,26,16.7,4,0,1,125.8,12,214,215,8,19,16,2,83,45,0.4,6.9
Zion Branch,74395,S,USC,10,2,10.9,64.7,97.7,11.1,7.2,0,0,3,17.6,326,65.6,68.1,82.3,74.6,68.0,78.1,0,32,7.7,1,3,0,124.9,11,127,130,4,10,17,2,121,50,1.0,11.0
Treven Ma'ae,74498,DI,BAYLOR,13,3,,,0.9,,,0,0,0,,118,63.0,68.6,85.2,60.1,69.9,74.6,0,,18.8,3,0,0,0.0,0,3,316,8,10,0,0,0,0,0.0,
Nathan Griffin,74957,LB,W KENTUCKY,1,0,12.0,100.0,100.0,5.0,5.0,0,0,0,0.0,346,48.1,49.7,70.1,,65.0,73.1,0,12,,0,0,0,116.7,1,5,5,0,0,1,0,12,0,2.4,12.0
Jaymar Mundy,75041,CB,W KENTUCKY,4,1,19.0,100.0,100.0,3.8,3.8,0,0,0,0.0,346,38.0,39.6,74.9,,62.0,80.5,0,71,0.0,0,0,0,158.3,6,25,25,1,4,6,1,152,38,6.6,25.3
Jaylen Johnson,75046,S,OHIO,2,0,10.5,100.0,100.0,14.0,14.0,0,0,0,0.0,259,56.2,48.8,77.7,,38.3,27.5,0,16,,0,0,0,150.0,2,28,28,0,0,2,1,21,1,0.8,10.5
Silas Walters,75263,S,MIAMI OH,14,5,10.3,55.3,99.2,19.3,10.7,0,1,9,19.1,221,87.4,84.5,89.6,57.5,75.2,77.2,0,25,9.3,4,7,0,81.4,26,527,531,6,34,47,2,215,57,0.4,8.3
Chuck Hicks,75816,LB,MISSOURI,12,2,6.0,85.7,89.6,19.0,16.3,0,0,1,14.3,229,47.4,60.5,0.0,65.4,77.3,58.4,0,38,33.3,4,1,4,158.3,6,120,134,3,6,7,2,123,99,1.1,20.5
Caleb Tubbs,76053,CB,MIAMI OH,2,0,11.5,75.0,100.0,3.3,2.5,0,0,0,0.0,221,46.6,49.2,74.7,,63.1,76.6,0,20,0.0,0,0,0,96.9,3,11,11,0,2,4,0,31,8,3.1,10.3
Bam Booker,76122,ED,BOWL GREEN,2,0,,,10.0,,,0,0,0,,122,60.0,60.2,74.0,55.6,63.4,,0,,,0,0,0,0.0,0,1,10,0,0,0,0,0,0,0.0,
Damaje Yancey,76532,CB,TROY,10,3,10.9,62.1,98.4,8.0,4.9,1,0,10,17.2,318,56.1,57.3,6.3,61.6,68.3,57.2,0,75,19.0,8,7,7,93.0,36,308,313,8,31,58,1,465,187,1.6,12.9
Capone Blue,76604,CB,WAKE,5,3,12.8,61.5,100.0,8.9,5.5,0,0,1,3.8,339,59.9,60.9,81.8,,63.8,61.2,0,24,15.0,3,1,1,121.2,16,147,147,4,14,26,3,183,42,1.3,11.4
Torey Richardson,76711,CB,TEMPLE,10,1,12.3,52.9,98.5,13.0,6.9,0,0,5,14.7,306,65.9,65.2,37.6,51.7,65.2,52.6,1,46,22.2,4,5,5,60.0,18,258,262,4,13,34,0,213,98,0.9,11.8
Antonio Colclough,76813,ED,BUFFALO,13,0,-6.0,100.0,2.5,6.0,6.0,1,0,0,0.0,126,60.3,67.2,39.9,70.2,62.8,29.3,0,7,60.0,3,0,2,95.8,1,6,240,4,2,1,0,7,13,1.2,7.0
Justin Wright,77160,LB,OKLA STATE,6,0,2.3,50.0,82.5,20.3,10.2,0,0,0,0.0,262,40.8,49.8,0.0,61.0,68.7,66.3,0,50,0.0,0,0,3,133.3,3,66,80,2,5,6,1,72,63,1.2,24.0
Matt Harmon,77244,ED,KENT STATE,12,1,8.5,100.0,7.1,4.8,4.8,0,0,0,0.0,201,44.1,67.7,73.4,65.9,70.5,64.7,0,14,37.5,3,0,1,111.5,4,19,268,4,4,4,0,43,9,2.3,10.8
Daniel Bolden,77252,LB,TOLEDO,13,3,3.8,85.7,87.1,12.8,11.0,0,0,0,0.0,316,55.2,77.1,58.9,60.4,87.7,78.2,0,24,19.0,4,0,1,111.6,24,324,372,12,14,28,1,222,151,0.7,9.3
Keye Thompson,77266,LB,PITTSBURGH,10,1,4.0,80.0,69.8,23.3,18.6,0,0,1,20.0,268,65.8,72.2,0.0,56.7,82.0,64.4,0,24,0.0,0,1,2,151.3,4,97,139,3,5,5,1,54,38,0.6,13.5
Jace Ruder,77680,LB,N TEXAS,6,0,8.0,0.0,51.4,,16.0,0,0,0,0.0,251,65.0,64.0,0.0,52.7,72.8,81.0,0,,,0,0,1,39.6,0,18,35,0,0,1,0,0,0,0.0,
Tory Spears,78134,S,TEXAS ST,8,0,12.8,72.7,99.1,12.8,9.3,0,0,0,0.0,314,37.1,42.5,81.9,60.0,54.7,38.4,0,57,28.6,4,0,0,110.8,8,108,109,0,10,11,0,127,62,1.2,15.9
DaShon Bussell,78169,CB,W MICHIGAN,12,1,16.4,50.0,100.0,27.3,13.6,2,0,2,25.0,347,63.1,58.1,0.0,,50.1,46.6,0,45,12.5,1,2,5,127.1,4,116,116,1,6,8,1,84,13,0.8,21.0
Marque Collins,78999,CB,BYU,13,5,10.5,53.6,98.5,12.9,6.9,0,1,9,16.1,128,66.8,65.8,50.7,45.8,65.2,56.2,2,61,14.8,4,9,5,80.6,30,405,411,7,18,56,3,415,202,1.1,13.8
Jayden McDonald,81249,LB,UCONN,13,8,2.7,80.5,72.9,9.6,7.7,0,0,2,4.9,146,72.3,75.9,0.0,70.3,76.5,67.6,1,26,18.4,7,2,4,78.8,33,326,447,18,23,41,0,219,162,0.7,6.6
Jared Small,81284,LB,ARIZONA,3,0,-4.0,100.0,100.0,3.0,3.0,0,0,0,0.0,109,39.5,53.5,74.1,,75.8,76.1,0,15,,0,0,0,118.8,1,3,3,0,0,1,0,15,19,5.0,15.0
Jalen Rayam,81425,LB,UTEP,1,0,-1.0,100.0,100.0,1.0,1.0,0,0,0,0.0,330,60.0,53.9,64.6,,55.5,73.6,0,2,,0,0,0,79.2,1,1,1,0,0,1,0,2,3,2.0,2.0
Moroni Anae,81437,ED,UTAH,1,0,,,100.0,,,0,0,0,,328,60.2,63.4,72.6,63.8,57.5,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Jermayne Lole,82212,DI,TEXAS,16,1,,,0.5,,,0,0,0,,311,60.2,74.9,85.0,66.2,75.7,64.4,0,,50.0,1,0,0,0.0,0,1,217,0,0,0,0,0,0,0.0,
Jacob Mangum-Farrar,82557,ED,INDIANA,7,0,-0.5,100.0,25.0,4.3,4.3,0,0,0,0.0,190,61.1,64.2,82.1,61.9,63.7,50.7,0,17,33.3,1,0,0,92.7,4,17,68,2,2,4,0,25,27,1.5,6.3
Raymond Scott,82560,LB,JAMES MAD,11,1,1.8,68.8,88.2,9.0,6.2,0,0,1,6.3,197,62.5,67.3,81.1,65.2,69.6,68.4,0,29,0.0,0,1,0,81.8,11,105,119,2,6,16,0,86,82,0.9,7.8
Solomon Tuliaupupu,82562,ED,USC,9,1,-1.0,100.0,25.0,7.3,7.3,0,0,0,0.0,326,58.8,62.1,85.3,54.1,68.3,58.2,0,14,0.0,0,0,0,100.0,3,22,88,1,2,3,0,24,27,1.1,8.0
Ale Kaho,82646,LB,UCLA,8,4,1.6,90.0,78.8,10.9,9.8,0,0,0,0.0,324,54.0,60.3,24.0,71.3,63.0,43.6,0,18,14.3,2,0,1,131.3,9,104,132,4,8,10,1,75,61,0.8,8.3
Jaden Robinson,83074,CB,OREGON ST,8,4,13.1,64.1,97.8,8.4,5.4,1,0,3,7.7,265,58.3,59.0,34.4,69.2,61.6,63.3,0,36,10.3,3,2,2,102.7,25,226,231,4,22,39,2,282,51,1.3,11.3
Dustin Johnson,83197,S,OHIO,14,11,10.6,58.8,98.7,21.7,12.7,0,1,2,5.9,259,54.9,57.4,87.8,71.3,59.1,56.9,0,42,20.4,10,2,1,121.3,20,455,461,7,28,34,4,253,79,0.6,12.7
Jarvis Ware,83314,CB,UNLV,13,3,12.2,56.8,98.3,12.8,7.2,0,1,5,13.5,325,71.7,69.7,0.0,84.7,55.8,64.2,0,57,5.9,1,4,2,99.6,21,287,292,5,13,37,2,286,100,1.1,13.6
Chris Mills,83315,CB,TEXAS ST,13,2,13.8,45.8,99.2,15.0,6.9,0,1,6,12.5,314,61.3,62.0,86.0,55.9,62.9,76.8,1,31,4.0,1,4,4,68.8,22,355,358,5,22,48,2,269,57,0.8,12.2
Brendon Harris,83446,S,MIDDLE TN,2,3,1.3,83.3,91.1,14.2,11.8,0,0,1,16.7,224,59.0,60.2,0.0,55.0,69.9,75.5,0,16,10.0,1,1,1,89.6,5,72,79,1,6,6,0,33,27,0.5,6.6
Fa'Najae Gotay,83821,LB,AUBURN,3,1,11.0,66.7,88.0,10.5,7.0,0,0,0,0.0,115,41.3,56.9,73.4,56.9,81.8,79.0,0,28,0.0,0,0,0,109.0,2,22,25,0,0,3,0,37,10,1.8,18.5
Bryan Addison,83825,S,UCLA,12,7,9.8,61.3,97.6,22.8,14.0,1,0,4,12.9,324,72.2,71.1,20.6,54.4,73.3,78.3,2,59,13.9,5,4,3,72.1,19,457,468,3,24,31,1,261,158,0.6,13.7
Armani-Eli Adams,83838,S,W MICHIGAN,11,0,9.1,85.7,97.3,16.7,14.3,0,0,1,14.3,347,61.4,55.8,80.6,47.7,47.3,39.3,0,30,36.4,4,1,0,156.3,6,107,110,3,7,7,1,84,30,0.8,14.0
Jayden Dunlap,85725,CB,BYU,4,0,11.0,100.0,100.0,13.0,13.0,0,0,0,0.0,128,61.0,61.4,72.7,,60.0,73.5,0,12,0.0,0,0,0,116.7,1,16,16,0,1,1,0,12,1,0.9,12.0
Kalib Perry,86267,LB,TENNESSEE,12,4,0.8,100.0,81.7,17.8,17.8,0,0,0,0.0,307,64.1,65.6,84.1,60.1,65.8,85.0,0,16,10.0,1,0,0,104.2,5,94,115,0,5,5,0,45,41,0.5,9.0
Rodney Robinson,86527,S,BOISE ST,13,4,4.8,78.1,91.0,11.6,9.0,0,0,3,9.4,120,80.5,68.6,17.0,63.9,44.9,50.5,0,30,12.0,3,3,3,90.2,25,302,332,13,18,32,0,181,127,0.6,7.2
Ozzie Nicholas,86729,LB,DUKE,13,11,5.1,64.5,89.4,15.5,10.0,0,1,0,0.0,154,64.2,75.6,0.0,62.7,84.1,80.0,1,65,9.7,3,0,5,91.7,20,329,368,10,17,31,1,287,219,0.9,14.4
Jackson Schulz,86773,S,KENTUCKY,1,0,,,100.0,,,0,0,0,,202,93.5,94.6,69.8,,60.0,,1,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Ceyair Wright,86877,CB,NEBRASKA,13,0,11.1,55.1,97.8,11.1,6.1,0,1,8,16.3,238,69.0,72.2,85.1,85.0,74.1,62.1,2,28,20.0,6,6,2,71.0,27,314,321,4,24,49,2,311,72,1.0,11.5
Logan Taylor,87618,LB,HAWAII,12,5,6.6,79.2,85.7,10.0,7.9,0,0,0,0.0,180,51.4,58.4,82.6,45.0,68.9,80.2,1,53,4.2,1,0,0,91.7,19,210,245,5,18,24,0,244,138,1.3,12.8
Trevor Adams,88001,LB,CINCINNATI,1,0,6.0,0.0,100.0,,2.0,0,0,1,100.0,138,71.5,62.7,71.2,,39.4,73.1,0,,,0,1,0,39.6,0,2,2,0,0,1,0,0,0,0.0,
David Reese,90079,ED,CAL,12,0,1.2,100.0,13.9,6.2,6.2,0,0,0,0.0,130,53.8,69.0,68.9,71.2,67.6,41.9,0,13,55.6,5,0,1,94.4,6,39,280,7,4,6,0,40,33,1.1,6.7
Joseph Vaughn,90131,LB,UCLA,1,0,3.5,75.0,100.0,1.3,1.0,0,0,0,0.0,324,32.1,33.0,69.8,,67.2,75.8,0,11,0.0,0,0,0,87.5,3,4,4,0,1,4,0,22,10,5.5,7.3
Ose Egbase,90529,ED,UNLV,10,0,,,4.5,,,0,0,0,,325,67.4,58.7,81.9,58.6,50.4,46.5,0,,0.0,0,0,0,0.0,0,5,112,1,3,0,0,0,0,0.0,
Tyrice Ivy Jr.,90783,S,OREGON ST,11,2,19.5,50.0,98.5,25.4,12.7,0,0,2,20.0,265,53.3,58.7,83.5,56.2,67.4,58.3,0,36,15.4,2,1,1,83.3,5,131,133,1,9,10,0,95,4,0.7,19.0
Trey Laing,91245,ED,E MICHIGAN,12,2,13.0,100.0,13.5,18.0,18.0,0,0,0,0.0,160,53.4,60.9,0.0,61.6,71.6,62.5,0,19,40.0,2,0,4,118.8,1,19,141,4,1,1,0,19,6,1.1,19.0
Amir McDaniel,97087,CB,LA LAFAYET,13,8,3.6,81.0,86.9,8.7,7.0,0,0,2,4.8,207,74.7,79.3,90.4,79.6,80.8,68.5,0,43,18.4,7,2,0,101.5,34,306,352,8,23,42,1,271,195,0.9,8.0
Samario Rudolph,97127,WR,JVILLE ST,1,0,,,100.0,,,1,0,0,,196,60.0,62.4,60.0,,,,0,,,0,0,1,0.0,0,1,1,0,0,0,0,0,0,0.0,
Antavious Lane,97141,S,N CAROLINA,12,3,7.4,69.8,95.9,12.3,8.6,0,0,2,4.7,245,52.9,57.7,65.4,71.7,62.4,59.0,0,46,20.5,9,2,1,107.5,30,393,410,7,32,43,2,328,114,0.9,10.9
Bralyn Lux,97143,CB,TEXAS TECH,9,2,12.6,58.5,99.4,10.1,5.9,0,0,5,9.4,315,60.9,58.5,4.0,65.6,51.7,56.4,1,35,11.1,4,4,5,90.2,31,333,335,7,30,53,2,441,98,1.4,14.2
Christian Dremel,97211,WR,RUTGERS,1,0,,,100.0,,,0,0,0,,278,62.8,64.3,60.0,,60.0,70.3,0,,0.0,0,0,0,0.0,0,1,1,0,1,0,0,0,0,0.0,
Anthony Wilson,97220,S,W VIRGINIA,13,9,11.3,67.6,99.8,18.5,12.5,1,0,3,8.8,343,59.0,63.7,55.8,60.0,72.3,82.4,2,89,11.4,5,3,2,125.6,23,446,447,2,30,34,5,438,207,1.0,19.0
Brandon Crossley,97225,CB,SMU,14,2,14.5,47.6,99.2,15.8,7.5,0,2,8,12.7,287,60.3,62.2,86.6,65.6,66.8,49.8,1,60,17.6,6,5,4,87.0,30,500,504,6,26,63,3,544,188,1.1,18.1
Marcus Harris,97230,CB,CAL,13,0,13.0,55.2,99.8,12.6,7.0,0,1,8,11.9,130,73.9,74.2,19.3,60.0,76.7,81.1,2,27,7.3,3,6,3,82.9,37,490,491,9,38,67,4,440,99,0.9,11.9
Rod Heard II,97237,S,NOTRE DAME,15,2,11.8,56.5,97.7,18.6,10.5,1,0,4,17.4,258,68.0,74.1,85.1,82.9,82.7,77.6,0,34,14.3,3,4,2,94.7,13,256,262,4,16,23,1,171,54,0.7,13.2
Chike Anigbogu,97239,LB,RICE,9,0,5.7,33.3,71.2,45.0,15.0,0,0,0,0.0,275,77.6,67.9,1.5,68.5,58.6,37.8,0,0,50.0,1,0,1,42.4,1,47,66,2,1,3,0,0,-1,0.0,0.0
Isaiah Essissima,97243,CB,COLO STATE,11,1,9.6,55.6,100.0,11.2,6.2,0,0,5,27.8,144,71.2,71.7,82.1,,68.8,37.6,0,13,18.2,2,3,2,88.9,10,129,129,2,8,18,1,95,36,0.8,9.5
Dywan Griffin,97274,CB,DOMINION,8,0,15.9,42.9,97.0,19.7,8.4,0,0,2,28.6,263,85.5,79.4,80.1,59.6,47.0,39.4,0,46,25.0,1,2,0,116.1,3,65,67,1,3,7,1,65,3,1.1,21.7
Trevor Wilson,97287,WR,KANSAS,1,0,,,100.0,,,0,0,0,,198,60.0,62.4,60.0,,,,0,,,0,0,1,0.0,0,1,1,0,0,0,0,0,0,0.0,
Jordan Clark,97324,CB,NOTRE DAME,16,2,8.3,63.0,97.1,11.1,7.0,1,1,8,14.8,258,83.2,81.3,12.5,57.1,77.0,63.5,1,29,15.6,5,6,4,76.8,34,397,409,9,25,54,1,308,141,0.8,9.1
Derrick Canteen,97329,S,CINCINNATI,12,6,12.1,54.3,100.0,11.3,6.2,0,1,8,17.4,138,81.0,77.6,86.8,,65.7,70.6,1,43,3.1,1,6,1,65.1,25,292,292,8,25,46,0,296,69,1.0,11.8
Juan Powell,97330,CB,COAST CAR,13,3,5.4,71.9,91.4,7.5,5.4,2,0,2,3.5,141,61.1,58.8,23.8,49.0,60.2,65.9,0,38,16.7,6,2,4,114.7,41,329,360,14,27,57,4,400,287,1.3,9.8
Ken Robinson,97341,S,UTSA,6,2,7.9,53.3,97.8,20.1,10.7,0,0,2,13.3,331,45.4,58.3,84.4,53.3,89.1,56.1,0,40,37.5,6,2,2,103.5,8,176,180,0,8,15,1,125,66,0.8,15.6
AJ Williams,97343,S,COAST CAR,12,2,3.0,64.3,96.6,26.7,17.1,0,0,1,7.1,141,75.3,71.5,83.4,53.7,65.6,48.2,1,24,26.3,5,0,0,48.8,9,252,261,6,12,14,0,77,63,0.3,8.6
Jakeen Harris,97351,S,N CAROLINA,12,4,14.7,55.6,98.3,33.0,18.3,0,0,2,11.1,245,58.0,61.5,86.6,54.4,66.1,64.1,0,50,15.4,4,1,0,85.9,10,350,356,4,18,18,0,162,64,0.5,16.2
Coco Azema,97353,S,NWESTERN,12,2,12.9,57.1,98.8,38.4,21.9,0,0,3,21.4,256,54.7,55.0,86.1,69.4,53.6,28.2,1,32,38.9,7,2,2,90.5,8,317,321,3,9,14,1,157,58,0.5,19.6
Sidney Porter,97369,LB,KENNESAW,10,5,7.0,73.1,80.5,11.9,8.7,0,0,3,11.5,200,56.2,66.9,92.0,63.5,75.0,82.4,0,38,5.0,1,1,0,103.8,19,231,287,3,14,26,1,175,111,0.8,9.2
Reid Dedman,97372,LB,GA SOUTHRN,9,5,3.9,81.8,88.9,9.8,8.0,0,0,0,0.0,174,63.8,58.6,81.5,55.7,51.7,73.6,0,18,10.5,2,0,0,101.1,9,96,108,5,12,11,0,91,47,1.0,10.1
Woodi Washington,97379,CB,OKLAHOMA,12,0,8.3,82.1,95.6,7.7,6.4,0,0,0,0.0,261,44.5,52.9,84.5,59.7,77.6,47.8,1,42,35.3,6,0,3,125.3,23,194,203,1,11,28,2,334,177,1.9,14.5
