player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Moses Gray,193216,HB,MARSHALL,2,26.7,0,214,44.8,,60.0,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,15,0,4,0,0,4,0
Kendrell Williams,147142,HB,LA LAFAYET,2,26.7,0,207,60.8,68.5,60.0,0,0,1,14.3,14.3,100.0,0,0,0,4,0,0,0,15,1,7,0,0,3,0
Antonio Harris,190906,HB,PURDUE,1,80.0,0,273,69.8,73.9,60.0,0,0,3,100.0,100.0,100.0,0,0,0,4,0,0,0,5,3,3,0,0,1,0
Hayden Rollison,170136,TE,VIRGINIA,1,100.0,0,335,51.0,,47.6,0,0,0,,,,0,0,0,4,0,0,0,4,0,0,0,0,4,4
Trey Gronotte,147367,K,ARMY,5,80.0,0,114,57.2,,60.0,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,5,0,1,0,0,4,1
Mike Franklin,170511,HB,JVILLE ST,3,30.8,0,196,73.3,,54.9,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,13,0,1,0,0,4,0
Camden Etheredge,157054,TE,AUBURN,2,57.1,0,115,46.1,,48.4,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,7,0,3,0,0,4,7
Jahlil McClain,176467,WR,LOUISVILLE,1,66.7,0,210,58.1,,59.7,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,6,0,2,0,0,4,0
PJ Hatter,172329,QB,TEXAS ST,1,36.4,0,314,74.5,,60.0,0,0,0,,,,0,0,0,4,0,0,0,11,0,0,0,0,4,0
Ta'Ron Haile,183373,WR,SYRACUSE,1,36.4,0,304,55.4,,60.0,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,11,0,7,0,0,4,0
Deandre Duffus,170191,G,MARYLAND,1,100.0,0,215,61.1,66.6,60.8,0,0,1,100.0,100.0,100.0,0,0,0,4,0,4,0,4,1,1,0,0,3,0
Kwinten Ives,170228,HB,NEBRASKA,4,25.0,0,238,59.3,76.0,60.0,0,0,1,16.7,33.3,100.0,0,0,0,4,0,0,0,16,3,9,0,0,1,0
Avi McGary,100290,S,BOWL GREEN,4,80.0,0,122,56.4,,59.9,0,0,0,0.0,0.0,,1,0,0,4,0,0,0,5,0,1,0,0,4,0
TK Keyes,191242,WR,SO MISS,1,80.0,0,296,58.9,,60.0,0,0,0,,0.0,,0,0,0,4,0,0,0,5,0,1,0,0,4,0
Kam Ingram,150847,HB,UCF,4,36.4,0,323,52.1,71.8,56.8,0,0,2,28.6,28.6,100.0,0,0,0,4,0,0,0,11,2,7,0,0,2,0
Jace Middleton,170260,TE,OHIO STATE,1,100.0,0,260,69.0,,70.5,0,0,0,,,,0,0,0,4,0,0,0,4,0,0,0,0,4,4
Jamauri McClure,189581,HB,TULANE,4,11.8,0,319,79.2,75.0,59.5,0,0,1,11.1,18.2,100.0,0,0,0,4,0,0,0,34,2,11,0,0,2,0
Kevin Riley,191139,HB,ALABAMA,2,19.0,0,103,70.8,77.2,,0,0,3,33.3,40.0,100.0,0,0,0,4,0,0,0,21,4,10,0,0,0,0
Pierce Clarkson,174699,QB,LOUISVILLE,2,33.3,0,210,67.8,,60.0,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,12,0,5,0,0,4,0
Alpha Khan,158819,WR,UTSA,2,80.0,0,331,58.4,,60.3,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,5,0,1,0,0,4,0
Jake Spencer,143014,WR,PENN STATE,1,100.0,0,266,59.6,,59.0,0,0,0,,,,0,0,0,4,0,0,0,4,0,0,0,0,4,0
Tyler Pastula,142259,P,S DIEGO ST,6,44.4,0,284,69.3,63.8,60.0,0,0,1,25.0,20.0,100.0,0,0,0,4,0,0,0,9,1,5,0,0,3,0
Thomas Jewett,160287,TE,SM HOUSTON,2,100.0,0,281,79.5,,79.5,0,0,0,,,,0,0,0,4,0,0,0,4,0,0,0,0,4,4
Tommy Winton III,161259,WR,TENNESSEE,1,100.0,0,307,60.4,,60.5,0,0,0,,,,0,0,0,4,0,0,0,4,0,0,0,0,4,0
Jordan Poole,144001,FB,NC STATE,4,80.0,0,248,57.0,,55.3,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,5,0,1,0,0,4,0
Ethan Williams,174190,C,GA SOUTHRN,1,100.0,0,174,60.0,,60.5,0,0,0,,,,0,0,0,4,4,0,0,4,0,0,0,0,4,0
Daniel Weems,161484,HB,INDIANA,1,50.0,0,190,72.2,72.8,59.7,0,0,2,100.0,100.0,100.0,0,0,0,4,0,0,0,8,2,2,0,0,2,0
Nate Palmer,183835,HB,TCU,2,17.4,0,305,60.1,76.5,60.0,0,0,3,30.0,27.3,100.0,0,0,0,4,0,0,0,23,3,11,0,0,1,0
DJ Herman,146162,LB,S DIEGO ST,5,80.0,0,284,60.3,89.6,60.0,0,0,3,75.0,75.0,100.0,1,0,0,4,0,0,0,5,3,4,0,0,1,0
Zach Bandy,184005,G,BALL ST,2,100.0,0,117,65.0,,64.8,0,0,0,,,,0,0,0,4,0,4,0,4,0,0,0,0,4,0
Michael Burt,189675,TE,IOWA,1,100.0,0,192,59.1,,58.8,0,0,0,,,,0,0,0,4,0,0,0,4,0,0,0,0,4,4
Jack Kiser,97889,LB,NOTRE DAME,4,100.0,0,258,60.0,99.9,60.0,0,0,3,100.0,100.0,100.0,2,0,0,4,0,0,0,4,3,3,0,0,1,0
Josh Benton,162639,HB,E CAROLINA,2,80.0,0,156,60.2,70.8,60.0,0,0,1,50.0,50.0,100.0,0,0,0,4,0,0,0,5,1,2,0,0,3,0
