player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Wes Hoeh,144049,C,UCONN,11,0,146,66.6,100.0,95,25.7,95,74.4,1,100.0,369,369,78.3,100.0,254,68.8,254
Hayden Reed,163213,HB,ARMY,14,0,114,45.6,93.5,143,38.8,153,56.8,0,90.0,369,410,72.1,95.9,116,31.4,121
Hadley Panzer,144598,G,KANSAS ST,13,0,199,62.5,100.0,226,61.4,226,64.8,2,100.0,368,368,66.5,100.0,127,34.5,127
Easton Kilty,138241,T,KANSAS ST,13,0,199,74.3,100.0,222,60.3,222,78.5,1,100.0,368,368,77.3,100.0,128,34.8,128
Brennan Smith,149139,G,UTEP,12,1,330,50.0,100.0,140,38.1,140,62.9,2,100.0,367,367,70.8,100.0,203,55.3,203
Riley Mahlman,145172,T,WISCONSIN,12,0,349,56.3,100.0,135,36.8,135,73.2,0,100.0,367,367,83.3,100.0,209,56.9,209
Walter Young Bear,133127,G,TULSA,12,0,320,48.8,100.0,131,35.8,131,58.8,0,100.0,366,366,68.4,100.0,220,60.1,220
Gavin Gerhardt,123561,C,CINCINNATI,12,0,138,73.4,100.0,90,24.6,90,72.1,0,100.0,366,366,73.4,100.0,245,66.9,245
Braelin Moore,157655,C,VA TECH,12,0,337,57.0,100.0,114,31.1,114,65.5,4,100.0,366,366,66.9,100.0,217,59.3,217
Bryson Broadway,137997,T,GA SOUTHRN,13,0,174,62.9,100.0,223,60.9,223,65.1,0,100.0,366,366,62.9,100.0,98,26.8,98
Matt Craycraft,162694,C,DUKE,13,0,154,59.0,100.0,99,27.0,99,63.0,0,100.0,366,366,60.9,100.0,249,68.0,249
Kasen Carpenter,173292,C,TULSA,12,0,320,48.7,100.0,135,36.9,135,42.7,1,100.0,366,366,45.8,100.0,217,59.3,217
John Williams,123585,T,CINCINNATI,12,0,138,63.5,100.0,90,24.7,90,65.2,0,100.0,365,365,64.6,100.0,244,66.8,244
Brian Parker II,162699,T,DUKE,13,1,154,64.9,100.0,99,27.1,99,68.8,3,100.0,365,365,66.2,100.0,249,68.2,249
Kenton Jerido,157859,G,S ALABAMA,13,0,288,42.4,100.0,266,72.9,266,45.1,1,100.0,365,365,55.8,100.0,82,22.5,82
Jaden Smith,102637,WR,NEVADA,13,0,239,59.9,100.0,167,45.8,167,62.8,2,100.0,365,365,60.6,100.0,161,44.1,161
Demetrius Hunter,156167,C,HOUSTON,12,1,182,59.9,100.0,123,33.8,123,61.2,1,100.0,364,364,62.5,100.0,209,57.4,209
Christian Fitzpatrick,122707,WR,MARSHALL,13,0,214,62.0,100.0,115,31.6,115,72.2,0,100.0,364,364,62.4,100.0,211,58.0,211
Andrej Karic,123120,G,TENNESSEE,13,0,307,65.0,100.0,223,61.3,223,69.8,0,100.0,364,364,70.9,100.0,124,34.1,124
Brock Dieu,146503,G,WASH STATE,13,1,341,62.0,100.0,161,44.2,161,69.8,1,100.0,364,364,69.8,100.0,158,43.4,158
Nate Pabst,145639,G,BOWL GREEN,13,0,122,48.7,100.0,203,55.8,203,55.4,1,100.0,364,364,65.7,100.0,132,36.3,132
Febechi Nwaiwu,145324,G,OKLAHOMA,13,0,261,51.9,100.0,177,48.8,177,53.9,2,100.0,363,363,61.3,100.0,162,44.6,162
Peyton Dunn,147180,G,HOUSTON,12,0,182,56.8,100.0,123,33.9,123,60.4,2,100.0,363,363,63.1,100.0,209,57.6,209
Esa Pole,174220,T,WASH STATE,13,0,341,45.7,100.0,159,43.9,159,57.6,2,100.0,362,362,68.1,100.0,156,43.1,156
Christian Jones,146145,T,S DIEGO ST,12,0,284,46.3,100.0,87,24.0,87,51.8,1,100.0,362,362,54.0,100.0,261,72.1,261
Nico Iamaleava,174728,QB,TENNESSEE,13,0,307,60.0,95.4,227,62.7,238,60.0,0,91.0,362,398,60.1,90.2,129,35.6,143
Kole Wilson,168441,WR,TEXAS ST,12,0,314,59.4,99.6,222,61.3,223,59.5,0,99.7,362,363,75.1,100.0,118,32.6,118
Davion Carter,158004,G,TEXAS TECH,13,0,315,66.8,100.0,145,40.2,145,66.6,0,100.0,361,361,66.6,100.0,203,56.2,203
Austin Barber,146692,T,FLORIDA,13,0,163,69.3,100.0,110,30.5,110,69.4,1,100.0,361,361,68.5,100.0,236,65.4,236
