player_id,player_name,position,school,sg_ol_pass_block_grade,sg_ol_run_block_grade,sg_ol_pbe,sg_ol_pressure_allowed_rate,sg_ol_pressures_allowed,sg_ol_sacks_allowed,sg_ol_hits_allowed,sg_ol_hurries_allowed,sg_ol_versatility_count,source,season,sg_qb_pass_grade,sg_qb_btt_rate,sg_qb_twp_rate,sg_qb_pressure_to_sack_rate,sg_qb_avg_depth_of_target,sg_qb_avg_time_to_throw,sg_qb_qb_rating,sg_qb_pressure_grade,sg_qb_pressure_qb_rating,sg_qb_pressure_twp_rate,sg_qb_pressure_btt_rate,sg_qb_pressure_pressure_to_sack_rate,sg_qb_blitz_grade,sg_qb_blitz_qb_rating,sg_qb_no_screen_grade,sg_qb_no_screen_btt_rate,sg_qb_no_screen_twp_rate,sg_qb_play_action_grade,sg_qb_non_play_action_grade,sg_qb_quick_qb_rating,sg_qb_quick_btt_rate,sg_qb_quick_twp_rate,sg_qb_extended_qb_rating,sg_qb_extended_btt_rate,sg_qb_extended_twp_rate,sg_rb_run_grade,sg_rb_elusive_rating,sg_rb_mtf,sg_rb_yco_attempt,sg_rb_explosive_rate,sg_rb_breakaway_percent,sg_rb_targets_per_route,sg_rb_yprr,sg_rb_total_touches,sg_wrte_route_grade,sg_wrte_yprr,sg_wrte_targets_per_route,sg_wrte_contested_catch_rate,sg_wrte_drop_rate,sg_wrte_slot_rate,sg_wrte_inline_rate,sg_wrte_wide_rate,sg_wrte_avoided_tackles,sg_wrte_man_yprr,sg_wrte_zone_yprr,sg_wrte_man_targets_percent,sg_front_run_def_grade,sg_front_stop_percent,sg_front_missed_tackle_rate,sg_def_coverage_grade,sg_def_run_grade,sg_def_tackle_grade,sg_def_missed_tackle_rate,sg_def_qb_rating_against,sg_def_interceptions,sg_def_pass_break_ups,sg_def_tackles,sg_def_tackles_for_loss,sg_def_total_pressures,sg_dl_pass_rush_grade,sg_dl_pass_rush_win_rate,sg_dl_prp,sg_dl_total_pressures,sg_dl_true_pass_set_win_rate,sg_dl_true_pass_set_prp,sg_dl_true_pass_set_total_pressures,sg_cov_grade,sg_cov_forced_incompletion_rate,sg_cov_snaps_per_target,sg_cov_snaps_per_reception,sg_cov_yards_per_snap,sg_cov_qb_rating_against,sg_cov_catch_rate,sg_cov_man_grade,sg_cov_man_qb_rating_against,sg_cov_man_yards_per_snap,sg_cov_zone_grade,sg_cov_zone_qb_rating_against,sg_cov_zone_yards_per_snap,sg_slot_cov_snaps,sg_slot_cov_snaps_per_target,sg_slot_cov_qb_rating_against,sg_slot_cov_yards_per_snap
124329,Haynes King,QB,GA TECH,,60.1,,,0,0,0,0,0,scoutinggrade_advanced_signal_2025,2025,80.9,4.0,1.0,8.1,7.5,2.65,99.1,48.7,67.3,2.3,2.7,8.1,71.1,81.1,80.2,5.1,1.3,77.0,78.9,112.7,1.6,0.5,84.8,6.5,1.4,75.0,32.6,21,2.68,31,32.1,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124332,Josh Moten,CB,SO MISS,,,,,,,,,,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1,0.5,11.1,80.6,77.1,83.0,6.3,67.1,5,3,50,1,0,60.0,0.0,0.0,0,,,0,80.6,8.1,7.2,11.2,1.0,67.1,64.5,78.4,63.2,1.4,74.9,92.1,1.0,16,8.0,39.6,0.0
124371,Joshua Braun,IOL,KENTUCKY,77.4,57.4,97.9,0.03275,15,3,1,11,1,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125313,Cole Wisniewski,S,TEXAS TECH,,,,,,,,,,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.3,5.7,8.7,80.6,87.3,77.5,10.6,86.1,0,3,56,4,1,74.7,0.0,20.0,1,0.0,50.0,1,80.6,9.4,14.8,19.8,0.3,86.1,75.0,81.1,76.3,0.4,73.2,87.7,0.4,59,4.5,86.7,1.08
125681,James Brockermeyer,IOL,MIAMI FL,86.4,68.8,98.9,0.02151,12,0,2,10,1,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127250,RJ Maryland,TE,SMU,74.6,42.8,100.0,0.0,0,0,0,0,2,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,1.62,0.1929,16.7,6.9,64.8,21.6,8.0,2,0.17,2.11,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128427,Emmanuel Pregnon,IOL,OREGON,88.1,85.8,99.3,0.01062,5,1,2,2,5,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129473,Logan Jones,IOL,IOWA,90.7,73.0,99.4,0.00893,3,1,0,2,1,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129581,Matthew Hibner,TE,SMU,83.0,60.4,98.9,0.02083,2,0,0,2,3,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,1.37,0.1348,54.5,3.1,50.2,25.1,2.1,1,0.75,1.52,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129593,Jeff Persi,OT,PITTSBURGH,46.7,47.3,95.1,0.07692,23,5,4,14,1,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
