consensus_rank,player_name,school,position,source_note
1,Fernando Mendoza,Indiana,QB,Manual fallback from NFLMockDB consensus board
2,Caleb Downs,Ohio State,S,Manual fallback from NFLMockDB consensus board
3,Kadyn Proctor,Alabama,OT,Manual fallback from NFLMockDB consensus board
