player_name,school,note,source_url
Arch Manning,Texas,Confirmed returning to Texas for 2026 season,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/arch-manning-will-return-to-texas-for-the-2026-season
Nico Iamaleava,UCLA,User-confirmed returning to school for 2026 season,user_confirmed
Gunner Stockton,Georgia,Returned to Georgia and not declared for 2026 NFL Draft,user_confirmed
Oscar Delp,Georgia,Returned to Georgia and not declared for 2026 NFL Draft,user_confirmed
T.J. Searcy,Texas A&M,Returned to Texas A&M and not declared for 2026 NFL Draft,user_confirmed
