Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
251,QB,Diego Pavia,Vanderbilt,92.2,,,,
252,CB,Jeadyn Lukus,Clemson,56.1,,,,
253,LB,Xavian Sorey Jr.,Arkansas,50.3,,,,
254,CB,Josh Moten,Southern Miss,80.1,,,,
255,IOL,Joshua Braun,Kentucky,62.5,,,,
256,CB,Ahmari Harvey,Georgia Tech,71.9,,,,
257,EDGE,Patrick Payton,LSU,69.0,,,,
258,S,Jalen Catalon,Missouri,74.0,,,,
259,QB,Miller Moss,Louisville,68.2,,,,
260,TE,Seydou Traore,Mississippi State,60.3,,,,
261,CB,Tyreek Chappell,Texas A&M,63.2,,,,
262,QB,Tommy Castellanos,Florida State,85.1,,,,
263,EDGE,Eric O'Neill,Rutgers,74.5,,,,
264,EDGE,Logan Fano,Utah,78.7,,,,
265,TE,Riley Nowakowski,Indiana,79.6,,,,
266,WR,Trebor Pena,Penn State,75.0,,,,
267,IOL,Micah Morris,Georgia,72.0,,,,
268,LB,Lander Barton,Utah,61.7,,,,
269,QB,Jake Retzlaff,Tulane,81.6,,,,
270,IOL,Connor Tollison,Missouri,62.7,,,,
271,WR,Dillon Bell,Georgia,57.7,,,,
272,RB,Chip Trayanum,Toledo,76.7,,,,
273,TE,Jaren Kanak,Oklahoma,64.1,,,,
274,EDGE,Mason Reiger,Wisconsin,82.4,,,,
275,RB,Jamal Haynes,Georgia Tech,66.1,,,,
276,WR,Malik Benson,Oregon,73.0,,,,
277,QB,Joe Fagnano,Connecticut,87.0,,,,
278,EDGE,Keyshawn James-Newby,New Mexico,88.8,,,,
279,OT,Riley Mahlman,Wisconsin,62.9,,,,
280,QB,Kyron Drones,Virginia Tech,69.9,,,,
281,QB,Athan Kaliakmanis,Rutgers,88.8,,,,
282,TE,DJ Rogers,TCU,72.4,,,,
283,RB,Jam Miller,Alabama,66.2,,,,
284,S,Louis Moore,Indiana,82.5,,,,
285,IOL,Tomas Rimac,Virginia Tech,59.3,,,,
