Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
"66","WR","Elijah Sarratt","Indiana Hoosiers","86.1","0.472","","","Not Scored"
"67","QB","Trinidad Chambliss","Mississippi Rebels","87.8","0.815","","","Not Scored"
"68","CB","Chandler Rivers","Duke Blue Devils","79.2","0.245","","","Not Scored"
"69","ED","Anthony Lucas","USC Trojans","71.4","0.028","","","Not Scored"
"70","TE","Max Klare","Ohio State Buckeyes","69.3","0.094","","","Not Scored"
"71","TE","Jack Endries","Texas Longhorns","68.5","0.123","","","Not Scored"
"72","CB","Daylen Everette","Georgia Bulldogs","69.7","0.085","","","Not Scored"
"73","WR","CJ Daniels","Miami (FL) Hurricanes","73.3","0.124","","","Not Scored"
"74","TE","Michael Trigg","Baylor Bears","72.4","0.155","","","Not Scored"
"75","WR","Chris Brazzell II","Tennessee Volunteers","79.4","0.204","","","Not Scored"
"76","C","Jake Slaughter","Florida Gators","79.3","0.123","","","Not Scored"
"77","T","Blake Miller","Clemson Tigers","78.5","0.154","","","Not Scored"
"78","HB","Jonah Coleman","Washington Huskies","82.1","0.104","","","Not Scored"
"79","WR","Skyler Bell","Connecticut Huskies","81.6","0.254","","","Not Scored"
"80","LB","Taurean York","Texas A&M Aggies","83.6","0.393","","","Not Scored"
"81","QB","Garrett Nussmeier","LSU Tigers","77.1","0.073","","","Not Scored"
"82","HB","Emmett Johnson","Nebraska Cornhuskers","85.6","0.201","","","Not Scored"
"83","T","Gennings Dunker","Iowa Hawkeyes","82.0","0.122","","","Not Scored"
"84","WR","Zachariah Branch","Georgia Bulldogs","82.0","0.312","","","Not Scored"
"85","DI","Darrell Jackson Jr.","Florida State Seminoles","74.4","0.061","","","Not Scored"
"86","TE","Justin Joly","North Carolina State Wolfpack","77.9","0.175","","","Not Scored"
"87","WR","Deion Burks","Oklahoma Sooners","64.1","-0.059","","","Not Scored"
"88","G","Chase Bisontis","Texas A&M Aggies","62.4","0.075","","","Not Scored"
"89","ED","Dani Dennis-Sutton","Penn State Nittany Lions","80.1","0.204","","","Not Scored"
"90","LB","Jacob Rodriguez","Texas Tech Red Raiders","93.0","0.447","","","Not Scored"
"91","QB","Carson Beck","Miami (FL) Hurricanes","73.6","0.518","","","Not Scored"
"92","S","Zakee Wheatley","Penn State Nittany Lions","85.9","0.173","","","Not Scored"
"93","C","Sam Hecht","Kansas State Wildcats","80.0","0.125","","","Not Scored"
"94","WR","Antonio Williams","Clemson Tigers","80.3","0.148","","","Not Scored"
"95","HB","Seth McGowan","Kentucky Wildcats","70.1","-0.117","","","Not Scored"
"96","ED","Mikail Kamara","Indiana Hoosiers","71.9","0.108","","","Not Scored"
"97","WR","Malachi Fields","Notre Dame Fighting Irish","75.8","0.190","","","Not Scored"
"98","ED","Tyreak Sapp","Florida Gators","64.9","0.013","","","Not Scored"
"99","T","Brian Parker II","Duke Blue Devils","85.5","0.138","","","Not Scored"
"100","ED","Jaishawn Barham","Michigan Wolverines","79.3","0.233","","","Not Scored"
"101","TE","Sam Roush","Stanford Cardinal","57.1","-0.109","","","Not Scored"
"102","CB","Will Lee III","Texas A&M Aggies","66.5","0.060","","","Not Scored"
"103","CB","Xavier Scott","Illinois Fighting Illini","68.3","0.003","","","Not Scored"
"104","S","Genesis Smith","Arizona Wildcats","81.1","0.192","","","Not Scored"
"105","CB","Malik Muhammad","Texas Longhorns","70.8","0.064","","","Not Scored"
"106","DI","Skyler Gill-Howard","Texas Tech Red Raiders","88.6","0.044","","","Not Scored"
"107","WR","De'Zhaun Stribling","Mississippi Rebels","79.2","0.378","","","Not Scored"
"108","TE","Marlin Klein","Michigan Wolverines","64.3","-0.001","","","Not Scored"
"109","S","Bud Clark","TCU Horned Frogs","80.4","0.091","","","Not Scored"
"110","HB","Nicholas Singleton","Penn State Nittany Lions","77.5","0.075","","","Not Scored"
"111","T","J.C. Davis","Illinois Fighting Illini","87.8","0.151","","","Not Scored"
"112","T","Austin Barber","Florida Gators","83.5","0.157","","","Not Scored"
"113","TE","Josh Cuevas","Alabama Crimson Tide","69.6","0.131","","","Not Scored"
"114","T","Isaiah World","Oregon Ducks","65.1","0.048","","","Not Scored"
"115","DI","Gracen Halton","Oklahoma Sooners","84.7","0.192","","","Not Scored"
"116","HB","Kaytron Allen","Penn State Nittany Lions","89.5","0.143","","","Not Scored"
"117","TE","Joe Royer","Cincinnati Bearcats","59.8","0.078","","","Not Scored"
"118","DI","Albert Regis","Texas A&M Aggies","72.8","0.116","","","Not Scored"
"119","QB","Cade Klubnik","Clemson Tigers","76.5","0.361","","","Not Scored"
"120","S","Michael Taaffe","Texas Longhorns","88.1","0.241","","","Not Scored"
"121","QB","Drew Allar","Penn State Nittany Lions","72.4","0.069","","","Not Scored"
"122","TE","Eli Raridon","Notre Dame Fighting Irish","67.4","0.096","","","Not Scored"
"123","HB","Demond Claiborne","Wake Forest Demon Deacons","68.7","-0.314","","","Not Scored"
"124","CB","Julian Neal","Arkansas Razorbacks","79.5","0.238","","","Not Scored"
"125","G","DJ Campbell","Texas Longhorns","70.9","0.101","","","Not Scored"
"126","CB","Thaddeus Dixon","North Carolina Tar Heels","65.2","-0.004","","","Not Scored"
"127","WR","Eric McAlister","TCU Horned Frogs","76.1","0.205","","","Not Scored"
"128","T","Jude Bowry","Boston College Eagles","66.0","0.030","","","Not Scored"
"129","G","Beau Stephens","Iowa Hawkeyes","85.1","0.102","","","Not Scored"
"130","LB","Aiden Fisher","Indiana Hoosiers","68.1","0.127","","","Not Scored"
"131","WR","Eric Rivers","Georgia Tech Yellow Jackets","72.7","0.133","","","Not Scored"
"132","DI","Tim Keenan III","Alabama Crimson Tide","70.8","0.020","","","Not Scored"
"133","G","Keylan Rutledge","Georgia Tech Yellow Jackets","76.6","0.177","","","Not Scored"
"134","S","Jalen Stroman","Notre Dame Fighting Irish","79.8","0.120","","","Not Scored"
"135","CB","Jalon Kilgore","South Carolina Gamecocks","69.7","0.080","","","Not Scored"
"136","WR","Ja'Kobi Lane","USC Trojans","77.6","0.233","","","Not Scored"
"137","C","Jager Burton","Kentucky Wildcats","71.3","0.051","","","Not Scored"
"138","T","Aamil Wagner","Notre Dame Fighting Irish","68.7","0.042","","","Not Scored"
"139","LB","Trey Moore","Texas Longhorns","66.0","-0.008","","","Not Scored"
"140","#N/A","Bryce Lance","#N/A","89.3","0.000","","","Not Scored"
"141","HB","Mike Washington Jr.","Arkansas Razorbacks","78.3","0.039","","","Not Scored"
"142","CB","Hezekiah Masses","California Golden Bears","79.5","0.168","","","Not Scored"
"143","T","Drew Shelton","Penn State Nittany Lions","70.5","0.005","","","Not Scored"
"144","DI","David Oke","Arkansas Razorbacks","69.6","0.003","","","Not Scored"
"145","HB","J'Mari Taylor","Virginia Cavaliers","76.1","-0.094","","","Not Scored"
"146","G","Ar'maj Reed-Adams","Texas A&M Aggies","69.1","0.073","","","Not Scored"
"147","WR","Aaron Anderson","LSU Tigers","72.8","0.031","","","Not Scored"
"148","LB","Harold Perkins Jr.","LSU Tigers","61.0","-0.109","","","Not Scored"
"149","C","Pat Coogan","Indiana Hoosiers","78.0","0.157","","","Not Scored"
"150","WR","Ted Hurst","Georgia State Panthers","82.0","0.178","","","Not Scored"
"151","TE","Miles Kitselman","Tennessee Volunteers","63.5","0.019","","","Not Scored"
"152","G","Kobe Baynes","Kansas Jayhawks","74.3","0.104","","","Not Scored"
"153","CB","Davison Igbinosun","Ohio State Buckeyes","81.5","0.267","","","Not Scored"
"154","ED","Malachi Lawrence","UCF Knights","80.1","0.076","","","Not Scored"
"155","HB","Le'Veon Moss","Texas A&M Aggies","75.8","0.000","","","Not Scored"
"156","G","Jaeden Roberts","Alabama Crimson Tide","69.5","0.008","","","Not Scored"
"157","#N/A","Tyren Montgomery","#N/A","N/A","0.000","","","Not Scored"
"158","ED","Nadame Tucker","Western Michigan Broncos","91.4","0.287","","","Not Scored"
"159","TE","Tanner Koziol","Houston Cougars","78.9","0.223","","","Not Scored"
"160","CB","Tacario Davis","Washington Huskies","67.2","0.006","","","Not Scored"
"161","LB","Kyle Louis","Pittsburgh Panthers","73.1","0.090","","","Not Scored"
"162","TE","Dae'Quan Wright","Mississippi Rebels","65.7","0.153","","","Not Scored"
"163","ED","Quintayvious Hutchins","Boston College Eagles","68.7","0.042","","","Not Scored"
"164","WR","Cyrus Allen","Cincinnati Bearcats","72.6","0.085","","","Not Scored"
"165","WR","Chase Roberts","BYU Cougars","74.5","0.169","","","Not Scored"
"166","S","Bishop Fitzgerald","USC Trojans","90.7","0.218","","","Not Scored"
"167","DI","Cole Brevard","Texas Longhorns","72.5","0.046","","","Not Scored"
"168","TE","John Michael Gyllenborg","Wyoming Cowboys","54.1","-0.060","","","Not Scored"
"169","T","Trey Zuhn III","Texas A&M Aggies","72.7","0.083","","","Not Scored"
"170","HB","Jaydn Ott","Oklahoma Sooners","53.1","-0.033","","","Not Scored"
"171","T","Earnest Greene III","Georgia Bulldogs","63.2","0.000","","","Not Scored"
"172","ED","George Gumbs Jr.","Florida Gators","66.5","-0.034","","","Not Scored"
"173","DI","DeMonte Capehart","Clemson Tigers","71.2","0.059","","","Not Scored"
"174","WR","Zavion Thomas","LSU Tigers","66.2","-0.014","","","Not Scored"
"175","TE","Oscar Delp","Georgia Bulldogs","62.9","0.091","","","Not Scored"
"176","C","Logan Jones","Iowa Hawkeyes","79.0","0.081","","","Not Scored"
"177","QB","Jalon Daniels","Kansas Jayhawks","77.1","0.073","","","Not Scored"
"178","CB","Devon Marshall","North Carolina State Wolfpack","89.8","0.443","","","Not Scored"
"179","HB","Desmond Reid","Pittsburgh Panthers","80.1","0.094","","","Not Scored"
"180","WR","Jeff Caldwell","Cincinnati Bearcats","70.0","0.035","","","Not Scored"
"181","S","Isaiah Nwokobia","SMU Mustangs","68.1","-0.015","","","Not Scored"
"182","ED","Max Llewellyn","Iowa Hawkeyes","72.3","0.007","","","Not Scored"
"183","TE","Nate Boerkircher","Texas A&M Aggies","74.3","0.114","","","Not Scored"
"184","WR","Brenen Thompson","Mississippi State Bulldogs","79.0","0.234","","","Not Scored"
"185","DI","Zxavian Harris","Mississippi Rebels","73.3","0.176","","","Not Scored"
"186","S","Robert Spears-Jennings","Oklahoma Sooners","58.9","-0.113","","","Not Scored"
"187","CB","Jadon Canady","Oregon Ducks","85.5","0.331","","","Not Scored"
"188","WR","Kevin Coleman Jr.","Missouri Tigers","78.5","0.193","","","Not Scored"
"189","#N/A","Kaleb Proctor","#N/A","87.4","0.000","","","Not Scored"
"190","T","Kage Casey","Boise State Broncos","80.0","0.105","","","Not Scored"
"191","WR","Dane Key","Nebraska Cornhuskers","65.9","-0.008","","","Not Scored"
