Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
"326","WR","Chris Hilton Jr.","LSU Tigers","51.6","-0.102","","","Not Scored"
"327","TE","Bauer Sharp","LSU Tigers","47.7","-0.142","","","Not Scored"
"328","T","Ryan Baer","Pittsburgh Panthers","76.8","0.090","","","Not Scored"
"329","C","Mason Randolph","Boise State Broncos","70.1","0.003","","","Not Scored"
"330","ED","Dean Miller","Kansas Jayhawks","70.3","0.014","","","Not Scored"
"331","CB","Jaylon Guilbeau","Texas Longhorns","65.4","-0.105","","","Not Scored"
"332","S","Gunner Maldonado","Kansas State Wildcats","65.9","-0.027","","","Not Scored"
"333","WR","Colbie Young","Georgia Bulldogs","76.3","0.055","","","Not Scored"
"334","TE","Tanner Arkin","Illinois Fighting Illini","68.2","0.011","","","Not Scored"
"335","G","Garrett DiGiorgio","UCLA Bruins","67.2","0.072","","","Not Scored"
"336","#N/A","Mark Petry","#N/A","N/A","0.000","","","Not Scored"
"337","ED","Mo Westmoreland","Tulane Green Wave","79.1","0.122","","","Not Scored"
"338","S","Kendal Daniels","Oklahoma Sooners","77.4","0.219","","","Not Scored"
"339","CB","Amari Jackson","Boston College Eagles","66.6","0.005","","","Not Scored"
"340","S","DQ Smith","South Carolina Gamecocks","67.9","0.019","","","Not Scored"
"341","QB","Maverick McIvor","Western Kentucky Hilltoppers","73.2","0.054","","","Not Scored"
"342","HB","Devin Mockobee","Purdue Boilermakers","73.7","-0.022","","","Not Scored"
"343","CB","Avery Smith","Toledo Rockets","70.6","0.012","","","Not Scored"
"344","WR","Devonte Ross","Penn State Nittany Lions","70.3","0.078","","","Not Scored"
"345","ED","Jimmori Robinson","West Virginia Mountaineers","51.3","-0.053","","","Not Scored"
"346","TE","Rohan Jones","Arkansas Razorbacks","90.3","0.224","","","Not Scored"
"347","T","Tristan Leigh","Clemson Tigers","49.5","-0.062","","","Not Scored"
"348","G","Daniel King","North Carolina Tar Heels","66.3","0.001","","","Not Scored"
"349","WR","Barion Brown","LSU Tigers","68.5","-0.009","","","Not Scored"
"350","DI","Chris McClellan","Missouri Tigers","78.2","0.094","","","Not Scored"
