player_name,position,college,declaration_type,source_url
Jude Bowry,T,Boston College,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Parker Brailsford,C,Alabama,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Chris Brazzell,WR,Tennessee,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Ryan Eckley,P,Michigan State,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Jack Endries,TE,Texas,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Jalon Kilgore,DB,South Carolina,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Marlin Klein,TE,Michigan,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Connor Lew,C,Auburn,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Christen Miller,DT,Georgia,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Brian Parker,T,Duke,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
T.J. Parker,DE,Clemson,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Harold Perkins,LB,LSU,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Jadarian Price,RB,Notre Dame,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Kadyn Proctor,T,Alabama,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Billy Schrauth,G,Notre Dame,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Ty Simpson,QB,Alabama,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Aamil Wagner,T,Notre Dame,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Antonio Williams,WR,Clemson,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Wesley Williams,DE,Duke,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Peter Woods,DT,Clemson,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
Collin Wright,DB,Stanford,degree_complete,https://www.nfl.com/news/forty-two-players-granted-special-eligibility-for-2026-nfl-draft/
