player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Mason White,43872,CB,OREGON ST,9,62,0,265,0,15.0,60.0,100.0,4.3,2.6,0,0,0.0,39.1,0,52,0.0,0,0,104.2,3,14,22.6,14,0,3,5,0,69,26,5.3,23.0,0,0,15.8,80.0,100.0,9.3,7.4,0,0,0.0,64.0,0,31,16.7,1,0,102.5,4,42,67.7,42,1,5,5,0,43,8,1.2,10.8
Noah Taylor,52348,LB,NWESTERN,1,1,0,256,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,
DeShawn Pace,53549,LB,UCF,12,321,0,323,0,9.7,66.7,77.4,19.0,12.7,0,0,0.0,63.5,0,16,33.3,2,0,130.6,4,82,25.5,106,0,4,6,1,48,15,0.6,12.0,0,1,1.9,87.0,84.2,8.2,7.1,0,1,4.3,69.8,1,30,19.0,4,1,76.4,20,170,53.0,202,9,16,23,0,154,121,0.9,7.7
Eric Phillips,53572,ED,CINCINNATI,12,1,0,138,0,,,2.3,,,0,0,,60.4,0,,50.0,1,0,0.0,0,1,100.0,44,0,1,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,100.0,2,0,0.0,0,0,0.0,140,3,0,0,0,0,0,,
Iesa Jarmon,53981,CB,AKRON,4,16,0,102,0,,,100.0,,,0,0,,45.5,0,,,0,0,0.0,0,3,18.8,3,0,0,0,0,0,0,0.0,,0,0,5.0,100.0,100.0,10.0,10.0,0,0,0.0,66.8,0,7,0.0,0,0,95.8,1,10,62.5,10,0,1,1,0,7,2,0.7,7.0
Jaheim Thomas,54193,LB,WISCONSIN,11,165,0,349,0,-0.7,66.7,81.2,16.3,10.8,0,0,0.0,64.7,0,24,0.0,0,0,84.0,4,69,41.8,85,4,3,6,0,38,44,0.6,9.5,0,3,4.7,70.0,79.8,11.6,8.1,0,0,0.0,54.7,0,25,0.0,0,0,88.3,7,87,52.7,109,3,5,10,0,67,49,0.8,9.6
Cheikhsaliou Fall,54240,ED,CAL,13,2,0,130,0,,,1.5,,,0,0,,60.0,0,,100.0,1,0,0.0,0,1,50.0,66,0,0,0,0,0,0,0.0,,0,2,,,1.1,,,0,0,,62.9,0,,0.0,0,0,0.0,0,1,50.0,87,0,1,0,0,0,0,0.0,
Jaiden Cameron,62277,ED,NWESTERN,6,1,0,256,0,,,25.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,4,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,19,0,1,0,0,0,0,,
Alex Howard,62494,LB,DUKE,13,262,0,154,1,1.4,75.0,79.3,14.2,10.6,0,0,0.0,59.4,0,16,0.0,0,0,85.4,6,88,33.6,111,6,10,8,0,40,36,0.5,6.7,0,1,6.6,83.3,75.6,12.1,10.1,0,0,0.0,57.3,0,26,37.5,6,0,105.6,10,127,48.5,168,9,9,12,0,112,28,0.9,11.2
Barry Brown,62724,LB,COAST CAR,13,177,0,141,1,2.5,100.0,67.7,10.8,10.8,0,0,0.0,63.2,0,17,0.0,0,0,109.4,4,44,24.9,65,1,3,4,0,41,31,1.0,10.3,0,3,2.6,93.8,88.9,7.4,6.9,0,0,0.0,56.7,0,28,21.4,3,0,101.3,15,112,63.3,126,6,8,16,0,133,108,1.2,8.9
Kam Butler,63872,ED,VIRGINIA,12,30,0,335,0,-3.0,100.0,14.8,9.5,9.5,0,1,50.0,59.3,0,25,66.7,4,1,118.8,2,21,70.0,142,3,2,2,0,29,35,1.5,14.5,0,1,,,1.9,,,0,0,,64.6,0,,28.6,2,0,0.0,0,4,13.3,215,4,4,0,0,0,0,0.0,
Josh Minkins,66051,S,CINCINNATI,11,237,0,138,0,7.0,100.0,96.3,26.0,26.0,0,0,0.0,41.8,0,7,50.0,1,0,95.8,1,26,11.0,27,0,1,1,0,7,0,0.3,7.0,0,1,12.0,50.0,100.0,31.0,15.5,0,3,37.5,77.5,1,28,0.0,0,3,25.0,4,127,53.6,127,3,5,8,0,40,14,0.3,10.0
Jeremiah Wood,66274,CB,OHIO,1,2,0,259,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,5.0,100.0,100.0,2.0,2.0,0,0,0.0,51.9,0,5,,0,0,87.5,1,2,100.0,2,0,0,1,0,5,0,2.5,5.0
Ty Hamilton,66298,DI,OHIO STATE,16,4,0,260,0,,,2.5,,,0,0,,58.6,0,,,0,0,0.0,0,3,75.0,120,1,0,0,0,0,0,0.0,,0,0,4.0,0.0,0.5,,1.0,0,0,0.0,59.6,0,,0.0,0,0,39.6,0,1,25.0,201,3,2,1,0,0,0,0.0,
Korey Foreman,70831,ED,FRESNO ST,11,26,0,169,0,,,5.4,,,0,0,,60.6,0,,,0,0,0.0,0,4,15.4,74,1,0,0,0,0,0,0.0,,0,0,4.3,75.0,15.8,6.0,4.5,0,0,0.0,50.7,0,8,40.0,2,0,85.4,3,18,69.2,114,3,3,4,0,20,10,1.1,6.7
Tuasivi Nomura,70879,LB,FRESNO ST,13,411,0,169,1,5.5,87.5,72.1,12.0,10.5,0,0,0.0,63.8,0,26,0.0,0,0,96.9,7,98,23.8,136,3,9,8,0,58,16,0.7,8.3,0,8,6.5,72.7,87.5,14.3,10.4,0,2,9.1,66.1,0,20,4.0,1,2,105.5,16,237,57.7,271,5,16,22,1,146,77,0.6,9.1
Tate Romney,70946,LB,ARIZONA ST,4,17,0,110,0,,,85.7,,,0,0,,62.1,0,,,0,0,0.0,0,6,35.3,7,0,0,0,0,0,0,0.0,,0,0,5.0,100.0,100.0,7.0,7.0,0,0,0.0,54.0,0,9,0.0,0,0,104.2,1,7,41.2,7,0,1,1,0,9,4,1.3,9.0
Domani Jackson,71370,CB,ALABAMA,13,375,0,103,1,9.5,38.1,100.0,14.8,5.6,0,3,14.3,68.4,2,19,28.6,2,1,11.3,8,128,34.1,128,1,4,21,0,86,38,0.7,10.8,0,1,14.3,62.5,97.6,13.3,8.3,0,3,12.5,57.0,0,31,18.2,4,3,99.0,15,207,55.2,212,8,17,24,1,178,59,0.9,11.9
William Nimmo Jr.,71391,S,S DIEGO ST,11,147,0,284,0,5.5,50.0,100.0,34.0,17.0,0,0,0.0,65.0,0,10,0.0,0,0,64.6,1,36,24.5,36,0,2,2,0,10,4,0.3,10.0,0,0,12.1,44.4,100.0,23.8,10.6,0,0,0.0,47.3,0,29,14.3,1,0,68.8,4,99,67.3,99,1,6,9,0,64,21,0.7,16.0
Akili Arnold,71406,S,USC,12,401,0,326,1,6.5,100.0,95.9,10.8,10.8,0,0,0.0,70.7,1,36,0.0,0,0,106.3,12,140,34.9,146,3,10,12,2,100,36,0.8,8.3,0,8,8.7,81.8,96.8,11.5,9.4,0,1,4.5,50.7,0,29,16.0,4,1,119.9,18,209,52.1,216,4,13,22,1,201,98,1.0,11.2
Easton Mascarenas-Arnold,71410,LB,USC,13,380,0,326,2,-4.2,100.0,70.1,17.3,17.3,0,0,0.0,68.7,0,19,0.0,0,0,95.8,6,115,30.3,164,4,5,6,0,42,67,0.4,7.0,0,5,4.8,92.3,89.4,8.7,8.0,0,0,0.0,28.4,2,27,17.2,5,0,89.7,24,211,55.5,236,3,19,26,1,264,166,1.3,11.0
Sheldon Newton,71957,DI,BOISE ST,12,2,0,120,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,48,1,0,0,0,0,0,,,0,0,,,1.8,,,0,0,,58.8,0,,0.0,0,0,0.0,0,2,100.0,111,2,2,0,0,0,0,0.0,
DJ Harvey,72089,CB,S JOSE ST,12,412,0,285,0,8.5,75.0,97.6,5.8,4.4,0,1,12.5,61.9,0,21,14.3,1,1,89.1,6,40,9.7,41,2,6,8,0,47,-1,1.3,7.8,0,1,12.0,50.0,98.1,13.7,6.9,1,8,18.2,91.2,4,43,15.2,5,6,38.8,22,313,76.0,319,13,27,44,2,188,62,0.6,8.5
Kamren Fabiculanan,72332,S,WASHINGTON,13,391,0,340,0,5.0,25.0,91.5,69.5,17.4,0,1,12.5,85.8,1,7,0.0,0,1,0.0,2,151,38.6,165,0,4,8,0,11,12,0.1,5.5,0,2,3.8,94.7,96.3,11.1,10.5,0,0,0.0,69.8,0,19,9.1,2,0,130.0,18,207,52.9,215,6,18,19,2,129,69,0.6,7.2
Raider Damuni,72338,S,BYU,12,155,0,128,0,5.0,66.7,98.0,21.0,14.0,0,0,0.0,78.6,0,9,0.0,0,0,77.1,2,49,31.6,50,1,1,3,0,14,15,0.3,7.0,0,1,8.3,85.7,95.0,11.7,10.0,0,0,0.0,43.7,0,24,33.3,2,0,105.4,6,76,49.0,80,1,3,7,0,65,50,0.9,10.8
Logan Pili,72354,LB,UTAH ST,5,15,0,329,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,80.0,,,0,0,,63.3,0,,,0,0,0.0,0,8,53.3,10,0,0,0,0,0,0,0.0,
Zahran Manley,72425,CB,STANFORD,5,169,0,300,0,14.0,62.5,100.0,5.8,3.6,0,1,12.5,33.7,0,67,50.0,1,1,145.8,5,34,20.1,34,0,1,8,2,106,59,3.7,21.2,0,2,15.3,46.7,100.0,17.1,8.0,0,4,26.7,70.9,0,17,16.7,2,3,65.7,7,121,71.6,121,0,8,15,0,89,22,0.7,12.7
Noa Pola-Gates,72535,CB,NEW MEXICO,11,334,0,241,0,11.6,57.1,100.0,12.5,7.1,0,4,28.6,64.7,0,43,37.5,3,4,126.8,8,109,32.6,109,0,5,14,2,126,53,1.3,15.8,0,3,15.0,48.0,100.0,15.1,7.2,0,5,20.0,65.7,0,59,9.5,2,4,75.8,12,192,57.5,192,6,16,25,0,202,74,1.1,16.8
Jadon Pearson,72538,LB,UTAH ST,10,163,0,329,0,,,68.4,,,0,0,,55.2,0,,100.0,1,0,0.0,0,13,8.0,19,0,0,0,0,0,0,0.0,,0,4,1.7,55.6,90.2,22.6,12.6,0,1,11.1,76.1,0,11,25.0,3,1,64.1,5,119,73.0,132,3,5,9,0,34,35,0.3,6.8
Lavario Wiley,72769,CB,UNLV,9,133,0,325,0,14.5,75.0,100.0,13.3,10.0,0,1,25.0,57.0,0,12,0.0,0,1,96.9,3,45,33.8,45,0,3,4,0,31,0,0.8,10.3,0,1,10.0,100.0,98.5,6.9,6.9,0,0,0.0,59.5,0,24,11.1,1,0,155.8,9,64,48.1,65,2,7,9,1,121,37,2.0,13.4
Keith Conley Jr.,72821,ED,UNLV,14,5,0,325,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,37,0,0,0,0,0,0,,,0,0,8.0,0.0,4.5,,4.0,0,0,0.0,68.4,0,,0.0,0,0,39.6,0,4,80.0,88,3,1,1,0,0,0,0.0,
Henry Ikahihifo,73151,ED,NEVADA,13,53,0,239,0,,,23.6,,,0,0,,63.8,0,,100.0,2,0,0.0,0,17,32.1,72,1,0,0,0,0,0,0.0,,0,0,2.5,100.0,18.6,8.0,8.0,0,0,0.0,57.0,0,71,20.0,1,0,118.8,4,32,60.4,172,4,4,4,0,90,80,2.8,22.5
Lincoln Tuioti-Mariner,73243,S,AIR FORCE,9,222,0,101,0,13.4,62.5,97.6,7.6,4.8,0,0,0.0,40.6,0,24,40.0,2,0,99.0,5,41,18.5,42,0,3,8,0,86,31,2.3,17.2,0,4,8.1,86.4,86.5,8.1,7.0,0,2,9.1,76.3,0,24,13.6,3,2,103.0,19,160,72.1,185,9,15,22,0,192,72,1.2,10.1
Marco Notarainni,73389,LB,BOISE ST,14,196,0,120,2,,,63.8,,,0,0,,67.7,0,,33.3,2,0,0.0,0,51,26.0,80,1,2,0,0,0,0,0.0,,0,3,3.5,50.0,75.5,58.5,29.3,0,1,25.0,66.7,0,36,27.3,3,1,88.5,2,117,59.7,155,6,5,4,0,43,31,0.4,21.5
Gio De Leon,73658,LB,BUFFALO,1,1,0,126,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Justin Houston,74101,CB,FRESNO ST,3,21,0,169,0,21.0,50.0,100.0,3.0,1.5,0,0,0.0,58.2,1,21,,0,0,47.9,1,3,14.3,3,0,0,2,0,21,1,7.0,21.0,0,1,6.0,100.0,100.0,12.0,12.0,0,0,0.0,60.2,0,8,0.0,0,0,100.0,1,13,61.9,13,1,0,1,0,8,2,0.7,8.0
Taariq Al-Uqdah,74119,LB,WASH STATE,12,351,0,341,0,6.9,50.0,65.9,18.8,9.4,0,2,25.0,76.1,1,18,16.7,1,2,68.2,4,83,23.6,126,1,5,8,1,47,19,0.6,11.8,0,2,3.3,69.6,92.7,12.9,9.0,0,0,0.0,77.4,2,25,21.7,5,0,47.9,16,217,61.8,234,6,16,23,0,133,108,0.6,8.3
Justin Sinclair,74258,S,HAWAII,11,214,0,180,0,6.5,87.5,100.0,8.9,7.8,0,0,0.0,53.1,0,26,28.6,2,0,137.5,7,68,31.8,68,1,5,8,2,60,34,1.0,8.6,0,1,5.5,62.5,99.2,24.4,15.3,0,0,0.0,73.7,0,11,13.3,2,0,66.7,5,126,58.9,127,7,12,8,0,23,11,0.2,4.6
Zion Branch,74395,S,USC,10,127,0,326,1,9.6,75.0,94.1,7.3,5.5,0,1,12.5,52.6,0,16,14.3,1,1,131.3,6,48,37.8,51,2,5,8,1,52,26,1.2,8.7,0,1,12.0,55.6,100.0,14.2,7.9,0,2,22.2,73.7,0,32,0.0,0,2,117.4,5,72,56.7,72,2,5,9,1,69,24,1.0,13.8
Treven Ma'ae,74498,DI,BAYLOR,13,3,0,118,0,,,2.7,,,0,0,,59.5,0,,,0,0,0.0,0,1,33.3,37,0,0,0,0,0,0,0.0,,0,2,,,0.9,,,0,0,,65.9,0,,14.3,2,0,0.0,0,2,66.7,229,7,10,0,0,0,0,0.0,
Jaymar Mundy,75041,CB,W KENTUCKY,4,25,0,346,0,,,100.0,,,0,0,,60.9,0,,,0,0,0.0,0,2,8.0,2,0,0,0,0,0,0,0.0,,0,0,29.0,100.0,100.0,5.5,5.5,0,0,0.0,49.9,0,54,0.0,0,0,118.8,2,12,48.0,12,1,2,2,0,62,4,5.6,31.0
Jaylen Johnson,75046,S,OHIO,2,28,0,259,0,,,100.0,,,0,0,,63.3,0,,,0,0,0.0,0,5,17.9,5,0,0,0,0,0,0,0.0,,0,0,15.0,100.0,100.0,16.0,16.0,0,0,0.0,58.1,0,16,,0,0,118.8,1,16,57.1,16,0,0,1,0,16,1,1.0,16.0
Silas Walters,75263,S,MIAMI OH,14,527,0,221,1,16.1,53.3,99.0,11.6,6.2,0,5,33.3,74.4,0,25,11.1,1,3,92.9,8,102,19.4,103,0,7,15,1,87,15,0.9,10.9,0,4,7.3,55.6,99.2,23.3,12.9,0,4,14.8,83.7,0,15,9.1,3,4,65.4,15,361,68.5,364,5,26,27,0,110,41,0.3,7.3
Chuck Hicks,75816,LB,MISSOURI,12,120,0,229,0,7.5,50.0,68.6,23.0,11.5,0,0,0.0,52.5,0,12,50.0,1,0,68.8,1,24,20.0,35,2,1,2,0,12,15,0.5,12.0,0,2,8.0,100.0,96.2,17.8,17.8,0,1,25.0,55.8,0,38,30.0,3,1,158.3,4,75,62.5,78,1,5,4,1,93,61,1.3,23.3
Caleb Tubbs,76053,CB,MIAMI OH,2,11,0,221,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,9.1,1,0,0,0,0,0,0,,,0,0,11.5,75.0,100.0,3.0,2.3,0,0,0.0,44.6,0,20,0.0,0,0,96.9,3,9,81.8,9,0,2,4,0,31,8,3.4,10.3
Bam Booker,76122,ED,BOWL GREEN,2,1,0,122,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,10.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,10,0,0,0,0,0,0,0.0,
Damaje Yancey,76532,CB,TROY,10,308,0,318,0,17.3,42.9,100.0,13.7,5.9,0,0,0.0,29.9,0,75,0.0,0,0,129.5,3,47,15.3,47,0,2,7,1,121,58,3.0,40.3,0,2,10.6,64.5,99.4,7.8,5.0,0,5,16.1,68.0,0,25,15.4,4,3,79.2,20,164,53.2,165,6,20,31,0,174,51,1.1,8.7
Capone Blue,76604,CB,WAKE,5,147,0,339,0,9.8,25.0,100.0,17.0,4.3,0,1,25.0,53.8,0,5,100.0,1,1,39.6,1,18,12.2,18,0,0,4,0,5,9,0.3,5.0,0,3,13.2,71.4,100.0,7.8,5.6,0,0,0.0,60.2,0,24,11.8,2,0,136.5,15,121,82.3,121,4,12,21,3,178,33,1.5,11.9
Torey Richardson,76711,CB,TEMPLE,10,258,0,306,0,11.5,50.0,98.9,9.9,4.9,0,4,25.0,64.5,0,31,0.0,0,4,67.2,8,91,35.3,92,1,5,16,0,90,28,1.1,11.3,0,1,13.0,55.6,98.6,13.7,7.6,0,1,5.6,65.3,1,46,33.3,4,1,53.7,10,146,56.6,148,2,7,18,0,123,70,0.9,12.3
Antonio Colclough,76813,ED,BUFFALO,13,6,0,126,0,,,2.9,,,0,0,,59.5,0,,,0,0,0.0,0,1,16.7,35,0,0,0,0,0,0,0.0,,0,0,,,2.5,,,0,0,,61.0,0,,75.0,3,0,0.0,0,4,66.7,161,2,1,0,0,0,0,0.0,
Justin Wright,77160,LB,OKLA STATE,6,66,0,262,0,1.0,100.0,58.6,14.0,14.0,0,0,0.0,52.3,0,50,,0,0,158.3,1,17,25.8,29,0,0,1,1,50,49,3.6,50.0,0,0,2.6,40.0,97.7,21.0,8.4,0,0,0.0,46.3,0,12,0.0,0,0,53.8,2,43,65.2,44,2,5,5,0,22,14,0.5,11.0
Matt Harmon,77244,ED,KENT STATE,12,19,0,201,0,,,2.6,,,0,0,,74.4,0,,25.0,1,0,0.0,0,2,10.5,78,1,3,0,0,0,0,0.0,,0,1,9.0,100.0,9.3,4.7,4.7,0,0,0.0,36.3,0,14,50.0,1,0,108.3,3,14,73.7,150,1,0,3,0,30,3,2.1,10.0
Daniel Bolden,77252,LB,TOLEDO,13,324,0,316,0,-0.8,83.3,86.3,21.2,17.7,0,0,0.0,68.8,0,12,20.0,1,0,125.7,5,107,33.0,124,5,4,6,1,28,33,0.3,5.6,0,3,4.2,87.5,85.9,10.9,9.5,0,0,0.0,59.7,0,24,15.4,2,0,100.3,14,164,50.6,191,5,8,16,0,129,94,0.8,9.2
Keye Thompson,77266,LB,PITTSBURGH,10,97,0,268,0,,,57.1,,,0,0,,62.3,0,,,0,0,0.0,0,8,8.2,14,0,0,0,0,0,0,0.0,,0,0,4.0,80.0,67.3,17.0,13.6,0,1,20.0,63.7,0,24,0.0,0,1,151.3,4,72,74.2,107,3,5,5,1,54,38,0.8,13.5
Jace Ruder,77680,LB,N TEXAS,6,18,0,251,0,,,20.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,5.6,5,0,0,0,0,0,0,0.0,,0,0,8.0,0.0,56.7,,15.0,0,0,0.0,64.9,0,,,0,0,39.6,0,17,94.4,30,0,0,1,0,0,0,0.0,
Tory Spears,78134,S,TEXAS ST,8,108,0,314,0,19.3,25.0,96.7,26.0,6.5,0,0,0.0,45.3,0,4,50.0,1,0,39.6,1,29,26.9,30,0,1,4,0,4,3,0.2,4.0,0,0,7.8,100.0,100.0,11.4,11.4,0,0,0.0,43.5,0,57,25.0,2,0,118.8,5,60,55.6,60,0,6,5,0,97,58,1.7,19.4
DaShon Bussell,78169,CB,W MICHIGAN,12,116,0,347,0,13.8,50.0,100.0,13.0,6.5,0,1,25.0,47.6,0,17,0.0,0,1,70.8,2,30,25.9,30,0,2,4,0,26,9,1.0,13.0,0,1,22.3,66.7,100.0,36.0,24.0,0,0,0.0,64.9,0,45,16.7,1,0,149.3,2,74,63.8,74,1,4,3,1,58,4,0.8,29.0
Marque Collins,78999,CB,BYU,13,405,0,128,2,8.2,57.9,99.1,9.4,5.4,0,2,10.5,56.4,0,23,10.0,1,2,73.1,11,109,26.9,110,3,7,19,0,104,60,1.0,9.5,0,2,11.5,46.2,99.6,17.9,8.3,1,6,23.1,76.0,2,61,14.3,2,6,51.8,12,224,55.3,225,4,10,26,1,190,110,0.9,15.8
Jayden McDonald,81249,LB,UCONN,13,326,0,146,1,-1.0,100.0,38.5,45.0,45.0,0,0,0.0,76.1,0,0,0.0,0,0,79.2,1,45,13.8,117,6,2,1,0,0,1,0.0,0.0,0,5,3.1,77.8,83.5,8.7,6.7,0,1,3.7,60.3,1,26,24.0,6,1,75.9,21,192,58.9,230,6,14,27,0,160,117,0.9,7.6
Jared Small,81284,LB,ARIZONA,3,3,0,109,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,1,0,0,0,0,0,0,0.0,,0,0,-4.0,100.0,100.0,2.0,2.0,0,0,0.0,52.6,0,15,,0,0,118.8,1,2,66.7,2,0,0,1,0,15,19,7.5,15.0
Jalen Rayam,81425,LB,UTEP,1,1,0,330,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,-1.0,100.0,100.0,1.0,1.0,0,0,0.0,60.0,0,2,,0,0,79.2,1,1,100.0,1,0,0,1,0,2,3,2.0,2.0
Moroni Anae,81437,ED,UTAH,1,2,0,328,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,0.0,
Jermayne Lole,82212,DI,TEXAS,16,1,0,311,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,27,0,0,0,0,0,0,,,0,1,,,0.6,,,0,0,,60.2,0,,50.0,1,0,0.0,0,1,100.0,172,0,0,0,0,0,0,0.0,
Jacob Mangum-Farrar,82557,ED,INDIANA,7,17,0,190,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,2,0,0,0,0,0,0,,,0,0,2.5,100.0,20.8,5.5,5.5,0,0,0.0,60.2,0,17,100.0,1,0,108.3,2,11,64.7,53,1,0,2,0,20,15,1.8,10.0
Raymond Scott,82560,LB,JAMES MAD,11,105,0,197,0,2.4,60.0,81.8,8.3,5.0,0,0,0.0,43.1,0,7,0.0,0,0,64.6,3,27,25.7,33,0,1,5,0,13,11,0.5,4.3,0,1,1.9,70.0,89.6,9.4,6.6,0,1,10.0,71.1,0,29,0.0,0,1,88.7,7,69,65.7,77,2,5,10,0,68,64,1.0,9.7
Solomon Tuliaupupu,82562,ED,USC,9,22,0,326,1,0.0,100.0,25.0,9.0,9.0,0,0,0.0,72.1,0,1,0.0,0,0,79.2,1,9,40.9,36,1,1,1,0,1,1,0.1,1.0,0,0,3.0,100.0,17.1,7.0,7.0,0,0,0.0,52.5,0,14,0.0,0,0,118.8,1,7,31.8,41,0,1,1,0,14,11,2.0,14.0
Ale Kaho,82646,LB,UCLA,8,104,0,324,1,-2.5,100.0,63.9,10.0,10.0,0,0,0.0,46.7,0,5,66.7,2,0,118.8,2,23,22.1,36,1,0,2,1,6,11,0.3,3.0,0,3,0.2,83.3,83.9,9.8,8.2,0,0,0.0,61.8,0,18,0.0,0,0,97.2,5,52,50.0,62,3,4,6,0,44,45,0.9,8.8
Jaden Robinson,83074,CB,OREGON ST,8,226,0,265,2,12.7,73.7,100.0,5.6,4.1,0,1,5.3,52.0,0,36,7.1,1,1,136.7,14,81,35.8,81,1,11,19,2,174,34,2.2,12.4,0,1,14.5,60.0,98.3,12.0,7.2,0,0,0.0,55.2,0,20,16.7,2,0,77.9,9,118,52.2,120,2,9,15,0,93,17,0.9,10.3
Dustin Johnson,83197,S,OHIO,14,455,0,259,1,12.4,62.5,96.6,11.0,6.9,0,1,12.5,68.9,0,11,25.0,2,1,110.9,5,57,12.5,59,0,5,8,1,33,5,0.6,6.6,0,9,9.5,58.3,98.9,24.4,14.3,1,1,4.2,54.6,0,42,20.5,8,1,115.3,14,359,78.9,363,7,22,24,2,212,74,0.6,15.1
Jarvis Ware,83314,CB,UNLV,13,287,0,325,0,13.3,38.5,98.6,13.0,5.0,1,3,23.1,66.2,0,22,0.0,0,2,75.2,5,72,25.1,73,3,4,13,1,48,7,0.7,9.6,0,2,11.7,70.6,100.0,13.1,9.2,0,2,11.8,73.0,0,57,8.3,1,2,105.3,12,163,56.8,163,2,9,17,0,181,82,1.2,15.1
Chris Mills,83315,CB,TEXAS ST,13,355,0,314,0,13.4,60.0,99.0,9.4,5.7,0,2,13.3,50.7,0,31,0.0,0,1,87.4,9,97,27.3,98,2,9,15,0,127,28,1.5,14.1,0,2,13.1,34.8,99.5,23.3,8.1,1,2,8.7,66.7,1,28,7.1,1,1,31.3,8,198,55.8,199,2,11,23,0,101,20,0.5,12.6
Brendon Harris,83446,S,MIDDLE TN,2,72,0,224,0,3.5,100.0,80.0,8.0,8.0,0,1,50.0,55.8,0,9,0.0,0,1,100.0,2,16,22.2,20,0,1,2,0,16,9,1.0,8.0,0,3,0.3,75.0,94.0,15.7,11.8,0,0,0.0,59.7,0,16,11.1,1,0,82.3,3,47,65.3,50,1,5,4,0,17,18,0.4,5.7
Fa'Najae Gotay,83821,LB,AUBURN,3,22,0,115,0,8.0,100.0,100.0,7.0,7.0,0,0,0.0,50.5,0,9,,0,0,104.2,1,8,36.4,8,0,0,1,0,9,1,1.3,9.0,0,1,,,76.9,,,0,0,,64.1,0,,0.0,0,0,0.0,0,10,45.5,13,0,0,0,0,0,0,0.0,
Bryan Addison,83825,S,UCLA,12,457,0,324,3,3.0,75.0,92.4,16.7,12.5,0,0,0.0,73.0,1,23,9.1,1,0,44.8,6,110,24.1,119,2,7,8,0,38,42,0.4,6.3,0,4,13.1,52.6,99.6,24.0,12.6,0,3,15.8,62.3,1,59,23.5,4,3,78.8,10,252,55.1,253,0,9,19,1,170,76,0.7,17.0
Armani-Eli Adams,83838,S,W MICHIGAN,11,107,0,347,0,12.5,100.0,96.4,5.5,5.5,0,0,0.0,49.2,0,30,60.0,3,0,158.3,4,27,25.2,28,1,2,4,1,76,26,3.5,19.0,0,0,4.7,66.7,97.3,35.0,23.3,0,1,33.3,67.5,0,7,16.7,1,1,70.1,2,71,66.4,73,2,5,3,0,8,4,0.1,4.0
