player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Arnel Heathington,175239,CB,NAVY,3,9,0,237,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,11.1,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,65.5,0,,,0,0,0.0,0,8,88.9,8,0,0,0,0,0,0,0.0,
Greg Johnson II,175243,CB,NAVY,8,96,0,237,0,,,100.0,,,0,0,,64.5,0,,,0,0,0.0,0,9,9.4,9,0,0,0,0,0,0,0.0,,0,1,18.4,70.0,100.0,9.0,6.3,0,0,0.0,51.8,0,21,0.0,0,0,129.6,7,65,67.7,65,1,3,10,2,71,12,1.1,10.1
Conner Lessane,175246,S,NAVY,1,4,0,237,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,63.0,0,,,0,0,0.0,0,4,100.0,4,0,0,0,0,0,0,0.0,
Irabonoise Oniha,175257,CB,NAVY,7,123,0,237,0,9.5,50.0,92.9,11.0,5.5,0,2,100.0,72.3,0,5,,0,1,56.3,1,13,10.6,14,0,0,2,0,5,0,0.5,5.0,0,0,24.5,83.3,100.0,13.0,10.8,0,0,0.0,64.0,1,48,0.0,0,0,118.8,5,72,58.5,72,2,5,6,1,136,22,2.1,27.2
Matt Reyes,175261,DI,NAVY,6,1,0,237,0,,,20.0,,,0,0,,59.3,0,,,0,0,0.0,0,1,100.0,5,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,21,0,0,0,0,0,0,,
Matthew Seliga,175263,S,NAVY,8,47,0,237,0,30.0,0.0,50.0,,1.0,0,0,0.0,60.1,0,,,0,0,39.6,0,1,2.1,2,0,0,1,0,0,0,0.0,,0,0,16.0,50.0,100.0,34.0,17.0,0,0,0.0,76.9,0,9,0.0,0,0,62.5,1,36,76.6,36,0,6,2,0,9,0,0.3,9.0
Giuseppe Sessi,175264,S,NAVY,12,99,0,237,0,,,100.0,,,0,0,,63.5,0,,0.0,0,0,0.0,0,5,5.1,5,0,1,0,0,0,0,0.0,,0,0,33.7,0.0,100.0,,22.7,0,0,0.0,60.2,0,,42.9,3,0,39.6,0,70,70.7,70,0,4,3,0,0,0,0.0,
Joshua Switzer,175270,S,NAVY,2,5,0,237,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,20.0,1,0,0,0,0,0,0,0.0,,0,0,31.0,100.0,100.0,4.0,4.0,0,0,0.0,42.7,0,37,0.0,0,0,118.8,1,4,80.0,4,0,1,1,0,37,6,9.3,37.0
Griffen Willis,175274,DI,NAVY,13,3,0,237,0,,,3.4,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,29,0,0,0,0,0,0,0.0,,0,1,,,1.8,,,0,0,,58.1,0,,0.0,0,0,0.0,0,2,66.7,113,1,0,0,0,0,0,0.0,
Brandon Miyazono,175288,LB,SMU,5,27,0,287,0,,,87.5,,,0,0,,62.7,0,,,0,0,0.0,0,7,25.9,8,1,0,0,0,0,0,0.0,,0,2,6.3,66.7,94.1,8.0,5.3,0,0,0.0,50.3,0,17,33.3,1,0,95.1,2,16,59.3,17,0,0,3,0,27,13,1.7,13.5
Abdul Muhammad,175290,S,SMU,3,33,0,287,0,,,100.0,,,0,0,,65.5,0,,0.0,0,0,0.0,0,7,21.2,7,0,1,0,0,0,0,0.0,,0,1,6.3,66.7,100.0,11.5,7.7,0,1,33.3,72.1,0,14,0.0,0,1,85.4,2,23,69.7,23,0,2,3,0,20,5,0.9,10.0
Tawfiq Byard,175309,S,USF,12,263,0,327,1,3.0,100.0,85.0,20.8,20.8,0,0,0.0,61.0,0,35,0.0,0,0,118.8,4,91,34.6,107,1,6,4,0,53,41,0.6,13.3,0,2,6.9,91.7,91.8,13.5,12.4,0,0,0.0,69.4,1,30,14.3,2,0,74.0,11,157,59.7,171,3,10,12,0,121,64,0.8,11.0
Kahlil Ali,175331,LB,BOSTON COL,2,4,0,121,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,64.9,0,,0.0,0,0,0.0,0,3,75.0,3,0,1,0,0,0,0,0.0,
