player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Dorian Plumley,144634,S,ABILENE CH,14,159,19.9,11.4,100,0,124.4,8,14,1,171,79,1.08
Jaden Voisin,97506,S,S ALABAMA,13,99,19.8,14.1,288,0,128.0,5,7,1,45,13,0.45
Rasheem Biles,175408,LB,PITTSBURGH,11,39,19.5,5.6,268,0,39.6,2,7,0,15,18,0.38
Kevon Angry,132430,CB,ALBANY,10,39,19.5,5.6,106,0,46.7,2,7,0,33,22,0.85
Ayden Jones,189285,LB,PRVIEW A&M,6,39,19.5,13.0,270,0,96.5,2,3,0,28,27,0.72
Brylan Green,157386,S,LIBERTY,10,136,19.4,10.5,206,0,68.1,7,13,0,66,44,0.49
Max Lofy,129924,S,WISCONSIN,9,58,19.3,5.8,349,0,39.6,3,10,0,16,11,0.28
Ephesians Prysock,158740,CB,WASHINGTON,9,19,19.0,3.8,340,0,40.4,1,5,0,16,21,0.84
Ryan Tirrell,105353,LB,MONTANA,13,38,19.0,6.3,232,0,42.4,2,6,0,18,25,0.47
Christian Bell,173259,S,MERCYHURST,2,19,19.0,9.5,977,0,95.8,1,2,0,30,1,1.58
Deshawn Jones Jr.,130367,CB,STNY BROOK,3,19,19.0,19.0,303,0,118.8,1,1,0,17,6,0.89
Jared Pedraza,105277,LB,SE MO ST,8,19,19.0,19.0,293,0,95.8,1,1,0,7,8,0.37
Peyton Wing,159047,LB,PORTLAND,7,19,19.0,19.0,269,0,118.8,1,1,0,13,18,0.68
RJ Williams,149725,S,STETSON,6,19,19.0,9.5,302,0,135.4,1,2,1,28,0,1.47
Jesse Powell II,159118,LB,ELON,9,38,19.0,9.5,162,0,67.7,2,4,0,23,2,0.61
Duncan Moreland,142330,S,NEW HAMP,11,57,19.0,7.1,240,0,45.8,3,8,0,20,9,0.35
Devin Vaught,170858,S,MAINE,10,57,19.0,7.1,212,0,45.8,3,8,0,13,6,0.23
Anthony Switzer,102668,LB,ARKANSAS,8,19,19.0,19.0,111,0,100.0,1,1,0,8,2,0.42
Ryan Jones,148166,S,N DAK ST,10,19,19.0,4.8,250,0,39.6,1,4,0,4,1,0.21
Christian Bodnar,174922,CB,LIBERTY,5,76,19.0,9.5,206,1,18.2,4,8,0,27,8,0.36
Kody Jackson,176350,S,LA LAFAYET,4,19,19.0,6.3,207,0,97.2,1,3,1,20,21,1.05
D'Yoni Hill,168425,CB,MIAMI FL,7,19,19.0,6.3,220,0,47.9,1,3,0,13,8,0.68
Damon Walters,174058,S,NWESTERN,7,38,19.0,7.6,256,0,58.8,2,5,0,28,19,0.74
Kenyatta Watson II,99265,S,GA STATE,10,38,19.0,6.3,175,0,42.4,2,6,0,17,15,0.45
Nicklous Haynes,176990,LB,TOWSON,10,19,19.0,19.0,317,0,158.3,1,1,1,16,1,0.84
Sean Webb,176961,CB,NEW HAMP,10,113,18.8,11.3,240,0,68.8,6,10,0,40,34,0.35
Kourtlan Marsh,139078,S,MEMPHIS,4,75,18.8,12.5,218,1,70.1,4,6,0,96,20,1.28
Tahj Chambers,122740,LB,MO STATE,11,56,18.7,14.0,230,0,85.4,3,4,0,20,10,0.36
Dorian Mausi,122378,LB,AUBURN,11,37,18.5,7.4,115,0,52.9,2,5,0,21,24,0.57
Sean Hunt,148543,S,BRYANT,11,37,18.5,18.5,124,0,108.3,2,2,0,20,3,0.54
Jake Higgins,165271,CB,SAN DIEGO,8,37,18.5,7.4,283,0,57.9,2,5,0,27,21,0.73
