player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Shane Bruce,122323,LB,COAST CAR,7,16,16.0,16.0,141,0,79.2,1,1,0,-2,0,-0.13
GianCarlo Rufo,172032,LB,GEORGETOWN,8,16,16.0,16.0,172,0,87.5,1,1,0,5,10,0.31
Jakeen Harris,97351,S,N CAROLINA,11,63,15.8,10.5,245,0,109.7,4,6,0,81,25,1.29
Caleb Williams,159815,S,FURMAN,11,126,15.8,8.4,170,0,104.9,8,15,1,130,88,1.03
Terrell Coleman Jr.,178636,S,PRVIEW A&M,11,189,15.8,9.9,270,1,60.4,12,19,0,126,69,0.67
Semaj Cross,143096,S,LAFAYETTE,11,95,15.8,9.5,203,1,34.6,6,10,0,53,66,0.56
Xavier Robiou,154754,S,HOWARD,11,79,15.8,11.3,184,0,112.2,5,7,0,85,5,1.08
Jermarius Lewis,163354,S,UTSA,12,47,15.7,6.7,331,0,107.7,3,7,1,51,26,1.09
Boogie Owens,191876,S,FORDHAM,8,47,15.7,7.8,168,1,17.4,3,6,0,19,7,0.4
James Reed III,156665,S,ARK STATE,3,47,15.7,6.7,113,0,101.8,3,7,1,41,23,0.87
Makari Paige,129592,S,MICHIGAN,12,141,15.7,8.3,222,1,56.5,9,17,1,62,54,0.44
CJ Heard,183405,S,FAU,11,47,15.7,6.7,165,0,89.9,3,7,1,17,9,0.36
De'Rickey Wright,124367,S,VANDERBILT,9,31,15.5,10.3,333,0,97.9,2,3,0,29,15,0.94
Jaden Kelly,193307,LB,ARKAPB,9,31,15.5,15.5,112,0,83.3,2,2,0,8,5,0.26
Sage Ryan,146776,S,LSU,11,62,15.5,10.3,211,0,93.8,4,6,0,52,32,0.84
Jaheim Clarke,175969,CB,ILLINOIS,5,31,15.5,7.8,187,0,69.8,2,4,0,25,16,0.81
Jeremy Mack Jr.,157712,S,DOMINION,9,31,15.5,10.3,263,0,89.6,2,3,0,23,11,0.74
Greyson Metz,129729,LB,NWESTERN,6,31,15.5,6.2,256,0,54.6,2,5,0,23,7,0.74
Jaki Brevard,150439,LB,NC CENT,9,31,15.5,7.8,247,0,134.4,2,4,1,49,38,1.58
Jalen McNair,130415,S,BUFFALO,13,262,15.4,9.4,126,1,67.7,17,28,1,121,70,0.46
Branson Tita-Nwa,192470,CB,TARLETON,13,92,15.3,8.4,401,0,106.3,6,11,1,75,14,0.82
Amare Ferrell,173381,S,INDIANA,13,167,15.2,10.4,190,3,43.0,11,16,0,89,46,0.53
William Barber,75271,S,ROB MORRIS,12,121,15.1,4.7,277,0,54.6,8,26,0,168,83,1.39
Jaden Dottin,129774,WR,TOLEDO,4,15,15.0,7.5,316,1,20.8,1,2,0,8,0,0.53
Josh Pearcy,97966,ED,RICE,11,30,15.0,7.5,275,0,76.0,2,4,0,31,36,1.03
Fred Gaskin,189604,S,USF,4,15,15.0,5.0,327,0,42.4,1,3,0,-1,5,-0.07
Maddox Marcellus,170594,LB,E KENTUCKY,10,30,15.0,10.0,159,0,70.1,2,3,0,9,6,0.3
Phillip Webb,124118,ED,JACKSON ST,7,15,15.0,7.5,194,0,56.3,1,2,0,6,0,0.4
Rente Hinton,170371,S,NC STATE,8,15,15.0,7.5,248,0,58.3,1,2,0,7,9,0.47
Bryson Shaw,101664,S,USC,9,30,15.0,15.0,326,0,118.8,2,2,1,5,3,0.17
Jayden Williams,145199,S,FAU,4,30,15.0,15.0,165,0,79.2,2,2,0,3,1,0.1
Jack Kiser,97889,LB,NOTRE DAME,9,15,15.0,5.0,258,0,42.4,1,3,0,0,-7,0.0
Jerome Jolly Jr.,123883,LB,LIBERTY,10,15,15.0,7.5,206,0,75.0,1,2,0,15,18,1.0
Malachai Jones,123252,S,TULSA,10,45,15.0,5.6,320,0,45.8,3,8,0,9,12,0.2
D'Angelo Hutchinson,156316,S,LOUISVILLE,12,45,15.0,11.3,210,0,116.7,3,4,0,75,19,1.67
Darius McClendon,97910,S,BOWL GREEN,13,120,15.0,12.0,122,0,102.1,8,10,0,85,52,0.71
Taye Seymore,170077,S,GA TECH,8,15,15.0,7.5,176,0,60.4,1,2,0,8,2,0.53
Cam Burden,145551,LB,CHARLOTTE,10,30,15.0,7.5,136,1,26.0,2,4,0,21,7,0.7
Ethan Zager,91197,S,DRAKE,8,15,15.0,5.0,153,0,45.1,1,3,0,11,17,0.73
Ryan Yaites,172501,S,CAL,8,60,15.0,7.5,130,0,80.2,4,8,0,70,53,1.17
Gregory Young II,79147,S,MORGAN ST,9,15,15.0,7.5,235,0,56.3,1,2,0,4,0,0.27
Jackson Finefrock,185006,CB,N ARIZONA,2,15,15.0,7.5,252,0,77.1,1,2,0,16,7,1.07
Javaris Jones,185852,S,FURMAN,4,15,15.0,7.5,170,0,106.3,1,2,1,11,0,0.73
Charles Demmings,150672,CB,STF AUSTIN,6,15,15.0,15.0,301,0,127.1,1,1,1,5,0,0.33
Jaylen Jackson,77809,LB,MCNEESE,5,15,15.0,7.5,217,0,58.3,1,2,0,7,3,0.47
Larmar Frazier,151301,S,MARIST,4,15,15.0,7.5,213,0,56.3,1,2,0,2,5,0.13
David Carter Jr.,130450,S,E MICHIGAN,6,15,15.0,15.0,160,0,118.8,1,1,0,19,3,1.27
Grant Jackson,142553,CB,MERRIMACK,7,15,15.0,3.0,385,1,0.0,1,5,0,5,1,0.33
Ethan Johnson,157549,CB,APP STATE,6,15,15.0,15.0,108,0,118.8,1,1,0,21,9,1.4
Korian Wilson,122662,CB,LA MONROE,6,30,15.0,15.0,209,0,118.8,2,2,0,34,9,1.13
Keith Brown,146557,LB,WASH STATE,6,15,15.0,15.0,341,0,104.2,1,1,0,9,11,0.6
Jayden Bell,164057,S,IDAHO ST,9,30,15.0,7.5,186,0,62.5,2,4,0,18,10,0.6
Sam Jung,125296,S,N DAK ST,6,15,15.0,7.5,250,0,95.8,1,2,0,43,31,2.87
Blake Matthews,156872,LB,DELAWARE,8,30,15.0,10.0,151,0,149.3,2,3,1,85,82,2.83
Joseph Carter,147544,LB,LIBERTY,7,15,15.0,5.0,206,0,57.6,1,3,0,20,2,1.33
Kaleb Hutchinson,156677,S,MERCER,5,15,15.0,5.0,219,0,42.4,1,3,0,3,7,0.2
Simion Hines,163507,S,FL A&M,3,30,15.0,15.0,164,0,108.3,2,2,0,20,18,0.67
Caleb Lee-Collins,103921,S,GRAMBLING,7,30,15.0,4.3,177,1,22.6,2,7,0,59,10,1.97
Cam Maddox,148832,S,NC A&T,3,15,15.0,15.0,246,0,118.8,1,1,0,20,0,1.33
Nikai Martinez,158447,S,MICH STATE,12,119,14.9,7.4,223,0,89.8,8,16,1,97,39,0.82
Upton Stout,121906,S,W KENTUCKY,12,164,14.9,10.3,346,1,92.7,11,16,1,148,108,0.9
Jordan Walker,129403,S,CHATTNOOGA,12,59,14.8,8.4,137,0,79.5,4,7,0,50,50,0.85
Quincy Riley,97539,CB,LOUISVILLE,9,44,14.7,4.9,210,0,42.4,3,9,0,12,12,0.27
Jermaine Baker,106018,LB,MAINE,11,44,14.7,8.8,212,0,104.2,3,5,0,71,41,1.61
Ruben Lopez,165277,S,SAN DIEGO,10,103,14.7,6.9,283,3,13.9,7,15,0,9,25,0.09
JaCorey Thomas,157078,S,GEORGIA,8,44,14.7,8.8,173,0,67.1,3,5,0,18,31,0.41
Jadon Carter,153406,CB,MORGAN ST,8,44,14.7,11.0,235,1,104.2,3,4,1,38,0,0.86
Jagger Williams,150226,S,UTAHTC,8,103,14.7,8.6,1285,0,130.6,7,12,1,170,66,1.65
Jace Klucewich,143723,S,MONTANA,12,131,14.6,6.6,232,2,29.2,9,20,1,58,21,0.44
Peyton Bowen,173687,S,OKLAHOMA,8,29,14.5,9.7,261,0,92.4,2,3,0,25,11,0.86
Brandon Turnage,98859,CB,OLE MISS,6,58,14.5,11.6,226,0,90.8,4,5,0,29,7,0.5
Jack Fabris,173102,S,KANSAS ST,9,29,14.5,9.7,199,0,109.0,2,3,0,37,15,1.28
Sone Aupiu,163236,LB,NEW MEX ST,12,87,14.5,6.2,242,1,49.4,6,14,1,59,22,0.68
Jaden Yates,173560,LB,MARSHALL,13,29,14.5,7.3,214,0,56.3,2,4,0,2,1,0.07
Thomas Miles,150091,S,MCNEESE,11,29,14.5,9.7,217,0,70.1,2,3,0,7,0,0.24
Trey Lockhart Jr.,139341,S,STETSON,10,160,14.5,12.3,302,0,105.8,11,13,0,122,59,0.76
Cayman Spaulding,174579,LB,TENN TECH,12,58,14.5,7.3,309,0,69.3,4,8,0,49,26,0.84
Todric McGee,148117,S,MO STATE,5,29,14.5,7.3,230,0,72.9,2,4,0,28,4,0.97
Caleb McCullough,131619,LB,ARIZONA ST,10,29,14.5,9.7,110,1,41.7,2,3,0,17,3,0.59
Mercury Swaim,159491,LB,ST FRANCIS,11,58,14.5,9.7,299,0,79.9,4,6,0,32,38,0.55
Maxen Hook,130625,S,TOLEDO,10,58,14.5,6.4,316,0,62.3,4,9,0,50,30,0.86
Jaishawn Barham,156452,LB,MICHIGAN,11,29,14.5,14.5,222,0,100.0,2,2,0,16,12,0.55
Antavious Fish,163069,LB,AKRON,10,29,14.5,14.5,102,0,91.7,2,2,0,12,10,0.41
Paul Lewis III,105990,S,AKRON,12,72,14.4,14.4,102,0,147.9,5,5,1,50,18,0.69
Clarens Legagneur,104576,S,STNY BROOK,11,72,14.4,8.0,303,0,105.8,5,9,1,44,11,0.61
Alexander Ford,163042,S,W KENTUCKY,7,43,14.3,8.6,346,0,77.1,3,5,0,30,13,0.7
Mason Moore,158019,S,LEHIGH,12,43,14.3,7.2,205,0,56.3,3,6,0,10,8,0.23
AJ Williams,97343,S,COAST CAR,12,43,14.3,14.3,141,0,102.8,3,3,0,26,25,0.6
Kenneth Cooper,109279,S,MAINE,7,43,14.3,7.2,212,0,71.5,3,6,0,40,11,0.93
Matthew McClelland,160565,S,MOREHEAD,9,43,14.3,7.2,234,1,25.0,3,6,0,30,12,0.7
Malachi Moore,123928,S,ALABAMA,12,114,14.3,7.6,103,0,59.0,8,15,0,42,18,0.37
Jaxon Lee,143712,S,MONTANA,14,86,14.3,9.6,232,0,78.5,6,9,0,45,7,0.52
Joshua Tarver,164704,S,YALE,9,57,14.3,3.6,352,2,0.0,4,16,0,26,15,0.46
Miles Gilmore,174368,CB,ALAB A&M,12,57,14.3,5.7,104,0,86.7,4,10,1,43,32,0.75
Javon Davis,165649,CB,MCNEESE,12,329,14.3,5.9,217,0,80.4,23,56,3,353,150,1.07
Cruce Brookins,175409,S,PITTSBURGH,12,85,14.2,9.4,268,1,109.7,6,9,2,151,85,1.78
Tre Jordan III,148578,S,MERRIMACK,11,156,14.2,7.4,385,1,70.7,11,21,1,146,50,0.94
Khalib Johns,130494,LB,KENT STATE,8,14,14.0,14.0,201,0,95.8,1,1,0,7,2,0.5
Justin Sinclair,74258,S,HAWAII,11,70,14.0,8.8,180,0,69.8,5,8,0,30,26,0.43
Gavin Potter,97883,LB,TULSA,10,14,14.0,14.0,320,0,79.2,1,1,0,3,2,0.21
Shae Suiaunoa,98159,LB,WYOMING,12,56,14.0,11.2,351,0,86.7,4,5,0,24,21,0.43
Jaise Oliver,101091,S,TCU,6,14,14.0,7.0,305,0,56.3,1,2,0,3,7,0.21
Ryan Meed,101501,LB,ILLINOIS,9,14,14.0,14.0,187,0,91.7,1,1,0,6,0,0.43
Tyler Rudolph,101666,S,UMASS,9,28,14.0,3.5,216,0,50.0,2,8,0,44,13,1.57
Tray Dunson,102111,LB,UTEP,2,14,14.0,14.0,330,0,118.8,1,1,0,19,3,1.36
Braden Price,102463,CB,RHODE ISLD,7,14,14.0,7.0,274,0,81.3,1,2,0,18,2,1.29
Seun Filaoye,103602,S,RHODE ISLD,8,14,14.0,14.0,274,0,104.2,1,1,0,9,5,0.64
Cole Brockwell,103781,LB,RHODE ISLD,11,28,14.0,7.0,274,0,63.5,2,4,0,19,13,0.68
Wayne Adair,192995,CB,MARIST,4,14,14.0,14.0,213,0,91.7,1,1,0,6,6,0.43
Trashawn Adams,192606,S,STF AUSTIN,11,70,14.0,14.0,301,0,148.8,5,5,1,51,9,0.73
Corey Thornton,123763,CB,LOUISVILLE,8,14,14.0,2.8,210,0,79.2,1,5,1,9,1,0.64
Patrick Taylor,124041,S,JVILLE ST,6,14,14.0,7.0,196,0,56.3,1,2,0,3,3,0.21
Juandarion Silas,124924,ED,KENNESAW,8,28,14.0,7.0,200,0,85.4,2,4,0,40,17,1.43
Kaden Johnson,129921,ED,NEVADA,5,14,14.0,14.0,239,0,79.2,1,1,0,2,4,0.14
Charles Rosser,130380,ED,BOWL GREEN,6,14,14.0,14.0,122,0,87.5,1,1,0,5,9,0.36
Ty Myles,145837,CB,N ILLINOIS,12,42,14.0,8.4,254,0,85.4,3,5,0,40,8,0.95
Foster Slaughter,186133,CB,UTAHTC,4,42,14.0,6.0,1285,0,129.5,3,7,1,103,34,2.45
Bernard Stewart III,186062,CB,ALAB A&M,2,14,14.0,7.0,104,0,72.9,1,2,0,14,0,1.0
Jimmy Wyrick,146370,S,UTSA,3,14,14.0,4.7,331,0,81.9,1,3,1,7,0,0.5
Xavian Sorey Jr.,146724,LB,ARKANSAS,12,42,14.0,7.0,111,0,57.6,3,6,0,20,13,0.48
Mikey D'Amato,184985,LB,CAL POLY,8,14,14.0,7.0,129,0,60.4,1,2,0,8,0,0.57
Aiden McKinley,149533,LB,DAYTON,10,28,14.0,7.0,150,0,61.5,2,4,0,17,1,0.61
Matthew Clayton,150042,ED,WOFFORD,5,14,14.0,14.0,350,0,83.3,1,1,0,4,5,0.29
Markel Linzer,150158,CB,GRAMBLING,2,14,14.0,14.0,177,0,104.2,1,1,0,9,5,0.64
KeMari Clark,150175,S,CENT ARK,12,70,14.0,6.4,132,0,95.6,5,11,1,67,38,0.96
Rhoody Jean-Louis,150810,LB,ALABAMA ST,6,14,14.0,7.0,105,1,22.9,1,2,0,9,3,0.64
Robert Carter Jr.,154439,CB,ROB MORRIS,10,98,14.0,7.0,277,1,26.5,7,14,0,39,21,0.4
Jaeden Gould,156459,S,SYRACUSE,4,14,14.0,7.0,304,0,95.8,1,2,0,27,13,1.93
Jalil Martin,156472,S,SYRACUSE,3,28,14.0,9.3,304,1,109.7,2,3,1,72,60,2.57
Ethan Wesloski,156620,LB,N TEXAS,7,14,14.0,7.0,251,0,60.4,1,2,0,8,4,0.57
Bryan McCoy Jr.,156889,LB,AKRON,9,28,14.0,9.3,102,0,89.6,2,3,0,23,27,0.82
Maguire Neal,157963,S,CHARLOTTE,3,14,14.0,7.0,136,0,60.4,1,2,0,8,0,0.57
Donovan Branch,158608,ED,UCONN,8,14,14.0,7.0,146,0,56.3,1,2,0,4,2,0.29
Will Middleton,159512,LB,TOWSON,7,28,14.0,9.3,317,1,75.7,2,3,1,13,7,0.46
JaQori Williams,159626,S,SE MO ST,3,14,14.0,14.0,293,0,118.8,1,1,0,14,17,1.0
Ian Langan,159756,LB,LAFAYETTE,7,14,14.0,4.7,203,0,42.4,1,3,0,7,1,0.5
Sione Hala,162666,LB,BOSTON COL,4,14,14.0,14.0,121,0,118.8,1,1,0,15,0,1.07
David Walker,164231,ED,CENT ARK,6,14,14.0,14.0,132,0,83.3,1,1,0,4,0,0.29
Will Alovao,165718,ED,UTAHTC,6,14,14.0,14.0,1285,0,104.2,1,1,0,9,9,0.64
Josh Dunn,165801,LB,SO UTAH,5,28,14.0,7.0,298,0,62.5,2,4,0,18,13,0.64
Luke Talich,171100,S,NOTRE DAME,6,14,14.0,7.0,258,0,70.8,1,2,0,13,15,0.93
Jyaire Hill,174040,CB,MICHIGAN,7,14,14.0,7.0,222,0,56.3,1,2,0,-1,1,-0.07
Christopher Jean,174487,S,CENT CT ST,9,84,14.0,5.3,133,0,46.6,6,16,0,51,19,0.61
Jake Golday,150178,LB,CINCINNATI,12,139,13.9,10.7,138,0,87.0,10,13,0,65,49,0.47
Robert McDaniel,104268,S,JACKSON ST,14,195,13.9,8.9,194,1,68.2,14,22,0,169,103,0.87
Collin Wright,157276,CB,STANFORD,8,152,13.8,7.2,300,2,44.0,11,21,1,111,58,0.73
Davion Ames,174773,S,CENT CT ST,13,124,13.8,7.3,133,0,65.1,9,17,0,77,42,0.62
Trent Hendrick,156721,LB,JAMES MAD,13,55,13.8,9.2,197,0,91.7,4,6,0,49,16,0.89
Malik Dixon-Williams,97520,S,UCONN,10,41,13.7,4.1,146,0,39.6,3,10,0,28,28,0.68
Davion Williams,162129,S,CHARLES SO,10,41,13.7,8.2,135,0,72.1,3,5,0,24,21,0.59
Xavier Terry,148471,S,TOWSON,11,41,13.7,8.2,317,0,71.3,3,5,0,23,0,0.56
Greg Rubin,144280,S,MEMPHIS,13,95,13.6,6.8,218,0,94.3,7,14,1,90,56,0.95
Deon Houston,142546,CB,MERRIMACK,10,122,13.6,6.8,385,2,28.2,9,18,0,104,36,0.85
Cam Junior,133941,LB,E KENTUCKY,13,95,13.6,7.9,159,0,72.6,7,12,0,63,47,0.66
Kwantre' Harry,165453,S,SCAR STATE,11,136,13.6,9.1,290,2,67.8,10,15,1,99,66,0.73
Chisom Onwuzurigbo,177390,CB,HOLY CROSS,10,150,13.6,7.5,181,1,66.3,11,20,1,108,26,0.72
Joey Stemler,145618,LB,BALL ST,9,27,13.5,9.0,117,1,40.3,2,3,0,16,21,0.59
Maurio Goings,108096,LB,DELWARE ST,9,27,13.5,9.0,152,0,72.9,2,3,0,11,14,0.41
Austin Jordan,163850,S,TCU,12,81,13.5,9.0,305,0,78.9,6,9,0,46,40,0.57
Kolten Tilford,177227,S,S DAK ST,10,27,13.5,13.5,292,0,89.6,2,2,0,11,8,0.41
Jacob Dobbs,102118,LB,JAMES MAD,9,27,13.5,6.8,197,0,77.1,2,4,0,32,19,1.19
Ty Rawls,182314,S,TARLETON,14,284,13.5,6.5,401,1,65.8,21,44,1,273,141,0.96
Donte' Daniels,141898,LB,SE LA,12,81,13.5,8.1,294,0,65.4,6,10,0,32,20,0.4
Elijah King,101876,S,W OREGON,2,27,13.5,4.5,411,0,111.1,2,6,1,60,6,2.22
Will Hicks,178234,S,HAMPTON,11,54,13.5,10.8,178,0,93.3,4,5,0,32,7,0.59
Osize Daniyan,177501,S,YALE,9,54,13.5,4.2,352,0,77.1,4,13,1,74,42,1.37
Thai Baldwin,145629,CB,BALL ST,4,27,13.5,5.4,117,0,47.9,2,5,0,14,3,0.52
Leon Thomas,178625,CB,CHARLES SO,8,27,13.5,5.4,135,0,60.4,2,5,0,30,30,1.11
Tristen Roundtree,143101,S,LAFAYETTE,7,27,13.5,13.5,203,0,91.7,2,2,0,12,14,0.44
Chapman Lewis,173640,S,TEXAS TECH,10,54,13.5,7.7,315,1,101.8,4,7,2,109,85,2.02
Bravion Rogers,175941,CB,TEXAS A&M,5,27,13.5,9.0,312,0,86.8,2,3,0,21,17,0.78
Ridge Texada,136842,CB,N TEXAS,8,27,13.5,9.0,251,0,95.1,2,3,0,27,12,1.0
Austin Brown,158689,S,WISCONSIN,12,147,13.4,8.6,349,0,83.2,11,17,0,111,50,0.76
Rodney Shelley,156300,CB,GA TECH,10,147,13.4,7.7,176,0,108.7,11,19,1,186,103,1.27
Amarian Robinson,138355,CB,W CAROLINA,12,161,13.4,7.7,344,0,124.8,12,21,3,179,75,1.11
Jett Sutton,125047,S,N DAKOTA,10,107,13.4,7.6,249,0,104.5,8,14,1,104,79,0.97
Ambe' Caldwell,130514,S,MIAMI OH,13,121,13.4,8.6,221,0,79.5,9,14,0,80,35,0.66
Jarvis Lee,169997,CB,USF,10,94,13.4,9.4,327,0,97.5,7,10,0,89,23,0.95
Nate Robinson Jr.,193021,S,MARIST,8,53,13.3,6.6,213,1,29.7,4,8,0,49,14,0.92
Ethan Lee,160841,S,NICHOLLS,11,40,13.3,6.7,243,0,56.3,3,6,0,-2,11,-0.05
Taurean York,172604,LB,TEXAS A&M,13,40,13.3,13.3,312,0,79.2,3,3,0,8,4,0.2
Maximus Pulley,156648,S,WOFFORD,12,53,13.3,7.6,350,0,77.7,4,7,0,47,14,0.89
Kajuan Banks,158125,CB,USF,12,239,13.3,6.8,327,0,93.0,18,35,2,244,129,1.02
Joenel Aguero,173536,S,GEORGIA,11,120,13.3,7.1,173,0,70.5,9,17,0,99,37,0.83
C.J. Douglas,177865,S,SAMFORD,9,40,13.3,10.0,282,0,87.5,3,4,0,22,10,0.55
Jordan Hancock,145067,S,OHIO STATE,16,226,13.3,6.8,260,0,75.2,17,33,1,159,85,0.7
Jadarius Green-McKnight,122399,CB,MARSHALL,13,212,13.3,6.8,214,1,57.7,16,31,0,194,94,0.92
Omar Rogers,105076,S,E CAROLINA,11,40,13.3,10.0,156,0,128.1,3,4,1,23,1,0.58
KP Price,174005,S,BOSTON COL,12,79,13.2,9.9,121,0,90.6,6,8,0,50,9,0.63
Smith Snowden,176662,CB,UTAH,12,303,13.2,5.3,328,2,57.2,23,57,2,334,95,1.1
Emmanuel Gomes,103595,S,RHODE ISLD,13,66,13.2,6.0,274,0,88.1,5,11,1,47,12,0.71
Matthew Bailey,158197,S,ILLINOIS,13,172,13.2,8.2,187,0,79.3,13,21,0,129,51,0.75
B.J. Mayes,150058,CB,TEXAS A&M,10,209,13.1,7.7,312,3,54.8,16,27,1,198,76,0.95
A'Khori Jones,157391,S,LIBERTY,12,118,13.1,7.4,206,0,61.5,9,16,0,46,32,0.39
Stephen Sparrow,167062,LB,BETH COOK,12,105,13.1,8.8,119,0,144.8,8,12,2,137,101,1.3
Inumidun Ayo-Durojaiye,151136,LB,YALE,9,105,13.1,7.0,352,0,93.5,8,15,1,89,51,0.85
David Spaulding,97890,CB,S CAROLINA,4,13,13.0,6.5,289,0,68.8,1,2,0,12,8,0.92
Shawn Asbury II,143814,S,INDIANA,13,52,13.0,8.7,190,0,72.2,4,6,0,21,12,0.4
Kaleb Lyons,160564,S,E ILLINOIS,4,13,13.0,6.5,158,0,56.3,1,2,0,3,4,0.23
Caqavouis Berryhill,101129,S,USF,7,13,13.0,13.0,327,0,118.8,1,1,0,33,0,2.54
Nick Hand,149810,S,STTHOM,9,39,13.0,9.8,1129,0,102.1,3,4,0,36,15,0.92
Grif Wurtz,149797,S,STTHOM,9,39,13.0,7.8,1129,0,86.3,3,5,0,41,4,1.05
Tyson Meiguez,122488,LB,MURRAY ST,5,13,13.0,13.0,236,0,116.7,1,1,0,12,1,0.92
Holden Hughes,149564,CB,DRAKE,6,13,13.0,6.5,153,0,58.3,1,2,0,7,4,0.54
Andrew Huff,174519,ED,HOUCHR,9,13,13.0,13.0,183,0,91.7,1,1,0,6,9,0.46
Gio Boone,177281,LB,SACR HEART,6,13,13.0,6.5,280,0,95.8,1,2,0,29,16,2.23
Kyle Jackson,192433,LB,TARLETON,7,13,13.0,6.5,401,0,68.8,1,2,0,12,2,0.92
Trey Bradford,149311,S,FORDHAM,5,13,13.0,6.5,168,1,20.8,1,2,0,8,2,0.62
Devin Neal,122278,S,LOUISVILLE,3,13,13.0,13.0,210,0,152.1,1,1,1,11,0,0.85
Jackson Lataimua,131939,S,WASH STATE,10,65,13.0,6.5,341,0,95.8,5,10,1,45,39,0.69
Kam Arnold,123531,LB,BOSTON COL,6,26,13.0,8.7,121,1,51.4,2,3,0,24,10,0.92
Giovanni Ricciardi,132448,LB,CITADEL,8,13,13.0,13.0,139,0,104.2,1,1,0,9,12,0.69
J.T. Anderson,148527,CB,FIU,2,13,13.0,6.5,166,0,56.3,1,2,0,6,0,0.46
Kaj Sanders,184665,S,RUTGERS,11,65,13.0,8.1,278,0,128.6,5,8,1,67,38,1.03
Luke Myers,169598,LB,MIAMI OH,3,13,13.0,4.3,221,0,42.4,1,3,0,4,0,0.31
Jeff Roberson,122986,LB,OKLA STATE,10,26,13.0,8.7,262,0,70.1,2,3,0,-2,7,-0.08
Caleb Weaver,150298,S,SM HOUSTON,13,65,13.0,5.9,281,0,87.3,5,11,1,45,13,0.69
Mason Armstrong,172095,LB,BUTLER,4,13,13.0,13.0,127,0,118.8,1,1,0,13,9,1.0
Jahmar Brown,98981,LB,LIBERTY,7,13,13.0,6.5,206,0,58.3,1,2,0,7,1,0.54
Sam Cook,141936,ED,SE MO ST,6,13,13.0,13.0,293,0,91.7,1,1,0,6,1,0.46
Steven Cattledge,172345,LB,TROY,6,13,13.0,13.0,318,0,118.8,1,1,0,28,17,2.15
Treyveon McGee,157596,S,CHARLOTTE,7,26,13.0,8.7,136,0,70.1,2,3,0,8,14,0.31
Josh Minkins,66051,S,CINCINNATI,10,39,13.0,7.8,138,0,68.8,3,5,0,20,4,0.51
Hugh Barbee III,166120,CB,SHORTER,1,26,13.0,13.0,396,0,118.8,2,2,0,30,15,1.15
J.P. Purvis,99175,LB,MISS STATE,5,13,13.0,6.5,227,0,56.3,1,2,0,3,0,0.23
Leonard Moore,189882,CB,NOTRE DAME,10,26,13.0,8.7,258,0,70.1,2,3,0,7,5,0.27
Henry Berling,177904,LB,VA MILT IN,5,13,13.0,6.5,336,0,56.3,1,2,0,3,3,0.23
Deuce Walker,189977,CB,GA STATE,4,13,13.0,6.5,175,0,64.6,1,2,0,10,17,0.77
Jaden Lyles,164028,S,AUSTINPEAY,9,39,13.0,9.8,116,0,149.0,3,4,2,43,5,1.1
Courtney Eubanks,125287,CB,COAST CAR,7,13,13.0,6.5,141,0,56.3,1,2,0,1,5,0.08
Donovan McMillon,146700,S,PITTSBURGH,13,91,13.0,6.1,268,0,57.1,7,15,0,58,27,0.64
Zanjerry Dunham,165435,LB,SCAR STATE,8,26,13.0,6.5,290,0,63.5,2,4,0,19,4,0.73
Jack Howell,146020,S,COLO STATE,11,65,13.0,6.5,144,0,106.3,5,10,1,70,27,1.08
Demetrius Knight Jr.,99728,LB,S CAROLINA,11,39,13.0,9.8,289,0,110.4,3,4,0,44,18,1.13
Tony Hart III,176925,S,ELON,8,13,13.0,13.0,162,0,118.8,1,1,0,23,8,1.77
Bryce Grays,158511,S,UTSA,10,39,13.0,9.8,331,0,116.7,3,4,0,76,23,1.95
Trey Moore,145527,ED,TEXAS,8,13,13.0,6.5,311,0,58.3,1,2,0,7,10,0.54
Tahj Ra-El,145366,S,MEMPHIS,2,13,13.0,6.5,218,0,56.3,1,2,0,2,5,0.15
Max Ahoia,173223,CB,RICE,6,13,13.0,3.3,275,0,39.6,1,4,0,12,10,0.92
D'Angelo Stocker,159182,CB,RICHMOND,3,13,13.0,6.5,276,0,81.3,1,2,0,18,7,1.38
Jaylan Wesley,76319,CB,LNDNWD,8,13,13.0,4.3,949,0,42.4,1,3,0,5,1,0.38
Rayuan Lane III,144326,S,NAVY,12,65,13.0,5.0,237,1,53.0,5,13,1,79,30,1.22
R.J. Moten,129589,LB,FLORIDA,8,13,13.0,13.0,163,0,87.5,1,1,0,5,1,0.38
Terrell Dudley,187903,LB,NC A&T,4,13,13.0,13.0,246,0,91.7,1,1,0,6,10,0.46
Matt Guggemos,101391,S,STTHOM,12,180,12.9,7.8,1129,0,87.6,14,23,1,112,53,0.62
Ishmel Atkins,159117,S,ELON,12,168,12.9,7.0,162,0,82.1,13,24,1,121,105,0.72
Preston Murray,149348,S,GEORGETOWN,11,90,12.9,6.9,172,1,60.1,7,13,1,61,41,0.68
Will Brooks,124273,S,TENNESSEE,12,51,12.8,6.4,307,2,71.4,4,8,1,53,6,1.04
Nick Bafia,149451,S,BUTLER,10,64,12.8,9.1,127,2,44.0,5,7,0,37,23,0.58
Rodney Patterson,153404,CB,MORGAN ST,8,77,12.8,7.0,235,0,72.2,6,11,0,65,33,0.84
