player_name,school,position,season,years_played,years_played_seasons,years_played_source,qb_qbr,qb_epa_per_play,qb_success_rate,qb_pressure_to_sack_rate,qb_under_pressure_epa,qb_under_pressure_success_rate,yprr,target_share,targets_per_route_run,explosive_run_rate,missed_tackles_forced_per_touch,pressure_rate,pressures_per_pass_rush_snap,sacks_per_pass_rush_snap,coverage_plays_per_target,yards_allowed_per_coverage_snap,opp_def_ppa_allowed_avg,opp_def_success_rate_allowed_avg,opp_def_toughness_index,opp_def_adjustment_multiplier,opp_def_context_source,cfb_prod_quality_label,cfb_prod_reliability,cfb_prod_real_features,cfb_prod_proxy_features,cfb_prod_provenance,source
Dj Harvey,USC,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2379,1.0605,0.1686,0.4328,0.2201,0.944,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Dj Mckinney,New Mexico,CB,2025,1,2025,cfbd_player_ppa|cfbd_player_season_stats,,,,,,,,,,,,,,,,,0.1811,0.4276,0.1952,0.939,cfbd_team_advanced_stats+advanced_game_stats,missing,0.0,0,0,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Domani Jackson,Alabama,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2106,1.1971,0.1052,0.3943,0.8247,1.0649,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Ephesians Prysock,Washington,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2924,0.788,0.1623,0.4351,0.2352,0.947,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Hezekiah Masses,California,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.3,0.75,0.1411,0.4054,0.5974,1.0195,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Jadon Canady,Oregon,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2924,0.788,0.1503,0.4188,0.393,0.9786,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Jakeem Jackson,LSU,CB,2025,,,,,,,,,,,,,,,,,,,,0.1098,0.3855,0.8437,1.0687,cfbd_team_advanced_stats+advanced_game_stats,missing,0.0,0,0,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Jaylon Guilbeau,Texas,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2654,0.9232,0.1423,0.4048,0.598,1.0196,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Jeadyn Lukus,Clemson,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,,,0.1439,0.412,0.5046,1.0009,cfbd_team_advanced_stats+advanced_game_stats,missing,0.0,0,0,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Jeremiah Wilson,Florida State,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2753,0.8733,0.1255,0.3935,0.7493,1.0499,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
