player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Johnny Walker Jr.,124221,ED,MISSOURI,13,6,3.4,0,1,229,58.5,80.1,89.5,77.9,75.6,71.8,3.4,1,0,252,259,5.6,14,22
Jordan Burch,124227,ED,OREGON,10,8,5.1,0,0,264,59.4,77.6,65.7,81.3,68.1,82.4,4.8,1,1,173,175,2.9,5,12
Gilber Edmond,124233,ED,S CAROLINA,8,0,2.0,0,0,289,60.0,69.3,0.0,75.7,65.2,80.9,0.0,0,2,53,55,11.3,6,7
O'Donnell Fortune,124235,CB,S CAROLINA,13,1,5.9,0,1,289,90.2,86.0,85.8,53.6,54.0,54.9,44.4,8,0,327,336,1.8,6,9
Tonka Hemingway,124238,DI,S CAROLINA,13,7,3.6,1,0,289,61.5,70.9,66.0,73.5,65.2,47.1,20.8,5,1,226,231,3.5,8,12
Dominick Hill,124239,CB,LIBERTY,1,0,,0,0,206,61.6,62.6,69.6,,60.0,,,0,0,4,4,0.0,0,0
Joey Hunter,124240,CB,AKRON,11,3,20.3,0,0,102,52.6,54.2,16.1,,65.4,43.0,22.2,2,2,155,157,0.6,1,4
Alex Huntley,124241,DI,S CAROLINA,13,6,1.9,0,0,289,36.9,60.3,84.3,63.9,59.6,58.0,0.0,0,0,182,186,4.9,9,11
Mohamed Kaba,124244,LB,S CAROLINA,2,1,,0,0,289,61.9,60.6,73.4,,57.8,73.2,0.0,0,0,5,7,0.0,0,0
Makius Scott,124255,DI,GA TECH,13,0,5.0,1,0,176,58.1,59.6,58.9,56.9,63.5,65.2,12.5,1,1,134,136,2.2,3,7
Eric Shaw,124257,ED,TROY,2,0,12.0,0,0,318,72.0,64.2,77.4,69.3,42.6,76.6,0.0,0,0,8,8,0.0,0,1
Tim Amet,124265,DI,TENNESSEE,3,0,,0,0,307,,56.1,72.1,58.4,56.9,,,0,0,7,7,0.0,0,0
Dominic Bailey,124267,ED,TENNESSEE,13,8,3.0,1,0,307,76.8,63.9,27.6,64.3,58.9,59.0,15.0,3,3,155,160,4.5,7,9
Tyler Baron,124268,ED,MIAMI FL,13,5,1.4,1,0,220,47.1,76.0,0.0,84.3,76.7,51.9,4.2,1,6,166,169,9.0,15,18
Will Brooks,124273,S,TENNESSEE,13,7,6.0,0,0,307,78.5,77.5,86.3,53.5,74.8,78.1,11.8,4,0,245,253,4.5,11,23
Bryson Eason,124276,DI,TENNESSEE,13,6,0.5,0,0,307,63.4,64.9,18.4,67.4,62.8,33.1,15.0,3,3,153,158,5.2,8,11
Martavius French,124277,LB,UTSA,13,12,1.2,0,0,331,61.5,66.8,52.7,65.0,69.7,69.5,8.6,5,1,246,250,13.4,33,41
Morven Joseph,124285,LB,JVILLE ST,10,6,3.7,0,0,196,67.4,49.6,11.9,62.0,38.8,57.4,20.0,3,1,64,64,4.7,3,6
Key Lawrence,124286,S,OLE MISS,2,0,18.0,0,0,226,64.5,66.1,73.9,,64.8,76.4,0.0,0,0,15,15,0.0,0,1
