player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Mason White,43872,CB,OREGON ST,8,3,4.2,1,0,265,50.6,54.7,80.3,55.9,64.2,49.8,30.8,4,1,114,115,0.9,1,6
Noah Taylor,52348,LB,NWESTERN,2,0,6.0,0,0,256,60.0,40.2,68.3,,41.3,73.2,0.0,0,0,5,5,20.0,1,1
Zaid Hamdan,52925,DI,KENT STATE,12,5,0.9,1,0,201,60.0,61.4,18.6,64.3,62.3,58.2,8.7,2,3,206,212,6.8,14,16
DeShawn Pace,53549,LB,UCF,12,11,5.1,0,0,323,71.1,68.9,31.3,56.0,72.0,56.9,17.5,7,2,293,295,4.4,13,22
Eric Phillips,53572,ED,CINCINNATI,12,3,1.6,0,0,138,68.5,57.8,23.2,63.3,53.1,53.9,0.0,0,4,220,224,3.6,8,9
Iesa Jarmon,53981,CB,AKRON,5,0,4.0,0,0,102,58.6,61.0,75.2,,64.7,53.5,50.0,1,1,32,33,3.1,1,1
Jaheim Thomas,54193,LB,WISCONSIN,11,19,4.3,0,0,349,52.1,66.7,6.2,67.9,75.5,89.0,3.9,2,2,203,206,8.4,17,30
Cheikhsaliou Fall,54240,ED,CAL,13,7,1.9,1,0,130,58.3,52.7,27.3,53.5,57.3,59.2,6.7,1,2,106,108,5.7,6,7
Malik Denkins,55516,ED,C MICHIGAN,4,2,,0,0,134,,62.1,75.2,64.3,59.5,75.2,0.0,0,0,19,19,0.0,0,0
Jaiden Cameron,62277,ED,NWESTERN,8,3,1.0,0,0,256,60.9,53.2,78.4,63.8,46.1,45.5,20.0,1,0,43,44,2.3,1,1
Alex Howard,62494,LB,DUKE,13,15,5.7,0,0,154,64.6,62.4,27.3,74.5,56.0,64.3,14.5,9,4,307,316,7.2,22,38
Barry Brown,62724,LB,COAST CAR,13,12,4.7,1,0,141,55.8,58.5,1.2,67.9,60.9,46.3,19.2,10,3,211,214,8.1,17,30
Kam Butler,63872,ED,VIRGINIA,12,13,3.5,1,0,335,63.0,71.2,62.3,74.9,64.2,47.5,15.8,6,2,290,296,3.1,9,19
Will Whitson,64470,DI,COAST CAR,4,3,1.9,0,1,141,60.9,83.2,79.9,78.2,78.5,66.2,13.3,2,0,76,79,10.5,8,10
Josh Minkins,66051,S,CINCINNATI,11,11,5.5,0,0,138,76.3,71.3,84.2,59.1,61.6,67.6,18.6,8,0,225,228,4.9,11,24
Ty Hamilton,66298,DI,OHIO STATE,16,14,2.5,0,0,260,58.7,65.0,71.5,60.9,66.9,66.6,6.3,3,1,289,291,8.3,24,31
Sebastian Macaluso,70536,WR,S JOSE ST,1,0,,0,0,285,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Ben Florentine,70644,DI,WYOMING,11,10,2.4,1,0,351,72.3,58.4,60.2,50.3,61.2,46.6,16.7,4,2,180,188,5.0,9,10
Korey Foreman,70831,ED,FRESNO ST,12,2,2.9,0,2,169,53.7,69.4,17.2,63.5,84.7,56.3,15.8,3,3,94,96,11.7,11,14
Tuasivi Nomura,70879,LB,FRESNO ST,13,18,3.8,0,0,169,58.6,67.9,37.6,54.1,77.7,77.5,13.2,12,3,353,361,11.3,40,61
Tate Romney,70946,LB,ARIZONA ST,4,1,0.0,0,0,110,58.3,55.3,72.8,59.5,53.9,56.2,33.3,1,0,11,12,9.1,1,1
Keyon Ware-Hudson,71322,DI,OREGON,13,4,4.0,0,0,264,60.0,58.0,80.8,56.2,57.9,59.3,10.0,1,0,80,81,5.0,4,5
Domani Jackson,71370,CB,ALABAMA,13,3,8.1,0,1,103,64.3,67.3,86.6,41.7,81.5,48.6,27.3,6,3,325,333,1.5,5,13
William Nimmo Jr.,71391,S,S DIEGO ST,12,3,9.1,0,0,284,53.7,56.3,83.0,,60.0,58.0,21.4,6,1,165,172,2.4,4,19
Keanu Tanuvasa,71398,DI,UTAH,7,3,-0.5,2,0,328,63.9,66.0,0.0,62.5,73.7,29.3,26.3,5,5,142,145,7.7,11,11
Akili Arnold,71406,S,USC,12,8,16.1,0,0,326,57.0,58.0,87.8,61.2,57.9,63.8,25.0,8,0,280,281,1.1,3,16
Easton Mascarenas-Arnold,71410,LB,USC,13,19,3.0,0,0,326,33.9,54.2,87.2,67.1,66.7,57.7,15.4,10,0,329,332,7.9,26,36
Silas Bolden,71674,WR,TEXAS,1,0,,0,0,311,63.0,64.6,60.0,,60.0,,,0,0,1,1,0.0,0,0
Sheldon Newton,71957,DI,BOISE ST,12,2,3.5,0,0,120,58.8,56.7,83.5,57.5,55.3,55.8,7.1,1,0,116,123,6.9,8,11
DJ Harvey,72089,CB,S JOSE ST,12,7,7.1,0,0,285,90.3,90.6,85.9,63.9,86.0,63.6,15.8,3,2,390,396,0.8,3,9
Kamren Fabiculanan,72332,S,WASHINGTON,13,11,7.6,0,0,340,85.5,67.9,58.7,59.5,42.2,66.0,21.4,9,1,366,369,2.2,8,22
Raider Damuni,72338,S,BYU,12,5,7.7,0,0,128,58.9,62.2,82.4,65.7,66.0,55.0,22.7,5,0,115,116,5.2,6,12
Logan Pili,72354,LB,UTAH ST,6,3,4.0,0,0,329,66.4,60.9,76.9,56.7,55.6,41.0,37.5,3,0,25,29,4.0,1,2
Zahran Manley,72425,CB,STANFORD,5,0,6.3,0,0,300,60.7,62.8,82.3,,72.6,54.1,0.0,0,2,98,99,0.0,0,3
Ian Shewell,72474,DI,ARIZONA ST,1,0,0.0,0,0,110,,58.8,69.4,58.7,59.7,69.7,0.0,0,0,4,4,25.0,1,1
Noa Pola-Gates,72535,CB,NEW MEXICO,11,6,9.3,0,1,241,67.8,69.6,14.1,63.8,78.8,63.5,3.6,1,4,304,309,1.0,3,21
Jadon Pearson,72538,LB,UTAH ST,10,7,4.8,0,0,329,63.6,61.8,80.2,54.6,60.5,51.6,13.5,5,0,128,132,11.7,15,25
Lavario Wiley,72769,CB,UNLV,10,4,15.0,0,0,325,59.1,60.2,81.5,59.6,64.5,67.3,14.3,1,3,70,74,0.0,0,2
Keith Conley Jr.,72821,ED,UNLV,13,3,4.6,0,0,325,69.0,72.5,83.6,70.1,66.7,65.9,15.4,2,0,76,81,2.6,2,8
Henry Ikahihifo,73151,ED,NEVADA,13,7,3.4,0,0,239,60.0,68.0,55.3,68.3,67.8,56.2,12.9,4,2,242,248,6.6,16,20
Lincoln Tuioti-Mariner,73243,S,AIR FORCE,9,7,7.6,0,1,101,67.4,71.9,89.7,64.9,77.3,61.9,10.3,3,0,209,212,5.3,11,19
Marco Notarainni,73389,LB,BOISE ST,14,11,2.8,0,1,120,66.7,77.1,46.1,63.8,81.1,48.1,15.2,7,1,209,215,10.5,22,28
Gio De Leon,73658,LB,BUFFALO,2,1,,0,0,126,60.0,67.0,73.8,,65.6,73.1,0.0,0,0,10,10,0.0,0,0
Justin Houston,74101,CB,FRESNO ST,2,1,2.0,0,0,169,55.7,62.7,77.9,69.9,70.6,79.7,0.0,0,0,22,23,4.5,1,1
Taariq Al-Uqdah,74119,LB,WASH STATE,12,13,4.9,0,0,341,84.2,76.2,56.2,61.7,67.4,51.0,20.3,12,1,254,260,7.1,18,34
Justin Sinclair,74258,S,HAWAII,11,5,8.5,0,0,180,69.3,60.0,29.7,59.4,43.6,34.6,40.7,11,1,182,190,2.2,4,11
Zion Branch,74395,S,USC,10,3,9.6,0,0,326,65.6,68.1,82.3,74.6,68.0,78.1,11.1,1,0,85,87,1.2,1,5
Treven Ma'ae,74498,DI,BAYLOR,13,12,2.3,0,0,118,63.0,68.6,85.2,60.1,69.9,74.6,2.7,1,0,308,318,5.8,18,24
Nathan Griffin,74957,LB,W KENTUCKY,1,1,,0,0,346,48.1,49.7,70.1,,65.0,73.1,0.0,0,0,2,2,0.0,0,0
Jaymar Mundy,75041,CB,W KENTUCKY,3,0,,0,0,346,38.0,39.6,74.9,,62.0,80.5,,0,0,12,12,0.0,0,0
Jaylen Johnson,75046,S,OHIO,4,0,3.0,0,0,259,56.2,48.8,77.7,,38.3,27.5,50.0,1,0,23,23,4.3,1,1
Silas Walters,75263,S,MIAMI OH,14,18,9.9,0,0,221,87.4,84.5,89.6,57.5,75.2,77.2,13.2,7,0,388,400,1.3,5,28
Andre Proffitt,75264,DI,AKRON,3,1,5.0,0,0,102,,51.0,75.2,56.9,50.8,71.5,0.0,0,0,19,19,0.0,0,1
Chuck Hicks,75816,LB,MISSOURI,12,5,3.8,0,0,229,47.4,60.5,0.0,65.4,77.3,58.4,8.0,2,4,130,136,6.9,9,18
Caleb Tubbs,76053,CB,MIAMI OH,2,0,,0,0,221,46.6,49.2,74.7,,63.1,76.6,,0,0,19,19,0.0,0,0
Bam Booker,76122,ED,BOWL GREEN,2,0,,0,0,122,60.0,60.2,74.0,55.6,63.4,,,0,0,6,6,0.0,0,0
Damaje Yancey,76532,CB,TROY,10,4,9.0,1,0,318,56.1,57.3,6.3,61.6,68.3,57.2,18.2,4,7,257,264,1.9,5,14
Capone Blue,76604,CB,WAKE,5,0,6.3,0,0,339,59.9,60.9,81.8,,63.8,61.2,25.0,1,1,99,100,0.0,0,3
Torey Richardson,76711,CB,TEMPLE,10,1,7.0,0,0,306,65.9,65.2,37.6,51.7,65.2,52.6,18.2,2,5,248,249,1.2,3,8
Dennis Briggs Jr.,76792,DI,ILLINOIS,13,15,2.7,0,0,187,62.2,67.7,53.8,69.3,64.0,67.3,8.6,3,2,286,289,3.5,10,17
Antonio Colclough,76813,ED,BUFFALO,13,3,0.7,1,0,126,60.3,67.2,39.9,70.2,62.8,29.3,40.0,4,2,148,149,1.4,2,3
Darnell Jefferies,76999,DI,MINNESOTA,7,0,3.0,0,0,225,60.0,59.3,9.4,56.4,66.4,75.2,0.0,0,1,29,29,6.9,2,2
Justin Wright,77160,LB,OKLA STATE,6,2,3.0,0,0,262,40.8,49.8,0.0,61.0,68.7,66.3,18.2,2,3,75,78,6.7,5,7
Matt Harmon,77244,ED,KENT STATE,12,11,3.5,0,0,201,44.1,67.7,73.4,65.9,70.5,64.7,10.9,5,1,254,259,7.9,20,30
Daniel Bolden,77252,LB,TOLEDO,13,18,4.3,0,0,316,55.2,77.1,58.9,60.4,87.7,78.2,8.9,7,1,386,391,8.8,34,54
Keye Thompson,77266,LB,PITTSBURGH,10,11,1.9,0,0,268,65.8,72.2,0.0,56.7,82.0,64.4,16.1,5,2,106,108,12.3,13,15
Jace Ruder,77680,LB,N TEXAS,8,2,3.5,0,0,251,65.0,64.0,0.0,52.7,72.8,81.0,0.0,0,1,36,36,8.3,3,4
Tory Spears,78134,S,TEXAS ST,9,4,6.0,0,0,314,37.1,42.5,81.9,60.0,54.7,38.4,25.0,4,0,90,91,4.4,4,8
DaShon Bussell,78169,CB,W MICHIGAN,12,1,12.0,2,0,347,63.1,58.1,0.0,,50.1,46.6,40.0,2,5,104,105,0.0,0,2
Solomon Vanhorse,78573,HB,INDIANA,1,0,,0,0,190,,60.1,73.9,,60.0,,,0,0,1,1,0.0,0,0
Marque Collins,78999,CB,BYU,13,2,7.2,0,0,128,66.8,65.8,50.7,45.8,65.2,56.2,33.3,4,5,309,314,0.3,1,6
Cherif Seye,79240,ED,UCLA,7,0,4.0,0,0,324,,54.5,17.8,65.9,34.3,76.1,0.0,0,1,20,20,5.0,1,2
Jayden McDonald,81249,LB,UCONN,13,23,3.3,0,0,146,72.3,75.9,0.0,70.3,76.5,67.6,12.5,13,4,329,334,14.0,46,68
Jared Small,81284,LB,ARIZONA,3,0,4.5,0,0,109,39.5,53.5,74.1,,75.8,76.1,0.0,0,0,19,19,5.3,1,2
Jalen Rayam,81425,LB,UTEP,1,0,2.0,0,0,330,60.0,53.9,64.6,,55.5,73.6,0.0,0,0,2,2,0.0,0,1
Moroni Anae,81437,ED,UTAH,1,0,,0,0,328,60.2,63.4,72.6,63.8,57.5,,,0,0,6,6,0.0,0,0
Jermayne Lole,82212,DI,TEXAS,16,12,2.5,0,0,311,60.2,74.9,85.0,66.2,75.7,64.4,8.3,3,0,248,252,6.0,15,21
Matt Lawson,82266,DI,NEW MEX ST,12,14,1.4,0,0,242,63.3,68.6,85.1,58.9,70.6,71.3,6.3,2,0,222,225,5.9,13,16
Ezekiel Holmes,82281,DI,ILLINOIS,13,1,0.3,0,0,187,64.2,69.1,80.1,58.5,66.3,59.5,16.7,1,0,94,94,4.3,4,4
Maurice Strong Jr.,82408,DI,S ALABAMA,13,1,2.0,0,0,288,64.7,65.1,45.0,58.0,69.3,42.8,21.7,5,2,226,230,5.3,12,17
Jacob Mangum-Farrar,82557,ED,INDIANA,8,2,4.0,0,0,190,61.1,64.2,82.1,61.9,63.7,50.7,25.0,1,0,46,46,2.2,1,1
Raymond Scott,82560,LB,JAMES MAD,11,7,2.6,0,0,197,62.5,67.3,81.1,65.2,69.6,68.4,13.0,3,0,81,82,11.1,9,13
Solomon Tuliaupupu,82562,ED,USC,9,4,3.7,0,0,326,58.8,62.1,85.3,54.1,68.3,58.2,15.4,2,0,66,67,6.1,4,7
Ale Kaho,82646,LB,UCLA,8,4,5.3,0,0,324,54.0,60.3,24.0,71.3,63.0,43.6,23.8,5,1,97,99,5.2,5,12
Jaden Robinson,83074,CB,OREGON ST,8,3,7.4,1,0,265,58.3,59.0,34.4,69.2,61.6,63.3,25.0,4,2,226,232,1.8,4,9
Dustin Johnson,83197,S,OHIO,14,12,8.8,0,0,259,54.9,57.4,87.8,71.3,59.1,56.9,18.9,10,1,299,303,2.7,8,31
Jarvis Ware,83314,CB,UNLV,12,2,6.0,0,0,325,71.7,69.7,0.0,84.7,55.8,64.2,36.4,4,2,152,161,1.3,2,5
Chris Mills,83315,CB,TEXAS ST,13,0,8.6,0,0,314,61.3,62.0,86.0,55.9,62.9,76.8,18.2,2,4,279,281,2.2,6,9
Brendon Harris,83446,S,MIDDLE TN,2,2,6.6,0,0,224,59.0,60.2,0.0,55.0,69.9,75.5,8.3,1,1,43,45,7.0,3,9
Fa'Najae Gotay,83821,LB,AUBURN,3,1,6.5,0,0,115,41.3,56.9,73.4,56.9,81.8,79.0,0.0,0,0,16,17,12.5,2,2
Alex Williams,83824,ED,MIDDLE TN,6,1,2.0,0,0,224,60.4,62.4,40.9,62.2,62.6,29.8,37.5,3,1,85,87,4.7,4,4
Bryan Addison,83825,S,UCLA,12,3,8.4,1,0,324,72.2,71.1,20.6,54.4,73.3,78.3,4.8,1,3,272,277,1.1,3,17
Armani-Eli Adams,83838,S,W MICHIGAN,10,2,9.3,0,0,347,61.4,55.8,80.6,47.7,47.3,39.3,20.0,2,0,91,92,2.2,2,6
Jayden Dunlap,85725,CB,BYU,3,0,,0,0,128,61.0,61.4,72.7,,60.0,73.5,,0,0,4,4,0.0,0,0
Gracen Halton,85774,DI,OKLAHOMA,13,4,2.6,0,1,261,60.0,75.4,41.0,76.7,71.3,64.1,8.7,2,2,167,172,6.6,11,17
Kitione Tau,86077,DI,NEVADA,10,0,2.7,0,0,239,60.0,66.5,82.1,68.4,62.5,75.7,0.0,0,0,84,85,3.6,3,6
Jacob Bandes,86082,DI,WASHINGTON,13,8,3.6,0,0,340,68.1,60.8,4.6,62.9,62.5,53.0,12.1,4,5,238,240,4.6,11,21
Jairus Satele,86168,DI,FRESNO ST,10,3,3.0,0,0,169,,59.5,41.0,58.4,62.2,29.7,28.6,2,1,82,84,2.4,2,2
Kalib Perry,86267,LB,TENNESSEE,12,4,5.2,0,0,307,64.1,65.6,84.1,60.1,65.8,85.0,0.0,0,0,118,119,5.1,6,13
Rodney Robinson,86527,S,BOISE ST,13,5,6.8,0,0,120,80.5,68.6,17.0,63.9,44.9,50.5,30.0,9,3,185,191,4.9,9,16
Ozzie Nicholas,86729,LB,DUKE,13,18,3.4,0,2,154,64.2,75.6,0.0,62.7,84.1,80.0,7.5,6,5,326,335,11.3,37,56
Jackson Schulz,86773,S,KENTUCKY,1,0,,0,0,202,93.5,94.6,69.8,,60.0,,,0,0,2,2,0.0,0,0
Ceyair Wright,86877,CB,NEBRASKA,12,3,6.5,0,0,238,69.0,72.2,85.1,85.0,74.1,62.1,12.5,2,2,212,214,1.9,4,11
Logan Taylor,87618,LB,HAWAII,12,11,3.3,0,0,180,51.4,58.4,82.6,45.0,68.9,80.2,10.0,4,0,176,182,9.1,16,25
Trevor Adams,88001,LB,CINCINNATI,1,0,6.0,0,0,138,71.5,62.7,71.2,,39.4,73.1,0.0,0,0,7,7,0.0,0,1
Dylan Brown,88453,DI,JVILLE ST,14,0,,0,0,196,,55.6,13.4,56.4,59.4,70.1,,0,2,114,115,0.0,0,0
David Reese,90079,ED,CAL,11,1,1.8,0,0,130,53.8,69.0,68.9,71.2,67.6,41.9,16.7,2,1,143,146,4.9,7,9
Joseph Vaughn,90131,LB,UCLA,2,0,0.0,0,0,324,32.1,33.0,69.8,,67.2,75.8,0.0,0,0,3,3,33.3,1,1
Dalton Norris,90192,DI,MIAMI OH,6,1,3.0,0,0,221,,54.9,74.5,58.5,54.1,42.9,0.0,0,0,16,16,12.5,2,2
Ose Egbase,90529,ED,UNLV,7,1,4.0,0,0,325,67.4,58.7,81.9,58.6,50.4,46.5,33.3,1,0,22,23,4.5,1,1
Tyrice Ivy Jr.,90783,S,OREGON ST,11,11,8.3,0,0,265,53.3,58.7,83.5,56.2,67.4,58.3,18.8,6,1,162,164,2.5,4,15
Trey Laing,91245,ED,E MICHIGAN,12,2,3.2,0,0,160,53.4,60.9,0.0,61.6,71.6,62.5,12.5,2,4,107,107,9.3,10,12
Amir McDaniel,97087,CB,LA LAFAYET,13,6,7.6,0,1,207,74.7,79.3,90.4,79.6,80.8,68.5,8.0,2,0,201,202,2.5,5,17
Antavious Lane,97141,S,N CAROLINA,12,13,5.2,0,0,245,52.9,57.7,65.4,71.7,62.4,59.0,17.5,11,1,336,348,4.5,15,39
Bralyn Lux,97143,CB,TEXAS TECH,9,1,7.7,0,0,315,60.9,58.5,4.0,65.6,51.7,56.4,36.4,4,5,210,212,1.9,4,6
Christian Dremel,97211,WR,RUTGERS,1,0,,0,0,278,62.8,64.3,60.0,,60.0,70.3,,0,0,1,1,0.0,0,0
Taylor Morin,97213,WR,WAKE,1,0,,0,0,339,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Jacob Bernard,97218,WR,LA LAFAYET,2,0,,1,0,207,,62.3,60.0,,61.6,70.3,,0,2,1,2,0.0,0,0
Anthony Wilson,97220,S,W VIRGINIA,13,21,8.4,1,0,343,59.0,63.7,55.8,60.0,72.3,82.4,8.3,5,2,358,363,3.4,12,34
Brandon Crossley,97225,CB,SMU,14,3,6.0,0,0,287,60.3,62.2,86.6,65.6,66.8,49.8,37.5,6,4,322,328,1.2,4,7
Marcus Harris,97230,CB,CAL,13,2,5.1,0,0,130,73.9,74.2,19.3,60.0,76.7,81.1,6.7,1,3,306,311,2.3,7,12
Rod Heard II,97237,S,NOTRE DAME,16,5,8.4,1,1,258,68.0,74.1,85.1,82.9,82.7,77.6,5.6,1,2,146,147,2.1,3,12
Chike Anigbogu,97239,LB,RICE,9,1,0.8,0,0,275,77.6,67.9,1.5,68.5,58.6,37.8,22.2,2,1,86,89,5.8,5,6
Isaiah Essissima,97243,CB,COLO STATE,11,0,6.0,0,0,144,71.2,71.7,82.1,,68.8,37.6,25.0,1,2,113,116,1.8,2,3
Will Goldberg,97257,S,DUKE,1,0,,0,0,154,,60.1,60.0,,60.0,,,0,0,1,1,0.0,0,0
Dywan Griffin,97274,CB,DOMINION,4,1,,0,0,263,85.5,79.4,80.1,59.6,47.0,39.4,50.0,1,0,43,43,0.0,0,0
Jordan Clark,97324,CB,NOTRE DAME,16,5,9.6,1,0,258,83.2,81.3,12.5,57.1,77.0,63.5,17.6,3,4,238,242,1.7,4,9
Derrick Canteen,97329,S,CINCINNATI,12,8,9.5,0,1,138,81.0,77.6,86.8,,65.7,70.6,23.1,6,1,239,243,2.1,5,12
Juan Powell,97330,CB,COAST CAR,13,10,5.2,2,1,141,61.1,58.8,23.8,49.0,60.2,65.9,12.8,5,4,280,285,3.9,11,24
Ken Robinson,97341,S,UTSA,6,3,4.2,0,0,331,45.4,58.3,84.4,53.3,89.1,56.1,0.0,0,2,119,124,8.4,10,14
AJ Williams,97343,S,COAST CAR,12,7,5.1,0,0,141,75.3,71.5,83.4,53.7,65.6,48.2,20.0,9,0,224,228,6.3,14,29
Jakeen Harris,97351,S,N CAROLINA,12,17,9.6,0,0,245,58.0,61.5,86.6,54.4,66.1,64.1,15.1,8,0,297,309,1.0,3,28
Coco Azema,97353,S,NWESTERN,12,11,7.6,0,0,256,54.7,55.0,86.1,69.4,53.6,28.2,28.2,11,2,234,235,1.7,4,17
Sidney Porter,97369,LB,KENNESAW,10,15,4.3,0,0,200,56.2,66.9,92.0,63.5,75.0,82.4,9.8,6,0,266,271,7.9,21,40
Reid Dedman,97372,LB,GA SOUTHRN,11,7,0.7,0,0,174,63.8,58.6,81.5,55.7,51.7,73.6,9.1,1,0,69,71,4.3,3,3
Woodi Washington,97379,CB,OKLAHOMA,12,3,5.2,0,0,261,44.5,52.9,84.5,59.7,77.6,47.8,6.7,1,3,149,153,4.7,7,11
Solomon Brown,97386,S,BUFFALO,13,9,8.0,0,0,126,80.6,77.3,57.1,56.2,71.1,71.7,11.1,4,1,344,352,2.0,7,23
Devin Voisin,97427,WR,S ALABAMA,1,0,,0,0,288,,60.0,60.0,,60.0,,,0,1,1,1,0.0,0,0
Trevon Booker,97468,CB,CHARLOTTE,11,2,11.5,0,0,136,60.4,59.9,17.7,,61.7,30.6,27.3,3,2,158,161,2.5,4,6
Keonte Glinton,97470,CB,NEW MEX ST,12,2,4.5,0,0,242,69.9,69.8,85.4,,64.9,76.2,9.1,1,1,304,309,2.0,6,8
Roderick Roberson,97471,S,LA TECH,9,2,7.1,0,0,208,63.2,56.8,4.7,57.9,52.3,66.9,13.0,3,1,131,131,4.6,6,18
Kerry Martin Jr.,97473,S,NC STATE,4,0,7.3,0,0,248,64.1,65.9,79.1,58.3,68.5,73.9,25.0,1,0,44,44,2.3,1,3
Cameron Williams,97475,S,GA SOUTHRN,8,2,5.7,0,0,174,60.1,57.5,9.1,55.5,57.0,54.8,22.2,4,2,111,115,3.6,4,12
Dallas Gamble,97483,CB,S ALABAMA,9,2,14.5,0,0,288,61.4,62.2,78.5,,62.9,64.3,42.9,3,0,37,37,0.0,0,2
Dean Clark,97495,S,FRESNO ST,12,15,7.3,0,1,169,69.6,71.4,24.7,69.1,75.8,74.7,12.2,6,2,295,303,4.4,13,28
Dane Motley,97497,LB,ARK STATE,11,1,5.4,0,0,113,39.8,42.4,80.6,59.5,45.6,52.2,16.7,2,0,81,82,6.2,5,9
Caleb Tate,97499,LB,BUFFALO,3,0,6.0,0,0,126,60.0,58.1,72.1,60.0,58.1,72.2,0.0,0,0,12,12,0.0,0,1
Jaden Voisin,97506,S,S ALABAMA,13,18,5.1,0,0,288,87.1,81.1,57.7,79.0,70.8,68.3,17.5,11,2,366,372,5.2,19,34
Marvae Myers,97517,CB,MIDDLE TN,12,0,12.8,0,0,224,60.4,62.7,85.7,,69.6,43.4,7.7,1,0,336,341,0.6,2,12
Malik Dixon-Williams,97520,S,UCONN,11,8,9.5,0,0,146,68.4,67.2,39.6,46.8,68.8,71.7,16.2,6,1,267,270,1.5,4,23
Malachi Langley,97532,LB,FRESNO ST,13,13,4.9,0,1,169,68.4,71.2,49.9,64.7,70.6,90.9,3.0,2,1,286,290,9.1,26,52
Quincy Riley,97539,CB,LOUISVILLE,10,2,1.3,0,0,210,65.1,62.4,85.2,66.1,40.2,39.9,45.5,5,2,208,212,1.0,2,4
Chad Stephens,97541,ED,E CAROLINA,13,12,3.8,1,0,156,65.1,66.7,46.8,64.0,66.9,55.6,7.1,2,3,235,241,4.7,11,14
Jett Elad,97543,S,UNLV,14,10,6.3,1,0,325,82.0,76.0,0.0,85.6,64.4,65.4,19.6,10,6,247,256,4.9,12,31
Jackson Barrow,97545,LB,TOLEDO,13,11,3.3,0,0,316,64.8,66.3,86.2,64.5,64.5,74.0,12.1,7,2,384,389,7.8,30,40
Dorian Jones,97546,LB,VIRGINIA,7,2,2.3,0,0,335,52.1,63.4,80.1,67.1,74.2,39.7,25.0,3,0,79,81,7.6,6,7
Thomas Gore,97560,DI,GA TECH,13,7,1.8,0,0,176,64.4,74.2,83.2,63.4,76.8,61.8,11.1,2,0,145,150,4.8,7,9
Marcus Fuqua,97563,S,BUFFALO,13,6,6.5,0,0,126,75.7,75.2,87.6,53.5,73.0,78.8,9.4,3,1,263,266,3.0,8,23
Jeff Clark,97566,DI,ARIZONA ST,13,5,2.2,0,0,110,55.2,57.5,47.1,63.0,56.2,45.9,15.0,3,2,189,192,5.3,10,12
Javon Denis,97572,DI,MEMPHIS,13,9,1.3,0,0,218,63.5,70.6,67.6,59.6,77.5,63.7,11.1,3,1,198,203,6.1,12,15
Damari Roberson,97609,S,W MICHIGAN,13,11,4.5,0,0,347,67.1,68.0,61.6,49.5,73.2,91.2,3.1,1,2,338,342,2.7,9,20
Terry Jones,97675,CB,INDIANA,11,5,3.3,0,1,190,67.5,71.2,88.2,55.4,87.1,64.0,13.0,3,1,94,94,9.6,9,15
Trey Rucker,97684,S,OKLA STATE,11,16,6.9,0,0,262,54.3,59.6,46.1,65.6,66.9,70.1,12.9,9,2,253,258,8.7,22,45
Mehki Miller,97686,S,CINCINNATI,6,2,7.5,0,0,138,51.7,59.1,78.2,,77.8,64.3,0.0,0,0,35,36,2.9,1,4
Nalu Emerson,97701,LB,HAWAII,12,6,4.2,0,0,180,58.0,58.4,0.0,61.6,62.0,50.3,18.8,6,2,139,146,7.9,11,20
M.J. Griffin,97703,S,LOUISVILLE,13,12,8.5,0,0,210,62.8,68.9,86.8,68.5,78.9,79.9,7.7,3,0,281,286,2.1,6,24
Matt Salopek,97704,LB,MIAMI OH,14,24,3.3,0,1,221,91.3,86.3,62.6,66.9,76.3,74.6,13.7,13,2,390,402,9.5,37,58
Dylan Downing,97715,LB,KANSAS,2,0,0.7,0,0,198,62.8,83.3,68.2,,83.6,78.3,0.0,0,0,5,5,60.0,3,3
Jalen Davis,97720,LB,MIDDLE TN,12,10,3.2,0,0,224,31.3,39.3,33.0,71.1,49.0,54.4,16.2,6,1,203,203,5.4,11,21
Wesley Walker,97725,S,MICHIGAN,11,5,6.1,0,0,222,57.8,62.3,84.0,52.6,72.4,79.5,9.5,2,0,141,142,3.5,5,14
Dorian Hopkins,97730,LB,UTEP,12,15,3.1,0,0,330,44.4,53.1,83.7,62.1,58.3,62.9,17.1,13,1,314,319,9.6,30,48
Tavian Brown,97747,LB,GA STATE,2,1,7.0,0,0,175,51.2,55.7,74.6,80.3,53.4,39.3,25.0,1,0,15,16,6.7,1,2
Marley Cook,97750,DI,MIAMI FL,12,0,2.4,0,0,220,,76.8,81.2,63.3,81.8,50.8,10.0,1,0,66,67,10.6,7,9
Zaylin Wood,97761,DI,VANDERBILT,3,2,1.3,0,0,333,60.0,67.2,78.0,58.9,70.6,76.4,0.0,0,0,26,28,11.5,3,3
Raymond Cutts,97777,ED,TROY,12,6,3.2,0,0,318,55.3,71.1,67.1,67.4,73.1,68.4,12.1,4,1,215,222,6.5,14,23
Jamal Morris,97881,LB,HOUSTON,12,18,3.6,0,0,182,53.6,57.5,14.3,53.1,64.8,76.9,11.1,7,2,263,265,9.5,25,38
Prince Wallace-Bemah,97882,LB,CHARLOTTE,9,10,3.2,0,0,136,51.3,57.3,82.3,63.1,61.8,54.6,13.5,5,0,146,148,11.0,16,22
