player_name,position,school,prev_rank,curr_rank,rank_delta_prev_minus_curr,prev_grade,curr_grade,grade_delta,athletic_delta,production_delta,prior_delta,guardrail_relief_delta,top_driver
LT Overton,EDGE,Alabama,389,128,261,72.54,85.91,13.37,0.0,0.0,0.0,-1.35,guardrail_relief (down 1.35)
Jalen Walthall,WR,Incarnate Word,365,113,252,73.38,87.22,13.84,0.0,0.0,0.0,0.0,athletic (up 0.00)
Devin Moore,CB,Florida,415,173,242,71.72,83.17,11.45,0.0,0.0,0.0,0.0,athletic (up 0.00)
Lee Hunter,DT,Texas Tech Red Raiders,327,104,223,74.1,87.31,13.21,0.0,0.0,0.0,0.0,athletic (up 0.00)
Taurean York,LB,Texas A&M Aggies,338,119,219,73.61,86.36,12.75,0.0,0.0,0.0,0.0,athletic (up 0.00)
Anto Saka,EDGE,Northwestern,322,106,216,73.88,87.07,13.19,0.0,0.0,0.0,0.0,athletic (up 0.00)
J'Mari Taylor,RB,Virginia Cavaliers,432,224,208,70.12,79.9,9.78,0.0,0.0,0.0,-0.23,guardrail_relief (down 0.23)
Kamari Ramsey,S,USC Trojans,353,149,204,73.33,84.47,11.14,0.0,0.0,0.0,0.0,athletic (up 0.00)
Emmanuel Henderson Jr.,WR,Kansas,431,236,195,70.28,79.51,9.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Nick Barrett,DT,South Carolina,315,121,194,74.2,86.41,12.21,0.0,0.0,0.0,0.0,athletic (up 0.00)
Quincy Rhodes Jr.,EDGE,Arkansas,270,77,193,75.46,89.41,13.95,0.0,0.0,0.0,0.0,athletic (up 0.00)
Barika Kpeenu,RB,North Dakota State,242,62,180,76.22,89.98,13.76,0.0,0.0,0.0,0.0,athletic (up 0.00)
Rodney Hammond Jr.,RB,Sacramento State,243,63,180,76.22,89.98,13.76,0.0,0.0,0.0,0.0,athletic (up 0.00)
Hezekiah Masses,CB,California Golden Bears,393,213,180,71.84,80.17,8.33,0.0,0.0,0.0,-1.85,guardrail_relief (down 1.85)
Daniel Sobkowicz,WR,Illinois State,234,55,179,76.24,90.08,13.84,0.0,0.0,0.0,0.0,athletic (up 0.00)
Michael Briscoe,WR,Cal Poly,235,56,179,76.24,90.08,13.84,0.0,0.0,0.0,0.0,athletic (up 0.00)
Michael Wortham,WR,Montana,236,57,179,76.24,90.08,13.84,0.0,0.0,0.0,0.0,athletic (up 0.00)
Treyvhon Saunders,WR,Colgate,237,58,179,76.24,90.08,13.84,0.0,0.0,0.0,0.0,athletic (up 0.00)
Michael Trigg,TE,Baylor Bears,269,99,170,75.22,87.71,12.49,0.0,0.0,0.0,0.0,athletic (up 0.00)
Emmett Johnson,RB,Nebraska Cornhuskers,284,118,166,74.89,86.41,11.52,0.0,0.0,0.0,0.0,athletic (up 0.00)
Connor Lew,IOL,Auburn Tigers,278,115,163,74.94,86.82,11.88,0.0,0.0,0.0,0.0,athletic (up 0.00)
Zakee Wheatley,S,Penn State Nittany Lions,317,154,163,74.03,84.3,10.27,0.0,0.0,0.0,-0.95,guardrail_relief (down 0.95)
Darrell Jackson Jr.,DT,Florida State,194,36,158,77.08,91.71,14.63,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jordan Hudson,WR,SMU,314,158,156,74.03,84.43,10.4,0.0,0.0,0.0,0.0,athletic (up 0.00)
Malachi Fields,WR,Notre Dame Fighting Irish,298,144,154,74.44,84.62,10.18,0.0,0.0,0.0,0.0,athletic (up 0.00)
Trevor Goosby,OT,Texas,219,66,153,76.34,89.64,13.3,0.0,0.0,0.0,0.0,athletic (up 0.00)
Carnell Tate,WR,Ohio State,200,48,152,76.92,90.18,13.26,0.0,0.0,0.0,0.0,athletic (up 0.00)
KC Concepcion,WR,Texas A&M Aggies,211,64,147,76.55,89.65,13.1,0.0,0.0,0.0,0.0,athletic (up 0.00)
Langston Jones,OT,Lehigh,187,41,146,77.34,91.31,13.97,0.0,0.0,0.0,0.0,athletic (up 0.00)
Anez Cooper,IOL,Miami,311,165,146,73.94,83.8,9.86,0.0,0.0,0.0,0.0,athletic (up 0.00)
Will Lee III,CB,Texas A&M Aggies,360,214,146,72.81,80.17,7.36,0.0,0.0,0.0,-3.78,guardrail_relief (down 3.78)
Christian Thomas,LB,Maine,171,26,145,77.68,92.88,15.2,0.0,0.0,0.0,0.0,athletic (up 0.00)
Hollywood Smothers,RB,N.C. State,275,134,141,75.05,85.73,10.68,0.0,0.0,0.0,0.0,athletic (up 0.00)
Terrance Carter Jr.,TE,Texas Tech,305,168,137,74.11,83.22,9.11,0.0,0.0,0.0,-1.18,guardrail_relief (down 1.18)
Carter Smith,IOL,Indiana,293,157,136,74.44,84.21,9.77,0.0,0.0,0.0,0.0,athletic (up 0.00)
Justin Jefferson,LB,Alabama,290,155,135,74.44,84.49,10.05,0.0,0.0,0.0,0.0,athletic (up 0.00)
Xavian Sorey Jr.,LB,Arkansas Razorbacks,447,312,135,67.71,76.47,8.76,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jalen McMurray,S,Tennessee,272,138,134,75.06,85.44,10.38,0.0,0.0,0.0,0.0,athletic (up 0.00)
Kevin Coleman Jr.,WR,Missouri Tigers,412,278,134,71.03,77.67,6.64,0.0,0.0,0.0,-2.29,guardrail_relief (down 2.29)
AJ Harris,CB,Penn State,279,146,133,74.73,84.51,9.78,0.0,0.0,0.0,0.0,athletic (up 0.00)
Bishop Fitzgerald,S,USC Trojans,384,251,133,71.83,78.57,6.74,0.0,0.0,0.0,-2.76,guardrail_relief (down 2.76)
Caleb Banks,DT,Florida Gators,155,25,130,77.64,92.79,15.15,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jahiem Lawson,EDGE,Clemson,251,122,129,75.27,86.19,10.92,0.0,0.0,0.0,0.0,athletic (up 0.00)
Deven Eastern,DT,Minnesota Golden Gophers,449,321,128,67.37,76.42,9.05,0.0,0.0,0.0,0.0,athletic (up 0.00)
Denzel Boston,WR,Washington,168,43,125,77.48,90.58,13.1,0.0,0.0,0.0,0.0,athletic (up 0.00)
Alex Harkey,IOL,Oregon,244,120,124,75.56,86.22,10.66,0.0,0.0,0.0,0.0,athletic (up 0.00)
Dontay Corleone,DT,Cincinnati Bearcats,172,51,121,77.04,89.99,12.95,0.0,0.0,0.0,0.0,athletic (up 0.00)
Aaron Anderson,WR,LSU Tigers,440,320,120,69.58,76.66,7.08,0.0,0.0,0.0,0.0,athletic (up 0.00)
Ethan Burke,EDGE,Texas,231,114,117,75.76,87.15,11.39,0.0,0.0,0.0,0.0,athletic (up 0.00)
