player_name,position,school,prev_rank,curr_rank,rank_delta_prev_minus_curr,prev_grade,curr_grade,grade_delta,athletic_delta,production_delta,prior_delta,guardrail_relief_delta,top_driver
Albert Regis,DT,Texas A&M Aggies,191,100,91,75.93,77.83,1.9,8.0,0.58,0.14,0.0,athletic (up 8.00)
Ty Simpson,QB,Alabama Crimson Tide,114,37,77,78.43,80.88,2.45,0.0,2.55,3.29,0.0,prior (up 3.29)
DeMonte Capehart,DT,Clemson Tigers,226,175,51,73.94,75.95,2.01,8.0,0.99,0.16,0.0,athletic (up 8.00)
Kaimon Rucker,EDGE,North Carolina,105,60,45,79.14,79.49,0.35,0.0,0.7,0.53,0.0,production (up 0.70)
Harold Perkins Jr.,LB,LSU,152,108,44,77.14,77.54,0.4,0.0,1.45,-0.1,0.0,production (up 1.45)
Jermayne Lole,DT,Louisville,130,87,43,77.86,78.18,0.32,0.0,0.7,0.28,0.0,production (up 0.70)
Mikail Kamara,EDGE,Indiana Hoosiers,98,57,41,79.34,79.5,0.16,0.0,0.81,0.32,0.0,production (up 0.81)
Zachariah Branch,WR,Georgia,95,55,40,79.4,79.55,0.15,0.0,0.2,1.18,0.0,prior (up 1.18)
Justin Flowe,LB,Arizona,117,77,40,78.28,78.61,0.33,0.0,0.7,0.38,0.0,production (up 0.70)
Dominic Gooden,DT,Oklahoma,150,112,38,77.2,77.51,0.31,0.0,0.7,0.15,0.0,production (up 0.70)
CJ Mims,EDGE,West Virginia,154,116,38,77.14,77.44,0.3,0.0,0.7,0.1,0.0,production (up 0.70)
Jack Endries,TE,Texas Longhorns,100,63,37,79.33,79.46,0.13,0.0,0.44,0.43,0.0,production (up 0.44)
Deion Burks,WR,Oklahoma Sooners,107,70,37,79.09,79.12,0.03,0.0,0.0,0.34,0.0,prior (up 0.34)
Eugene Brooks III,IOL,Oklahoma,108,71,37,78.99,79.04,0.05,0.0,0.0,0.57,0.0,prior (up 0.57)
Seth McGowan,RB,Kentucky Wildcats,128,91,37,77.96,78.07,0.11,0.0,0.36,0.3,0.0,production (up 0.36)
Evan Stewart,WR,Oregon,104,68,36,79.14,79.19,0.05,0.0,0.0,0.54,0.0,prior (up 0.54)
Makhi Hughes,RB,Oregon,129,93,36,77.95,78.0,0.05,0.0,0.0,0.47,0.0,prior (up 0.47)
David Oke,DT,Arkansas Razorbacks,146,110,36,77.22,77.52,0.3,0.0,1.4,0.29,0.0,production (up 1.40)
Gabriel Brownlow-Dindy,DT,South Carolina,151,115,36,77.15,77.46,0.31,0.0,0.7,0.14,0.0,production (up 0.70)
Domata Peko Jr.,DT,UCLA,161,125,36,76.84,77.14,0.3,0.0,0.7,0.07,0.0,production (up 0.70)
Tre Williams,DT,Clemson,166,130,36,76.73,77.03,0.3,0.0,0.7,0.05,0.0,production (up 0.70)
DJ McKinney,CB,Colorado,91,56,35,79.44,79.5,0.06,0.0,0.0,0.58,0.0,prior (up 0.58)
Nicholas Singleton,RB,Penn State,113,78,35,78.44,78.56,0.12,0.0,0.48,0.17,0.0,production (up 0.48)
Kaytron Allen,RB,Penn State Nittany Lions,93,59,34,79.41,79.5,0.09,0.0,0.4,0.37,-0.03,production (up 0.40)
T.J. Searcy,EDGE,Texas A&M,103,69,34,79.18,79.13,-0.05,0.0,0.7,0.51,0.0,production (up 0.70)
Cashius Howell,EDGE,Texas A&M Aggies,39,6,33,82.2,82.29,0.09,8.0,-1.6,-0.48,0.0,athletic (up 8.00)
Skyler Bell,WR,Connecticut Huskies,51,18,33,81.55,81.72,0.17,0.0,0.57,0.52,0.0,production (up 0.57)
Arvell Reese,LB,Ohio State Buckeyes,60,27,33,80.84,81.41,0.57,0.0,-0.35,-0.11,0.0,production (down 0.35)
Jeremiah Alexander,EDGE,Alabama,162,129,33,76.8,77.1,0.3,0.0,0.7,0.06,0.0,production (up 0.70)
CJ Daniels,WR,Miami (FL) Hurricanes,96,64,32,79.38,79.46,0.08,0.0,0.2,0.34,0.0,prior (up 0.34)
Takye Heath,CB,Georgia Tech,97,65,32,79.37,79.42,0.05,0.0,0.0,0.55,0.0,prior (up 0.55)
Isaiah World,OT,Oregon,116,84,32,78.31,78.32,0.01,0.0,0.0,0.13,0.0,prior (up 0.13)
Tyreak Sapp,EDGE,Florida,133,102,31,77.59,77.79,0.2,0.0,2.5,0.18,0.0,production (up 2.50)
R Mason Thomas,EDGE,Oklahoma,43,13,30,81.88,82.0,0.12,8.0,-2.64,-1.1,0.0,athletic (up 8.00)
Skyler Gill-Howard,DT,Texas Tech Red Raiders,88,58,30,79.5,79.5,0.0,0.0,-3.48,0.33,0.98,production (down 3.48)
Justice Boone,RB,Colorado,131,101,30,77.77,77.81,0.04,0.0,0.0,0.43,0.0,prior (up 0.43)
Eugene Asante,LB,Auburn,68,39,29,80.53,80.86,0.33,0.0,0.7,0.37,0.0,production (up 0.70)
Brady Latham,IOL,Arkansas,77,48,29,80.01,80.03,0.02,0.0,0.0,0.18,0.0,prior (up 0.18)
Hollin Pierce,OT,Rutgers,119,90,29,78.06,78.09,0.03,0.0,0.0,0.29,0.0,prior (up 0.29)
Xavier Chaplin,OT,Auburn,127,98,29,77.97,77.99,0.02,0.0,0.0,0.27,0.0,prior (up 0.27)
Tim Keenan III,DT,Alabama Crimson Tide,136,107,29,77.42,77.65,0.23,0.0,1.1,0.32,0.0,production (up 1.10)
Sam Roush,TE,Stanford Cardinal,153,124,29,77.14,77.18,0.04,0.0,0.0,0.35,0.0,prior (up 0.35)
Kevin Concepcion,WR,Texas A&M,70,42,28,80.48,80.59,0.11,0.0,0.0,1.17,0.0,prior (up 1.17)
De'Zhaun Stribling,WR,Mississippi Rebels,122,94,28,78.0,78.0,0.0,0.0,0.23,0.16,-0.06,production (up 0.23)
J.C. Davis,OT,Illinois Fighting Illini,123,95,28,78.0,78.0,0.0,0.0,0.0,0.26,-0.02,prior (up 0.26)
Michael Taaffe,S,Texas Longhorns,124,96,28,78.0,78.0,0.0,0.0,-1.1,0.31,0.43,production (down 1.10)
Beau Stephens,IOL,Iowa Hawkeyes,125,97,28,78.0,78.0,0.0,0.0,0.0,4.22,1.18,prior (up 4.22)
Brian Parker II,OT,Duke Blue Devils,42,15,27,81.9,81.94,0.04,0.0,0.0,0.48,0.0,prior (up 0.48)
Bryce Lovett,IOL,NC State,149,123,26,77.2,77.22,0.02,0.0,0.0,0.21,0.0,prior (up 0.21)
Joe Crocker Jr.,IOL,Auburn,157,133,24,77.0,77.01,0.01,0.0,0.0,0.18,0.0,prior (up 0.18)
Josh Cuevas,TE,Alabama Crimson Tide,164,140,24,76.75,76.89,0.14,0.0,0.52,0.18,0.0,production (up 0.52)
Makai Lemon,WR,USC Trojans,27,4,23,82.89,82.57,-0.32,0.0,0.69,-0.27,-0.56,production (up 0.69)
Daylen Everette,CB,Georgia,74,51,23,80.14,79.75,-0.39,0.0,-0.95,0.33,0.0,production (down 0.95)
Caleb Banks,DT,Florida Gators,84,61,23,79.7,79.46,-0.24,8.0,1.61,-0.7,0.0,athletic (up 8.00)
Timothy McKay,IOL,NC State,145,122,23,77.22,77.24,0.02,0.0,0.0,0.22,0.0,prior (up 0.22)
LaNorris Sellers,QB,South Carolina,135,113,22,77.5,77.5,0.0,0.0,0.0,0.21,-0.02,prior (up 0.21)
Tanner Miller,IOL,Michigan,140,118,22,77.33,77.35,0.02,0.0,0.0,0.25,0.0,prior (up 0.25)
Addison Nichols,IOL,Arkansas,143,121,22,77.25,77.27,0.02,0.0,0.0,0.22,0.0,prior (up 0.22)
Drew Shelton,OT,Penn State Nittany Lions,138,117,21,77.39,77.42,0.03,0.0,0.0,0.36,0.0,prior (up 0.36)
Drew Allar,QB,Penn State,148,127,21,77.2,77.12,-0.08,0.0,-0.11,-0.62,0.0,prior (down 0.62)
Branson Combs,S,Wake Forest,172,152,20,76.48,76.48,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Keon Wylie,S,Texas Tech,173,153,20,76.46,76.46,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Cade Klubnik,QB,Clemson,163,144,19,76.75,76.8,0.05,0.0,0.5,-0.61,0.0,prior (down 0.61)
Aamil Wagner,OT,Notre Dame,167,148,19,76.68,76.66,-0.02,0.0,0.0,-0.21,0.0,prior (down 0.21)
Dakaari Nelson,S,Penn State,169,150,19,76.53,76.53,0.0,0.0,0.0,0.01,0.0,prior (up 0.01)
Eric McAlister,WR,TCU Horned Frogs,186,167,19,76.05,76.16,0.11,0.0,0.46,0.15,0.0,production (up 0.46)
Raesjon Davis,LB,USC,198,179,19,75.6,75.88,0.28,0.0,0.7,-0.17,0.0,production (up 0.70)
Ernest Hausmann,LB,Michigan,199,180,19,75.58,75.86,0.28,0.0,0.7,-0.17,0.0,production (up 0.70)
Conner Weigman,QB,Houston,230,211,19,73.82,75.14,1.32,0.0,6.04,0.49,0.0,production (up 6.04)
Zane Durant,DT,Penn State,277,258,19,70.95,73.29,2.34,8.0,2.21,-0.16,0.0,athletic (up 8.00)
Blake Miller,OT,Clemson Tigers,63,45,18,80.64,80.37,-0.27,0.0,0.0,0.92,0.0,prior (up 0.92)
Darris Smith,EDGE,LSU,156,138,18,77.05,76.96,-0.09,0.0,0.7,0.09,0.0,production (up 0.70)
Monroe Freeling,OT,Georgia,40,23,17,82.2,81.56,-0.64,0.0,0.0,-0.03,0.0,prior (down 0.03)
Omar Cooper Jr.,WR,Indiana Hoosiers,47,30,17,81.67,81.33,-0.34,0.0,0.44,1.11,0.0,prior (up 1.11)
Dani Dennis-Sutton,EDGE,Penn State Nittany Lions,71,54,17,80.43,79.65,-0.78,0.0,-1.35,0.58,0.0,production (down 1.35)
Martavius French,LB,Tennessee,200,183,17,75.54,75.82,0.28,0.0,0.7,-0.18,0.0,production (up 0.70)
Shedrick Shropshire,LB,TCU,202,185,17,75.51,75.79,0.28,0.0,0.7,-0.18,0.0,production (up 0.70)
Trey Moore,LB,Texas Longhorns,290,273,17,70.54,72.86,2.32,8.0,2.33,-0.24,0.0,athletic (up 8.00)
Caleb Lomu,OT,Utah,49,33,16,81.66,81.12,-0.54,0.0,0.0,1.07,0.0,prior (up 1.07)
Toriano Pride Jr.,CB,Missouri,189,173,16,76.02,76.01,-0.01,0.0,0.0,-0.11,0.0,prior (down 0.11)
Denairius Gray,CB,Florida,178,163,15,76.21,76.2,-0.01,0.0,0.0,-0.06,0.0,prior (down 0.06)
Samari Matthews,CB,Texas A&M,179,164,15,76.2,76.19,-0.01,0.0,0.0,-0.06,0.0,prior (down 0.06)
Tyreak Chappell,CB,South Carolina,181,166,15,76.18,76.17,-0.01,0.0,0.0,-0.08,0.0,prior (down 0.08)
Kendal Daniels,LB,Oklahoma,340,325,15,67.4,70.61,3.21,0.0,-0.61,18.31,5.43,prior (up 18.31)
Xavier Scott,CB,Illinois Fighting Illini,120,106,14,78.04,77.71,-0.33,0.0,-0.66,0.4,0.0,production (down 0.66)
Ricardo Jones Jr.,CB,Purdue,176,162,14,76.25,76.25,0.0,0.0,0.0,-0.06,0.0,prior (down 0.06)
Tyler Collins,CB,Mississippi State,190,176,14,75.96,75.95,-0.01,0.0,0.0,-0.12,0.0,prior (down 0.12)
Malachi Fields,WR,Notre Dame Fighting Irish,79,66,13,79.98,79.38,-0.6,0.0,0.35,-0.97,0.0,prior (down 0.97)
Ja'Keem Jackson,CB,Florida,184,171,13,76.09,76.08,-0.01,0.0,0.0,-0.1,0.0,prior (down 0.10)
Tysheem Johnson,LB,Oregon,203,190,13,75.4,75.68,0.28,0.0,0.7,-0.19,0.0,production (up 0.70)
Aiden Fisher,LB,Indiana Hoosiers,214,201,13,75.05,75.45,0.4,0.0,1.78,0.14,0.0,production (up 1.78)
Gunner Stockton,QB,Georgia,225,213,12,73.96,75.05,1.09,0.0,4.93,0.54,0.0,production (up 4.93)
D'Angelo Ponds,CB,Indiana Hoosiers,54,43,11,81.38,80.56,-0.82,0.0,-1.34,0.24,0.0,production (down 1.34)
Keon Sabb,S,Alabama,170,159,11,76.52,76.3,-0.22,0.0,0.0,0.01,0.0,prior (up 0.01)
Carnell Tate,WR,Ohio State,11,1,10,83.79,83.03,-0.76,0.0,0.48,0.16,-0.56,guardrail_relief (down 0.56)
Josiah Trotter,LB,Missouri Tigers,83,73,10,79.83,78.98,-0.85,0.0,0.53,1.21,0.0,prior (up 1.21)
Isaac Smith,S,Mississippi State,168,158,10,76.55,76.33,-0.22,0.0,0.0,0.02,0.0,prior (up 0.02)
Jordyn Tyson,WR,Arizona State,19,10,9,83.37,82.14,-1.23,0.0,0.32,0.28,-0.56,guardrail_relief (down 0.56)
Oscar Delp,TE,Georgia,195,186,9,75.74,75.72,-0.02,0.0,0.0,-0.19,0.0,prior (down 0.19)
Popo Aumavae,LB,Oregon,204,195,9,75.36,75.63,0.27,0.0,0.7,-0.18,0.0,production (up 0.70)
Kadyn Proctor,OT,Alabama,17,9,8,83.47,82.15,-1.32,0.0,0.0,0.2,-0.56,guardrail_relief (down 0.56)
Dillon Thieneman,S,Oregon,22,14,8,83.13,81.95,-1.18,0.0,-1.32,-0.5,0.0,production (down 1.32)
Eli Raridon,TE,Notre Dame,211,203,8,75.18,75.37,0.19,0.0,0.57,0.83,0.0,prior (up 0.83)
Denzel Boston,WR,Washington,23,16,7,83.02,81.91,-1.11,0.0,0.56,-0.29,-0.56,guardrail_relief (down 0.56)
Jermod McCoy,CB,Tennessee,53,46,7,81.49,80.36,-1.13,0.0,0.0,-2.36,0.0,prior (down 2.36)
Emmanuel Pregnon,IOL,Oregon Ducks,31,25,6,82.48,81.55,-0.93,0.0,0.0,4.64,0.0,prior (up 4.64)
Kenyon Sadiq,TE,Oregon,46,40,6,81.68,80.7,-0.98,0.0,0.62,-1.47,0.0,prior (down 1.47)
Lee Hunter,DT,Texas Tech Red Raiders,56,50,6,81.35,79.83,-1.52,0.0,-1.51,-3.47,0.0,prior (down 3.47)
Ashton Stamps,CB,LSU,183,177,6,76.13,75.9,-0.23,0.0,0.0,-0.06,0.0,prior (down 0.06)
Roman Hemby,RB,Indiana,197,191,6,75.6,75.66,0.06,0.0,0.46,-0.46,0.0,production (up 0.46)
Zion Young,EDGE,Missouri Tigers,25,20,5,82.99,81.68,-1.31,0.0,-3.21,0.47,0.0,production (down 3.21)
Jonah Coleman,RB,Washington Huskies,85,80,5,79.56,78.51,-1.05,0.0,0.44,5.29,0.0,prior (up 5.29)
Lorenzo Styles Jr.,CB,Ohio State,187,182,5,76.05,75.82,-0.23,0.0,0.0,-0.1,0.0,prior (down 0.10)
Dasan McCullough,LB,Oklahoma,205,200,5,75.31,75.47,0.16,0.0,0.7,-1.48,0.0,prior (down 1.48)
Keionte Scott,CB,Miami (FL) Hurricanes,7,3,4,84.29,82.81,-1.48,0.0,-1.33,-2.42,-0.46,prior (down 2.42)
C.J. Allen,LB,Georgia,30,26,4,82.66,81.43,-1.23,0.0,-0.25,1.21,0.0,prior (up 1.21)
Nyck Harbor,WR,South Carolina,35,31,4,82.33,81.25,-1.08,0.0,0.0,0.28,-1.1,guardrail_relief (down 1.10)
Jordan Shaw,CB,Washington,185,181,4,76.07,75.84,-0.23,0.0,0.0,-0.1,0.0,prior (down 0.10)
Kani Walker,CB,Oregon,188,184,4,76.04,75.81,-0.23,0.0,0.0,-0.11,0.0,prior (down 0.11)
Treyveon McGee,CB,Georgia,192,188,4,75.93,75.7,-0.23,0.0,0.0,-0.12,0.0,prior (down 0.12)
Earnest Greene III,OT,Georgia,196,192,4,75.66,75.66,0.0,0.0,0.0,-0.06,0.0,prior (down 0.06)
Le'Veon Moss,RB,Texas A&M,201,197,4,75.51,75.55,0.04,0.0,0.35,-0.38,0.0,prior (down 0.38)
Fernando Mendoza,QB,Indiana,15,12,3,83.51,82.01,-1.5,0.0,0.18,0.09,-0.56,guardrail_relief (down 0.56)
