player_name,position,school,prev_rank,curr_rank,rank_delta_prev_minus_curr,prev_grade,curr_grade,grade_delta,athletic_delta,production_delta,prior_delta,guardrail_relief_delta,top_driver
Eli Stowers,TE,Vanderbilt,41,40,1,85.63,85.86,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Skyler Bell,WR,Connecticut Huskies,44,43,1,85.11,85.47,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Zion Young,EDGE,Missouri Tigers,50,49,1,84.58,84.75,0.17,0.0,0.0,0.0,-0.21,guardrail_relief (down 0.21)
Deion Burks,WR,Oklahoma Sooners,59,58,1,83.01,83.37,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Chandler Rivers,CB,Duke,60,59,1,83.15,83.31,0.16,0.0,0.0,0.0,-0.2,guardrail_relief (down 0.20)
Lorenzo Styles Jr.,CB,Ohio State,73,72,1,81.65,82.01,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Will Lee III,CB,Texas A&M Aggies,129,128,1,78.29,78.51,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Dallen Bentley,TE,Utah Utes,182,181,1,74.89,75.11,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jordan Hudson,WR,SMU,187,186,1,74.66,75.02,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Ephesians Prysock,CB,Washington Huskies,189,188,1,74.15,74.51,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Bishop Fitzgerald,S,USC Trojans,200,199,1,73.62,73.84,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Nate Boerkircher,TE,Texas A&M Aggies,203,202,1,73.05,73.41,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Chase Roberts,WR,BYU Cougars,209,208,1,72.7,73.07,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
Noah Whittington,RB,Oregon Ducks,217,216,1,71.67,72.03,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Diego Pavia,QB,Vanderbilt Commodores,218,217,1,71.49,71.86,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
Keyron Crawford,EDGE,Auburn Tigers,219,218,1,70.54,70.92,0.38,0.0,0.0,0.0,0.0,athletic (up 0.00)
J'Mari Taylor,RB,Virginia Cavaliers,220,219,1,71.38,71.74,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Ahmaad Moses,S,SMU Mustangs,249,248,1,68.19,68.55,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Adam Randall,RB,Clemson Tigers,252,251,1,67.37,67.74,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
Bauer Sharp,TE,LSU Tigers,255,254,1,66.41,66.77,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jaren Kanak,TE,Oklahoma Sooners,258,257,1,66.11,66.47,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Sonny Styles,LB,Ohio State,1,1,0,94.35,94.35,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Arvell Reese,LB,Ohio State Buckeyes,2,2,0,94.46,94.46,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Kadyn Proctor,OT,Alabama,3,3,0,94.06,94.06,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Monroe Freeling,OT,Georgia,4,4,0,93.88,93.88,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jeremiyah Love,RB,Notre Dame,5,5,0,93.86,93.86,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Caleb Lomu,OT,Utah,6,6,0,93.81,93.81,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jordyn Tyson,WR,Arizona State,7,7,0,93.37,93.37,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Caleb Downs,S,Ohio State,8,8,0,92.59,92.82,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Francis Mauigoa,OT,Miami (FL) Hurricanes,9,9,0,92.52,92.52,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Mansoor Delane,CB,LSU Tigers,10,10,0,92.1,92.46,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Makai Lemon,WR,USC Trojans,14,14,0,91.31,91.54,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Olaivavega Ioane,IOL,Penn State Nittany Lions,15,15,0,91.26,91.26,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Dillon Thieneman,S,Oregon,16,16,0,89.48,89.71,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Cashius Howell,EDGE,Texas A&M Aggies,17,17,0,90.68,91.06,0.38,0.0,0.0,0.0,0.0,athletic (up 0.00)
Kenyon Sadiq,TE,Oregon,18,18,0,89.68,89.9,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Brandon Cisse,CB,South Carolina Gamecocks,19,19,0,89.86,90.08,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Spencer Fano,OT,Utah,20,20,0,89.06,89.06,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Emmanuel Pregnon,IOL,Oregon Ducks,23,23,0,88.68,88.68,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Peter Woods,DT,Clemson,24,24,0,88.73,88.73,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Anthony Hill Jr.,LB,Texas Longhorns,25,25,0,88.56,88.56,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
T.J. Parker,EDGE,Clemson,26,26,0,88.15,88.39,0.24,0.0,0.0,0.0,0.0,athletic (up 0.00)
Caleb Banks,DT,Florida Gators,31,31,0,87.42,87.42,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Blake Miller,OT,Clemson Tigers,39,39,0,85.76,85.76,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Avieon Terrell,CB,Clemson,42,42,0,85.44,85.67,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
D'Angelo Ponds,CB,Indiana Hoosiers,47,47,0,84.71,84.94,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Keionte Scott,CB,Miami (FL) Hurricanes,52,52,0,84.37,84.53,0.16,0.0,0.0,0.0,-0.21,guardrail_relief (down 0.21)
Romello Height,EDGE,Texas Tech Red Raiders,53,53,0,83.92,83.92,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Chase Bisontis,IOL,Texas A&M,54,54,0,83.49,83.49,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Ja'Kobi Lane,WR,USC,55,55,0,83.6,83.82,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Chris Johnson,CB,San Diego State Aztecs,56,56,0,83.31,83.47,0.16,0.0,0.0,0.0,-0.2,guardrail_relief (down 0.20)
Zachariah Branch,WR,Georgia,57,57,0,82.02,82.24,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Bryce Lance,WR,North Dakota State,81,81,0,81.17,81.17,0.0,0.0,0.0,0.0,-0.22,guardrail_relief (down 0.22)
Genesis Smith,S,Arizona Wildcats,82,82,0,80.57,80.57,0.0,0.0,0.0,0.0,-0.22,guardrail_relief (down 0.22)
Jaishawn Barham,LB,Michigan,83,83,0,80.38,80.38,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Gennings Dunker,OT,Iowa Hawkeyes,84,84,0,80.5,80.5,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Austin Barber,OT,Florida,85,85,0,81.27,81.27,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Sam Hecht,IOL,Kansas State Wildcats,86,86,0,80.31,80.31,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Eli Raridon,TE,Notre Dame,106,106,0,78.09,78.09,0.0,0.0,0.0,0.0,-0.23,guardrail_relief (down 0.23)
Drew Shelton,OT,Penn State Nittany Lions,107,107,0,79.27,79.27,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Charles Demmings,CB,Stephen F. Austin,108,108,0,79.67,79.67,0.0,0.0,0.0,0.0,-0.22,guardrail_relief (down 0.22)
Thaddeus Dixon,CB,North Carolina Tar Heels,132,132,0,78.17,78.17,0.0,0.0,0.0,0.0,-0.22,guardrail_relief (down 0.22)
Carson Beck,QB,Miami (FL) Hurricanes,133,133,0,78.04,78.04,0.0,0.0,0.0,0.0,-0.36,guardrail_relief (down 0.36)
Davison Igbinosun,CB,Ohio State,134,134,0,78.17,78.17,0.0,0.0,0.0,0.0,-0.36,guardrail_relief (down 0.36)
LT Overton,EDGE,Alabama,135,135,0,78.34,78.34,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Tyreak Sapp,EDGE,Florida,136,136,0,78.09,78.09,0.0,0.0,0.0,0.0,-0.38,guardrail_relief (down 0.38)
J.C. Davis,OT,Illinois Fighting Illini,137,137,0,77.77,77.77,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Drew Allar,QB,Penn State,144,144,0,77.54,77.54,0.0,0.0,0.0,0.0,-0.36,guardrail_relief (down 0.36)
Bryce Boettcher,LB,Oregon Ducks,158,158,0,77.01,77.01,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Beau Stephens,IOL,Iowa Hawkeyes,159,159,0,77.03,77.03,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Tim Keenan III,DT,Alabama Crimson Tide,160,160,0,76.86,76.86,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Devin Moore,CB,Florida,175,175,0,75.88,76.1,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Hezekiah Masses,CB,California Golden Bears,176,176,0,75.47,75.83,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jadon Canady,CB,Oregon Ducks,177,177,0,75.27,75.27,0.0,0.0,0.0,0.0,-0.36,guardrail_relief (down 0.36)
Taylen Green,QB,Arkansas Razorbacks,178,178,0,75.04,75.04,0.0,0.0,0.0,0.0,-0.37,guardrail_relief (down 0.37)
Max Llewellyn,EDGE,Iowa Hawkeyes,190,190,0,74.37,74.37,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Domani Jackson,CB,Alabama,201,201,0,73.48,73.7,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
Logan Fano,EDGE,Utah Utes,210,210,0,72.47,72.7,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Micah Morris,IOL,Georgia Bulldogs,225,225,0,71.29,71.29,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jeremiah Wright,IOL,Auburn Tigers,226,226,0,70.38,70.38,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Luke Altmyer,QB,Illinois Fighting Illini,227,227,0,70.5,70.86,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Wesley Bissainthe,LB,Miami (FL) Hurricanes,228,228,0,70.21,70.21,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Joshua Braun,IOL,Kentucky Wildcats,229,229,0,69.97,69.97,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Diego Pounds,OT,Mississippi Rebels,238,238,0,69.1,69.1,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jack Pyburn,EDGE,LSU Tigers,241,241,0,69.06,69.3,0.24,0.0,0.0,0.0,0.0,athletic (up 0.00)
Joe Fagnano,QB,Connecticut Huskies,244,244,0,68.66,69.02,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jaylon Guilbeau,CB,Texas Longhorns,246,246,0,68.49,68.85,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Cameron Ball,DT,Arkansas Razorbacks,247,247,0,68.34,68.34,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Rahsul Faison,RB,South Carolina Gamecocks,250,250,0,68.37,68.59,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
CJ Donaldson,RB,Ohio State Buckeyes,253,253,0,67.15,67.51,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Dillon Bell,WR,Georgia Bulldogs,256,256,0,66.04,66.41,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
Colbie Young,WR,Georgia Bulldogs,259,259,0,65.24,65.61,0.37,0.0,0.0,0.0,0.0,athletic (up 0.00)
Garrett DiGiorgio,IOL,UCLA Bruins,260,260,0,65.06,65.06,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Harrison Wallace III,WR,Mississippi Rebels,261,261,0,63.87,64.23,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Barion Brown,WR,LSU,262,262,0,64.23,64.59,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Caullin Lacy,WR,Louisville Cardinals,263,263,0,63.27,63.63,0.36,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jackie Marshall,EDGE,Baylor Bears,264,264,0,62.31,62.31,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Kayden McDonald,DT,Ohio State Buckeyes,11,12,-1,91.74,91.74,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
C.J. Allen,LB,Georgia,12,13,-1,91.56,91.56,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
