player_uid,player_name,position,school,sim_drafted_count,sim_drafted_rate,median_pick,mean_pick,pick_variance,pick_std_dev,best_pick,worst_pick,round1_rate,top50_rate,most_common_team,most_common_team_share,representative_class_distance,simulations,softmax_temperature
430-jermaine-mathews-jr.,Jermaine Mathews Jr.,CB,Ohio State Buckeyes,851,0.851,189.0,193.85,632.838,25.156,161,257,0.0,0.0,JAX,0.0964,20.741,1000,0.13
265-germie-bernard,Germie Bernard,WR,Alabama,721,0.721,189.0,194.75,725.198,26.93,156,257,0.0,0.0,NYJ,0.0832,20.741,1000,0.13
88-zane-durant,Zane Durant,DT,Penn State,869,0.869,190.0,195.29,883.726,29.728,154,257,0.0,0.0,BAL,0.0806,20.741,1000,0.13
335-kamari-ramsey,Kamari Ramsey,S,USC Trojans,852,0.852,191.0,196.88,616.907,24.838,165,257,0.0,0.0,NYJ,0.0775,20.741,1000,0.13
391-jager-burton,Jager Burton,IOL,Kentucky Wildcats,756,0.756,191.5,196.03,902.771,30.046,155,257,0.0,0.0,BAL,0.0582,20.741,1000,0.13
622-suntarine-perkins,Suntarine Perkins,LB,Ole Miss,776,0.776,193.0,196.51,864.868,29.409,151,257,0.0,0.0,JAX,0.0528,20.741,1000,0.13
264-nic-anderson,Nic Anderson,WR,Oklahoma,669,0.669,193.0,198.58,668.805,25.861,163,257,0.0,0.0,NE,0.0897,20.741,1000,0.13
228-malik-muhammad,Malik Muhammad,CB,Texas,836,0.836,196.5,201.6,594.002,24.372,167,257,0.0,0.0,LAR,0.0682,20.741,1000,0.13
365-will-lee-iii,Will Lee III,CB,Texas A&M Aggies,843,0.843,197.0,202.08,539.45,23.226,169,257,0.0,0.0,CIN,0.0688,20.741,1000,0.13
600-devin-moore,Devin Moore,CB,Florida,817,0.817,197.0,202.34,517.119,22.74,171,257,0.0,0.0,LV,0.0796,20.741,1000,0.13
606-keagen-trost,Keagen Trost,OT,Missouri,889,0.889,198.0,205.13,463.121,21.52,180,257,0.0,0.0,NYG,0.0979,20.741,1000,0.13
629-clev-lubin,Clev Lubin,EDGE,Louisville,802,0.802,198.0,202.18,408.572,20.213,174,257,0.0,0.0,WAS,0.1022,20.741,1000,0.13
268-johntay-cook,Johntay Cook,WR,Texas,665,0.665,199.0,203.71,692.361,26.313,168,257,0.0,0.0,NE,0.0797,20.741,1000,0.13
240-isaiah-paul,Isaiah Paul,LB,Baylor,730,0.73,202.5,204.84,733.812,27.089,164,257,0.0,0.0,LAR,0.0685,20.741,1000,0.13
612-hollywood-smothers,Hollywood Smothers,RB,N.C. State,764,0.764,203.0,205.2,480.834,21.928,176,257,0.0,0.0,NYG,0.1021,20.741,1000,0.13
