player_name,position,school,prev_rank,curr_rank,rank_delta_prev_minus_curr,prev_grade,curr_grade,grade_delta,athletic_delta,production_delta,prior_delta,guardrail_relief_delta,top_driver
Zane Durant,DT,Penn State,179,120,59,77.14,79.14,2.0,0.0,0.0,-1.12,2.03,guardrail_relief (up 2.03)
Mike Washington Jr.,RB,Arkansas Razorbacks,144,95,49,78.4,79.9,1.5,0.0,0.0,1.98,1.34,prior (up 1.98)
Justin Joly,TE,North Carolina State Wolfpack,157,111,46,78.09,79.08,0.99,0.0,0.0,-1.26,1.08,prior (down 1.26)
Rayshaun Benny,DT,Michigan Wolverines,216,170,46,74.53,75.74,1.21,0.0,0.0,1.71,1.05,prior (up 1.71)
Taurean York,LB,Texas A&M Aggies,136,92,44,78.78,80.15,1.37,0.0,0.0,-1.84,1.2,prior (down 1.84)
Will Lee III,CB,Texas A&M Aggies,174,130,44,77.32,78.23,0.91,0.0,0.0,-0.57,0.95,guardrail_relief (up 0.95)
Bryce Lance,WR,North Dakota State,120,82,38,79.67,81.17,1.5,0.0,0.0,-6.06,2.09,prior (down 6.06)
Keyron Crawford,EDGE,Auburn Tigers,257,219,38,69.42,70.54,1.12,0.0,0.0,3.81,0.84,prior (up 3.81)
Josh Cameron,WR,Baylor Bears,240,203,37,72.7,72.66,-0.04,0.0,0.0,1.12,-0.14,prior (up 1.12)
Kyle Louis,LB,Pittsburgh Panthers,146,110,36,78.25,78.84,0.59,0.0,0.0,3.55,0.33,prior (up 3.55)
Dametrious Crownover,OT,Texas A&M Aggies,226,190,36,73.79,74.01,0.22,0.0,0.0,1.81,0.08,prior (up 1.81)
Emmanuel Henderson Jr.,WR,Kansas,237,201,36,73.11,73.11,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Xavier Nwankpa,S,Iowa,206,171,35,75.57,77.07,1.5,0.0,0.0,-9.38,2.16,prior (down 9.38)
Jam Miller,RB,Alabama Crimson Tide,245,210,35,72.24,72.24,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Chris McClellan,DT,Missouri Tigers,263,229,34,67.36,69.14,1.78,0.0,0.0,5.49,1.39,prior (up 5.49)
Treydan Stukes,CB,Arizona Wildcats,217,185,32,74.22,73.95,-0.27,0.0,0.0,4.14,-0.65,prior (up 4.14)
Damonic Williams,DT,Oklahoma Sooners,228,197,31,73.82,73.82,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Keylan Rutledge,IOL,Georgia Tech Yellow Jackets,151,122,29,78.16,78.59,0.43,0.0,0.0,1.49,0.32,prior (up 1.49)
Logan Jones,IOL,Iowa Hawkeyes,186,157,29,76.71,76.9,0.19,0.0,0.0,1.47,0.09,prior (up 1.47)
Brenen Thompson,WR,Mississippi State Bulldogs,187,158,29,76.53,76.8,0.27,0.0,0.0,2.55,0.09,prior (up 2.55)
