player_name,position,school,prev_rank,curr_rank,rank_delta_prev_minus_curr,prev_grade,curr_grade,grade_delta,athletic_delta,production_delta,prior_delta,guardrail_relief_delta,top_driver
Cole Brevard,DT,Texas Longhorns,352,135,217,69.23,77.59,8.36,0.0,0.0,12.82,7.23,prior (up 12.82)
Nolan Rucci,OT,Penn State,374,176,198,67.53,76.9,9.37,0.0,0.0,13.99,8.11,prior (up 13.99)
Kobe Baynes,IOL,Kansas Jayhawks,371,181,190,67.61,76.73,9.12,0.0,0.0,15.17,7.76,prior (up 15.17)
Jalen Stroman,S,Notre Dame Fighting Irish,261,74,187,73.22,79.3,6.08,0.0,0.0,10.08,5.1,prior (up 10.08)
Trey Moore,LB,Texas Longhorns,295,114,181,71.66,78.16,6.5,0.0,0.0,10.15,5.58,prior (up 10.15)
George Gumbs Jr.,EDGE,Florida Gators,367,189,178,67.9,76.64,8.74,0.0,0.0,14.12,7.41,prior (up 14.12)
Jalen Walthall,WR,Incarnate Word,438,266,172,63.96,74.72,10.76,0.0,0.0,35.76,7.65,prior (up 35.76)
Isaiah Nwokobia,S,SMU Mustangs,382,214,168,67.12,76.09,8.97,0.0,0.0,14.96,7.61,prior (up 14.96)
Desmond Reid,RB,Pittsburgh Panthers,385,243,142,66.94,75.45,8.51,0.0,0.0,13.41,7.24,prior (up 13.41)
Cyrus Allen,WR,Cincinnati Bearcats,344,208,136,69.48,76.2,6.72,0.0,0.0,9.46,5.84,prior (up 9.46)
Charles Demmings,CB,Stephen F. Austin,208,76,132,75.2,79.15,3.95,0.0,0.0,35.61,0.63,prior (up 35.61)
Terion Stewart,RB,Virginia Tech Hokies,421,297,124,64.8,74.03,9.23,0.0,0.0,13.7,7.94,prior (up 13.70)
Patrick Payton,EDGE,LSU,387,267,120,66.87,74.72,7.85,0.0,0.0,3.61,7.48,guardrail_relief (up 7.48)
Jeff Caldwell,WR,Cincinnati Bearcats,247,132,115,73.84,77.67,3.83,0.0,0.0,4.39,3.41,prior (up 4.39)
