player_name,position,status,curr_watch_contrarian_score,prev_watch_contrarian_score,curr_board_rank,prev_board_rank,board_rank_change_prev_minus_curr
Austin Barber,OT,retained,90.33,90.33,134,137,3
Cole Payton,QB,retained,89.63,89.63,250,254,4
Davison Igbinosun,CB,retained,86.92,86.92,157,162,5
Jalon Kilgore,S,retained,90.56,90.56,110,114,4
Kendal Daniels,LB,retained,87.85,87.85,273,275,2
Tacario Davis,CB,retained,86.79,86.79,159,163,4
