queue_rank,consensus_rank,player_name,position,school,final_grade,consensus_board_mean_rank,market_gap,priority_score,tuning_priority_score,tuning_lane,recommended_actions,audit_flags,athletic_metric_coverage_rate,film_trait_coverage,cfb_prod_reliability,best_team_fit
26,29,David Bailey,EDGE,Texas Tech,88.19,14.18,-14.82,3.876,5.732,film + disagreement,fill testing; add film traits; add age data; audit model-vs-market gap,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.4545,0.0,0.82,MIN
27,12,Arvell Reese,LB,Ohio State,92.39,3.5,-8.5,4.48,5.575,testing + film,fill testing; add film traits; add age data,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.2727,0.0,0.9,TB
28,11,Mansoor Delane,CB,LSU,92.46,14.0,3.0,4.909,5.549,testing + film,fill testing; add film traits; add age data,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.1818,0.0,0.77,MIN
29,8,Caleb Downs,S,Ohio State,92.88,4.14,-3.86,4.871,5.535,testing + film,fill testing; add film traits; add age data,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.1818,0.0,0.82,CLE
30,7,Jordyn Tyson,WR,Arizona State,93.37,14.75,7.75,4.555,5.515,testing + film,fill testing; add film traits; add age data,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.2727,0.0,0.8,MIA
31,27,C.J. Allen,LB,Georgia,89.64,26.62,-0.38,4.841,5.511,testing + film,fill testing; add film traits; add age data,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.1818,0.0,0.86,CLE
32,19,Dillon Thieneman,S,Oregon,89.86,36.2,17.2,3.544,5.44,film + disagreement,fill testing; add film traits; add age data; audit model-vs-market gap,film_traits_missing,0.5455,0.0,0.82,CIN
33,10,Cashius Howell,EDGE,Texas A&M Aggies,92.55,24.14,14.14,3.876,5.392,film + disagreement,fill testing; add film traits; add age data; audit model-vs-market gap,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.4545,0.0,0.82,PHI
34,20,Colton Hood,CB,Tennessee,90.78,31.86,11.86,3.876,5.36,film + disagreement,fill testing; add film traits; add age data; audit model-vs-market gap,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.4545,0.0,0.82,CIN
35,14,Makai Lemon,WR,USC Trojans,91.59,13.86,-0.14,4.886,5.342,testing + film,fill testing; add film traits; add age data,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.1818,0.0,0.8,CAR
36,50,Chris Johnson,CB,San Diego State,85.6,63.0,13.0,3.212,5.237,film + disagreement,add film traits; add age data; audit model-vs-market gap,film_traits_missing,0.6364,0.0,0.82,JAX
37,43,Max Iheanachor,OT,Arizona State,86.76,38.0,-5.0,3.928,5.208,testing + film,fill testing; add film traits; add age data,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.4545,0.0,0.75,CIN
38,33,Brandon Cisse,CB,South Carolina Gamecocks,88.63,36.0,3.0,4.208,5.178,testing + film,fill testing; add film traits; add age data,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.3636,0.0,0.82,KC
39,13,Keldric Faulk,EDGE,Auburn,92.1,18.62,5.62,4.208,5.088,testing + film,fill testing; add film traits; add age data,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.3636,0.0,0.82,DAL
40,4,Jeremiyah Love,RB,Notre Dame,93.87,7.0,3.0,4.54,5.075,testing + film,fill testing; add film traits; add age data,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.2727,0.0,0.82,NYJ
41,24,Caleb Banks,DT,Florida Gators,90.46,30.57,6.57,3.936,5.057,testing + film,fill testing; add film traits; add age data,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.4545,0.0,0.74,HOU
42,35,T.J. Parker,EDGE,Clemson,88.33,30.88,-4.12,3.876,4.966,testing + film,fill testing; add film traits; add age data,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.4545,0.0,0.82,KC
43,18,Olaivavega Ioane,IOL,Penn State,91.31,16.4,-1.6,4.26,4.893,testing + film,fill testing; add film traits; add age data,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.3636,0.0,0.75,HOU
44,25,Denzel Boston,WR,Washington,89.82,24.25,-0.75,4.223,4.893,testing + film,fill testing; add film traits; add age data,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.3636,0.0,0.8,CLE
45,48,Jalen Farmer,IOL,Kentucky,85.83,,,3.928,4.883,testing + film,fill testing; add film traits; add age data,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,0.4545,0.0,0.75,MIA
46,28,Spencer Fano,OT,Utah,88.98,19.56,-8.44,3.265,4.595,film-first,add film traits; add age data,film_traits_missing,0.6364,0.0,0.75,CLE
47,38,Anthony Hill Jr.,LB,Texas Longhorns,87.8,41.17,3.17,3.484,4.543,testing + film,fill testing; add film traits; add age data,film_traits_missing,0.5455,0.0,0.9,ATL
48,39,Jake Golday,LB,Cincinnati Bearcats,87.1,43.5,4.5,3.152,4.332,film-first,add film traits; add age data,film_traits_missing,0.6364,0.0,0.9,ARI
49,23,Kenyon Sadiq,TE,Oregon,90.03,24.57,1.57,3.559,4.265,testing + film,fill testing; add film traits; add age data,film_traits_missing,0.5455,0.0,0.8,LAC
50,1,Sonny Styles,LB,Ohio State,94.32,9.25,8.25,3.152,4.062,film-first,add film traits; add age data,film_traits_missing,0.6364,0.0,0.9,JAX
