pff_rank,pff_player,pff_position,pff_school,match_type,board_player,board_position,board_school,board_rank_seed,board_final_rank,board_grade,pff_grade
59,Skyler Bell,WR,Connecticut,exact,Skyler Bell,WR,Connecticut Huskies,85,,85.3,81.6
60,Treydan Stukes,CB,Arizona,exact,Treydan Stukes,CB,Arizona Wildcats,278,,74.28,90.1
61,Joshua Josephs,ED,Tennessee,name_only,Joshua Josephs,EDGE,Tennessee Volunteers,68,,79.94,87.1
62,Caleb Tiernan,T,Northwestern,exact,Caleb Tiernan,OT,Northwestern Wildcats,61,,84.64,70.5
63,Derrick Moore,ED,Michigan,name_only,Derrick Moore,EDGE,Michigan,172,,80.65,89.9
64,Chris Brazzell II,WR,Tennessee,exact,Chris Brazzell II,WR,Tennessee Volunteers,81,,84.45,79.4
65,Josiah Trotter,LB,Missouri,exact,Josiah Trotter,LB,Missouri Tigers,67,,85.99,72.7
66,Dani Dennis-Sutton,ED,Penn State,name_only,Dani Dennis-Sutton,EDGE,Penn State Nittany Lions,94,,85.36,80.1
67,Davison Igbinosun,CB,Ohio State,exact,Davison Igbinosun,CB,Ohio State,51,,78.17,81.5
68,Kyle Louis,LB,Pittsburgh,exact,Kyle Louis,LB,Pittsburgh Panthers,160,,78.8,73.1
69,Kamari Ramsey,S,USC,exact,Kamari Ramsey,S,USC Trojans,69,,76.72,72.5
70,Mike Washington Jr.,HB,Arkansas,exact,Mike Washington Jr.,RB,Arkansas Razorbacks,142,,79.9,78.3
71,Domonique Orange,DI,Iowa State,name_only,Domonique Orange,DT,Iowa State Cyclones,72,,82.8,68.3
72,Elijah Sarratt,WR,Indiana,exact,Elijah Sarratt,WR,Indiana Hoosiers,73,,82.74,86.1
73,Sam Hecht,C,Kansas State,exact,Sam Hecht,IOL,Kansas State Wildcats,98,,80.31,80.3
74,Zachariah Branch,WR,Georgia,exact,Zachariah Branch,WR,Georgia,266,,82.01,82.0
75,Max Klare,TE,Ohio State,name_pos,Max Klare,TE,Purdue,300,,78.26,69.3
76,Romello Height,ED,Texas Tech,name_only,Romello Height,EDGE,Texas Tech Red Raiders,59,,84.08,92.5
77,Deion Burks,WR,Oklahoma,name_pos,Deion Burks,WR,Oklahoma Sooners,92,,83.37,64.1
78,Darrell Jackson Jr.,DI,Florida State,name_only,Darrell Jackson Jr.,DT,Florida State,7,,82.35,74.4
79,Chandler Rivers,CB,Duke,exact,Chandler Rivers,CB,Duke,52,,83.26,79.2
80,Gracen Halton,DI,Oklahoma,name_only,Gracen Halton,DT,Oklahoma Sooners,118,,78.8,84.7
81,Devin Moore,CB,Florida,exact,Devin Moore,CB,Florida,92,,76.1,83.0
82,Sam Roush,TE,Stanford,exact,Sam Roush,TE,Stanford Cardinal,105,,79.59,57.1
84,Daylen Everette,CB,Georgia,exact,Daylen Everette,CB,Georgia,48,,85.58,69.7
85,Keyron Crawford,ED,Auburn,name_only,Keyron Crawford,EDGE,Auburn Tigers,300,,70.91,76.3
86,Connor Lew,C,Auburn,exact,Connor Lew,IOL,Auburn Tigers,71,,79.83,67.6
87,Keylan Rutledge,G,Georgia Tech,name_pos,Keylan Rutledge,IOL,Georgia Tech Yellow Jackets,134,,78.98,76.7
88,Garrett Nussmeier,QB,LSU,exact,Garrett Nussmeier,QB,LSU,58,,78.58,77.1
89,Genesis Smith,S,Arizona,exact,Genesis Smith,S,Arizona Wildcats,108,,80.57,81.1
90,Jake Slaughter,C,Florida,exact,Jake Slaughter,IOL,Florida,129,,82.36,79.3
91,Drew Allar,QB,Penn State,exact,Drew Allar,QB,Penn State,62,,77.54,72.4
92,Anthony Hill Jr.,LB,Texas,exact,Anthony Hill Jr.,LB,Texas Longhorns,48,,88.45,72.8
