player_name,position,school,prev_rank,curr_rank,rank_delta_prev_minus_curr,prev_grade,curr_grade,grade_delta,athletic_delta,production_delta,prior_delta,guardrail_relief_delta,top_driver
George Gumbs Jr.,EDGE,Florida Gators,225,192,33,71.36,74.45,3.09,0.0,0.0,7.41,2.56,prior (up 7.41)
Jordan Hudson,WR,SMU,211,187,24,72.59,74.66,2.07,0.0,0.0,3.82,1.79,prior (up 3.82)
Le'Veon Moss,RB,Texas A&M,146,124,22,78.4,79.4,1.0,0.0,0.0,3.84,0.72,prior (up 3.84)
DeMonte Capehart,DT,Clemson Tigers,139,123,16,77.64,78.64,1.0,0.0,0.0,1.62,0.85,prior (up 1.62)
DJ Campbell,IOL,Texas Longhorns,166,151,15,76.47,77.47,1.0,0.0,0.0,0.64,0.97,guardrail_relief (up 0.97)
Keylan Rutledge,IOL,Georgia Tech Yellow Jackets,123,110,13,78.59,78.98,0.39,0.0,0.0,0.88,0.0,prior (up 0.88)
Lake McRee,TE,USC Trojans,236,223,13,69.53,71.23,1.7,0.0,0.0,3.36,1.45,prior (up 3.36)
Dontay Corleone,DT,Cincinnati Bearcats,74,66,8,81.66,82.47,0.81,0.0,0.0,-0.25,0.83,guardrail_relief (up 0.83)
Fa'alili Fa'amoe,OT,Wake Forest Demon Deacons,220,212,8,71.39,72.07,0.68,0.0,0.0,1.06,0.61,prior (up 1.06)
Eli Heidenreich,RB,Navy Midshipmen,173,166,7,75.95,76.27,0.32,0.0,0.0,0.96,0.25,prior (up 0.96)
Germie Bernard,WR,Alabama,99,93,6,78.58,78.87,0.29,0.0,0.0,0.09,0.14,guardrail_relief (up 0.14)
Connor Lew,IOL,Auburn Tigers,100,94,6,79.8,79.83,0.03,0.0,0.0,0.08,0.02,prior (up 0.08)
Demond Claiborne,RB,Wake Forest,101,95,6,80.02,80.1,0.08,0.0,0.0,0.47,0.04,prior (up 0.47)
Dani Dennis-Sutton,EDGE,Penn State Nittany Lions,48,43,5,84.64,85.19,0.55,0.0,0.0,0.61,0.51,prior (up 0.61)
Drew Allar,QB,Penn State,149,144,5,77.54,77.54,0.0,0.0,0.0,0.48,-0.03,prior (up 0.48)
Ar'maj Reed-Adams,IOL,Texas A&M,152,147,5,77.47,77.47,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Parker Brailsford,IOL,Alabama,153,148,5,77.47,77.47,0.0,0.0,0.0,-0.09,0.01,prior (down 0.09)
Jager Burton,IOL,Kentucky Wildcats,154,149,5,77.47,77.47,0.0,0.0,0.0,0.14,0.0,prior (up 0.14)
Max Iheanachor,OT,Arizona State Sun Devils,78,74,4,81.29,81.56,0.27,0.0,0.0,0.24,0.25,guardrail_relief (up 0.25)
Bud Clark,S,TCU Horned Frogs,92,88,4,80.07,80.07,0.0,0.0,0.0,-0.07,0.0,prior (down 0.07)
Mike Washington Jr.,RB,Arkansas Razorbacks,93,89,4,79.9,79.9,0.0,0.0,0.0,0.19,-0.01,prior (up 0.19)
Ted Hurst,WR,Georgia State Panthers,94,90,4,79.67,79.67,0.0,0.0,0.0,-0.35,0.02,prior (down 0.35)
Kaytron Allen,RB,Penn State Nittany Lions,95,91,4,79.9,79.9,0.0,0.0,0.0,0.13,-0.01,prior (up 0.13)
Tacario Davis,CB,Washington,96,92,4,80.17,80.17,0.0,0.0,0.0,1.43,-0.1,prior (up 1.43)
Albert Regis,DT,Texas A&M Aggies,147,143,4,77.64,77.64,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Trey Zuhn III,IOL,Texas A&M,150,146,4,77.47,77.47,0.0,0.0,0.0,-0.17,0.01,prior (down 0.17)
Josh Cuevas,TE,Alabama Crimson Tide,177,173,4,75.74,76.01,0.27,0.0,0.0,1.05,0.2,prior (up 1.05)
Jalon Kilgore,S,South Carolina,80,77,3,82.07,82.07,0.0,0.0,0.0,0.71,-0.06,prior (up 0.71)
Genesis Smith,S,Arizona Wildcats,85,82,3,80.57,80.57,0.0,0.0,0.0,0.27,-0.02,prior (up 0.27)
Jaishawn Barham,LB,Michigan,86,83,3,80.38,80.38,0.0,0.0,0.0,0.02,0.0,prior (up 0.02)
Gennings Dunker,OT,Iowa Hawkeyes,87,84,3,80.49,80.5,0.01,0.0,0.0,0.03,0.01,prior (up 0.03)
Austin Barber,OT,Florida,88,85,3,81.27,81.27,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Sam Hecht,IOL,Kansas State Wildcats,89,86,3,80.3,80.31,0.01,0.0,0.0,0.4,-0.02,prior (up 0.40)
Harold Perkins Jr.,LB,LSU,90,87,3,80.88,80.88,0.0,0.0,0.0,-0.14,0.01,prior (down 0.14)
Sam Roush,TE,Stanford Cardinal,102,99,3,79.59,79.59,0.0,0.0,0.0,-0.1,0.0,prior (down 0.10)
De'Zhaun Stribling,WR,Mississippi Rebels,144,141,3,77.67,77.67,0.0,0.0,0.0,0.68,-0.05,prior (up 0.68)
Keagen Trost,OT,Missouri,145,142,3,77.77,77.77,0.0,0.0,0.0,0.26,-0.02,prior (up 0.26)
Skyler Gill-Howard,DT,Texas Tech Red Raiders,148,145,3,77.53,77.53,0.0,0.0,0.0,-0.2,0.02,prior (down 0.20)
Cade Klubnik,QB,Clemson,155,152,3,77.54,77.54,0.0,0.0,0.0,-0.31,-0.24,prior (down 0.31)
Brenen Thompson,WR,Mississippi State Bulldogs,156,153,3,77.11,77.13,0.02,0.0,0.0,0.29,0.0,prior (up 0.29)
Roman Hemby,RB,Indiana,157,154,3,78.4,78.4,0.0,0.0,0.0,-0.56,0.04,prior (down 0.56)
Logan Jones,IOL,Iowa Hawkeyes,158,155,3,76.9,76.99,0.09,0.0,0.0,1.2,0.0,prior (up 1.20)
Joe Royer,TE,Cincinnati Bearcats,160,157,3,77.05,77.07,0.02,0.0,0.0,0.29,0.0,prior (up 0.29)
Dallen Bentley,TE,Utah Utes,185,182,3,74.8,74.89,0.09,0.0,0.0,0.26,0.07,prior (up 0.26)
Desmond Reid,RB,Pittsburgh Panthers,186,183,3,74.84,74.89,0.05,0.0,0.0,0.16,0.03,prior (up 0.16)
