2026 BIG BOARD (FINAL RANK)

 70. Nicholas Singleton | RB | Penn State | Grade 79.34 | final_rank=70 | seed=32
 71. Takye Heath | CB | Georgia Tech | Grade 79.34 | final_rank=71 | seed=42
 72. Chris Johnson | CB | San Diego State Aztecs | Grade 79.32 | final_rank=72 | seed=63
 73. De'Zhaun Stribling | WR | Mississippi Rebels | Grade 79.32 | final_rank=73 | seed=110
 74. Jalen Stroman | S | Notre Dame Fighting Irish | Grade 79.3 | final_rank=74 | seed=135
 75. Eugene Brooks III | IOL | Oklahoma | Grade 79.15 | final_rank=75 | seed=38
 76. Charles Demmings | CB | Stephen F. Austin | Grade 79.15 | final_rank=76 | seed=38
 77. Aamil Wagner | OT | Notre Dame | Grade 79.13 | final_rank=77 | seed=44
 78. Aiden Fisher | LB | Indiana Hoosiers | Grade 79.06 | final_rank=78 | seed=132
 79. Brady Latham | IOL | Arkansas | Grade 79.04 | final_rank=79 | seed=147
 80. Jermayne Lole | DT | Louisville | Grade 79.02 | final_rank=80 | seed=120
 81. Jonah Coleman | RB | Washington Huskies | Grade 78.94 | final_rank=81 | seed=84
 82. Seth McGowan | RB | Kentucky Wildcats | Grade 78.9 | final_rank=82 | seed=99
 83. Eli Raridon | TE | Notre Dame | Grade 78.87 | final_rank=83 | seed=294
 84. Evan Stewart | WR | Oregon | Grade 78.82 | final_rank=84 | seed=46
 85. Christian Thomas | LB | Maine | Grade 78.8 | final_rank=85 | seed=38
 86. Isaiah World | OT | Oregon | Grade 78.79 | final_rank=86 | seed=15
 87. Harold Perkins Jr. | LB | LSU | Grade 78.79 | final_rank=87 | seed=18
 88. Sam Roush | TE | Stanford Cardinal | Grade 78.79 | final_rank=88 | seed=105
 89. Chandler Rivers | CB | Duke | Grade 78.69 | final_rank=89 | seed=52
 90. David Oke | DT | Arkansas Razorbacks | Grade 78.68 | final_rank=90 | seed=144
 91. Albert Regis | DT | Texas A&M Aggies | Grade 78.66 | final_rank=91 | seed=121
 92. Kevin Concepcion | WR | Texas A&M | Grade 78.65 | final_rank=92 | seed=31
 93. Xavier Scott | CB | Illinois Fighting Illini | Grade 78.59 | final_rank=93 | seed=107
 94. Domonique Orange | DT | Iowa State Cyclones | Grade 78.54 | final_rank=94 | seed=72
 95. Thaddeus Dixon | CB | North Carolina Tar Heels | Grade 78.54 | final_rank=95 | seed=128
 96. Derrick Moore | EDGE | Michigan | Grade 78.54 | final_rank=96 | seed=172
 97. Justice Boone | RB | Colorado | Grade 78.51 | final_rank=97 | seed=75
