2026 Big Board (Numerical Order by Formula Grade)

 85. Bryce Lovett | IOL | NC State | grade=75.35 | round=Round 5-6
 86. Tanner Koziol | TE | Houston | grade=75.35 | round=Round 5-6
 87. Parker Brailsford | IOL | Alabama | grade=75.32 | round=Round 5-6
 88. Darris Smith | EDGE | LSU | grade=75.29 | round=Round 5-6
 89. Jeremiah Alexander | EDGE | Alabama | grade=75.28 | round=Round 5-6
 90. Brady Latham | IOL | Arkansas | grade=75.16 | round=Round 5-6
 91. Joe Crocker Jr. | IOL | Auburn | grade=75.11 | round=Round 5-6
 92. Tre Williams | DT | Clemson | grade=75.11 | round=Round 5-6
 93. Zane Durant | DT | Penn State | grade=74.93 | round=Round 5-6
 94. Domata Peko Jr. | DT | UCLA | grade=74.93 | round=Round 5-6
 95. Eli Raridon | TE | Notre Dame | grade=74.93 | round=Round 5-6
 96. Isaac Smith | S | Mississippi State | grade=74.76 | round=Round 5-6
 97. Jalyn Phillips | S | Georgia | grade=74.66 | round=Round 5-6
 98. Keon Sabb | S | Alabama | grade=74.64 | round=Round 5-6
 99. Branson Combs | S | Wake Forest | grade=74.58 | round=Round 5-6
100. Keon Wylie | S | Texas Tech | grade=74.52 | round=Round 5-6
101. Dakaari Nelson | S | Penn State | grade=74.51 | round=Round 5-6
102. Jeremiah Wilson | CB | Florida State | grade=74.44 | round=Round 5-6
103. Ashton Stamps | CB | LSU | grade=74.39 | round=Round 5-6
104. Ricardo Jones Jr. | CB | Purdue | grade=74.31 | round=Round 5-6
105. Tyreak Chappell | CB | South Carolina | grade=74.29 | round=Round 5-6
106. Samari Matthews | CB | Texas A&M | grade=74.24 | round=Round 5-6
107. Xavier Nwankpa | S | Iowa | grade=74.15 | round=Round 5-6
108. Treyveon McGee | CB | Georgia | grade=74.11 | round=Round 5-6
109. Lorenzo Styles Jr. | CB | Ohio State | grade=74.1 | round=Round 5-6
110. Jordan Shaw | CB | Washington | grade=74.08 | round=Round 5-6
111. Jaydn Ott | RB | Oklahoma | grade=74.07 | round=Round 5-6
112. Denairius Gray | CB | Florida | grade=74.03 | round=Round 5-6
113. Toriano Pride Jr. | CB | Missouri | grade=74.01 | round=Round 5-6
114. Kani Walker | CB | Oregon | grade=74.0 | round=Round 5-6
115. Ja'Keem Jackson | CB | Florida | grade=73.93 | round=Round 5-6
116. Fernando Carmona | OT | Arkansas | grade=73.92 | round=Round 5-6
117. Tyler Collins | CB | Mississippi State | grade=73.77 | round=Round 5-6
118. Barion Brown | WR | LSU | grade=73.75 | round=Round 5-6
119. Ethan Onianwa | OT | Ohio State | grade=73.69 | round=Round 5-6
120. Isaiah Paul | LB | Baylor | grade=73.67 | round=Round 5-6
121. Raesjon Davis | LB | USC | grade=73.59 | round=Round 5-6
122. Dane Key | WR | Georgia | grade=73.57 | round=Round 5-6
123. Martavius French | LB | Tennessee | grade=73.56 | round=Round 5-6
124. Shedrick Shropshire | LB | TCU | grade=73.53 | round=Round 5-6
125. Ernest Hausmann | LB | Michigan | grade=73.51 | round=Round 5-6
126. Tysheem Johnson | LB | Oregon | grade=73.48 | round=Round 5-6
127. Popo Aumavae | LB | Oregon | grade=73.39 | round=Round 5-6
128. Isaiah Sategna | WR | Arkansas | grade=73.09 | round=Round 5-6
129. Johntay Cook | WR | Texas | grade=73.07 | round=Round 5-6
130. Bryce Foster | IOL | Kansas | grade=73.04 | round=Round 5-6
131. Gunner Stockton | QB | Georgia | grade=72.78 | round=Round 5-6
132. Keeshawn Silver | DT | USC | grade=72.67 | round=Round 5-6
133. Nic Anderson | WR | Oklahoma | grade=72.67 | round=Round 5-6
134. Miller Moss | QB | Louisville | grade=72.66 | round=Round 5-6
135. Jaden Rashada | QB | Sacramento State | grade=72.42 | round=Round 5-6
136. Conner Weigman | QB | Houston | grade=72.4 | round=Round 5-6
137. Holden Staes | TE | Tennessee | grade=72.39 | round=Round 5-6
138. Connor Tollison | IOL | Missouri | grade=72.27 | round=Round 5-6
139. Arlis Boardingham | TE | Florida | grade=72.27 | round=Round 5-6
140. Oscar Cardenas | TE | UTSA | grade=72.24 | round=Round 5-6
141. Jaren Kanak | LB | Oklahoma | grade=71.51 | round=Round 6-7
142. RJ Maryland | TE | SMU | grade=70.45 | round=Round 6-7
