player_name,position,status,curr_watch_contrarian_score,prev_watch_contrarian_score,curr_board_rank,prev_board_rank,board_rank_change_prev_minus_curr
Austin Barber,OT,retained,90.33,90.33,82,49,-33
Cole Payton,QB,retained,89.63,89.63,260,231,-29
Davison Igbinosun,CB,retained,86.92,86.92,114,100,-14
Jalon Kilgore,S,retained,90.56,90.56,193,127,-66
Kendal Daniels,LB,retained,87.85,87.85,340,307,-33
Tacario Davis,CB,retained,86.79,86.79,138,120,-18
