model_rank,player_name,position,school,final_grade,round_value,consensus_rank,formula_score,pick_score,best_team_fit
42,Daniel Sobkowicz,WR,Illinois State,77.36,Round 4-5,123,77.59,,CLE
43,Michael Briscoe,WR,Cal Poly,77.36,Round 4-5,124,77.59,,CLE
44,Treyvhon Saunders,WR,Colgate,77.36,Round 4-5,125,77.59,,CLE
45,Bryce Lance,WR,North Dakota State,77.32,Round 4-5,127,79.33,,CLE
46,Barika Kpeenu,RB,North Dakota State,77.01,Round 4-5,146,76.41,,DAL
47,Rodney Hammond Jr.,RB,Sacramento State,77.01,Round 4-5,147,76.41,,DAL
48,Charles Demmings,CB,Stephen F. Austin,75.2,Round 5-6,208,75.78,,JAX
49,Michael Wortham,WR,Montana,72.97,Round 5-6,263,73.95,,CLE
50,Derek Robertson,QB,Monmouth,72.88,Round 5-6,265,75.34,,LV
51,Jalen Walthall,WR,Incarnate Word,63.96,UDFA,438,71.97,,CLE
52,Christen Miller,DT,Georgia Bulldogs,81.62,Round 2-3,28,81.15,,HOU
53,C.J. Allen,LB,Georgia,81.74,Round 2-3,23,81.15,,LAR
