player_name,position,school,prev_rank,curr_rank,rank_delta_prev_minus_curr,prev_grade,curr_grade,grade_delta,athletic_delta,production_delta,prior_delta,guardrail_relief_delta,top_driver
Kenyon Sadiq,TE,Oregon,57,49,8,79.22,79.74,0.52,1.46,0.0,0.0,0.0,athletic (up 1.46)
Harold Perkins Jr.,LB,LSU,81,74,7,78.35,78.87,0.52,1.44,0.0,0.0,0.0,athletic (up 1.44)
Zachariah Branch,WR,Georgia,85,78,7,78.25,78.8,0.55,1.63,0.0,0.0,0.0,athletic (up 1.63)
Dominic Gooden,DT,Oklahoma,103,96,7,77.72,78.21,0.49,1.23,0.0,0.0,0.0,athletic (up 1.23)
Antonio Williams,WR,Clemson,193,186,7,75.47,75.99,0.52,1.37,0.0,0.0,0.0,athletic (up 1.37)
Parker Brailsford,IOL,Alabama,322,315,7,70.67,71.26,0.59,1.86,0.0,0.0,0.0,athletic (up 1.86)
Kevin Concepcion,WR,Texas A&M,58,52,6,79.15,79.69,0.54,1.53,0.0,0.0,0.0,athletic (up 1.53)
Justice Boone,RB,Colorado,93,87,6,78.03,78.52,0.49,1.2,0.0,0.0,0.0,athletic (up 1.20)
Xavier Scott,CB,Illinois Fighting Illini,105,99,6,77.68,78.13,0.45,1.02,0.0,0.0,0.0,athletic (up 1.02)
Sam Hecht,IOL,Kansas State Wildcats,149,143,6,76.59,77.05,0.46,1.06,0.0,0.0,0.0,athletic (up 1.06)
Jeremiah Alexander,EDGE,Alabama,155,149,6,76.51,77.01,0.5,1.27,0.0,0.0,0.0,athletic (up 1.27)
Evan Stewart,WR,Oregon,82,77,5,78.3,78.82,0.52,1.46,0.0,0.0,0.0,athletic (up 1.46)
Cade Klubnik,QB,Clemson,169,164,5,76.07,76.6,0.53,1.47,0.0,0.0,0.0,athletic (up 1.47)
Jeremiah Wilson,CB,Florida State,195,190,5,75.4,75.93,0.53,1.49,0.0,0.0,0.0,athletic (up 1.49)
Connor Lew,IOL,Auburn Tigers,214,209,5,74.85,75.31,0.46,1.06,0.0,0.0,0.0,athletic (up 1.06)
Olaivavega Ioane,IOL,Penn State Nittany Lions,25,21,4,81.05,81.52,0.47,1.06,0.0,0.0,0.0,athletic (up 1.06)
Avieon Terrell,CB,Clemson,41,37,4,80.11,80.62,0.51,1.39,0.0,0.0,0.0,athletic (up 1.39)
Jonah Coleman,RB,Washington Huskies,77,73,4,78.5,78.93,0.43,0.8,0.0,0.0,0.0,athletic (up 0.80)
Chris Brazzell II,WR,Tennessee Volunteers,79,75,4,78.46,78.87,0.41,0.77,0.0,0.0,0.0,athletic (up 0.77)
Eric Singleton Jr.,WR,Auburn,107,103,4,77.64,78.05,0.41,0.77,0.0,0.0,0.0,athletic (up 0.77)
Emmett Johnson,RB,Nebraska Cornhuskers,111,107,4,77.52,77.94,0.42,0.8,0.0,0.0,0.0,athletic (up 0.80)
Zakee Wheatley,S,Penn State Nittany Lions,113,109,4,77.41,77.85,0.44,0.87,0.0,0.0,0.0,athletic (up 0.87)
Tre Williams,DT,Clemson,121,117,4,77.13,77.67,0.54,1.5,0.0,0.0,0.0,athletic (up 1.50)
Daniel Sobkowicz,WR,Illinois State,132,128,4,76.96,77.38,0.42,0.77,0.0,0.0,0.0,athletic (up 0.77)
