consensus_rank,player_name,position,school,final_grade,consensus_board_mean_rank,athletic_metric_missing_count,athletic_metric_coverage_rate,film_trait_coverage,cfb_prod_reliability,best_team_fit,audit_flags,priority_score
20,Colton Hood,CB,Tennessee,90.78,31.86,6,0.4545,0.0,0.82,CIN,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,3.876
29,David Bailey,EDGE,Texas Tech,88.19,14.18,6,0.4545,0.0,0.82,MIN,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,3.876
35,T.J. Parker,EDGE,Clemson,88.33,30.88,6,0.4545,0.0,0.82,KC,athletic_coverage_thin; many_athletic_blanks; film_traits_missing,3.876
42,Brian Parker II,OT,Duke Blue Devils,86.8,99.0,5,0.5455,0.0,0.75,HOU,film_traits_missing,3.596
23,Kenyon Sadiq,TE,Oregon,90.03,24.57,5,0.5455,0.0,0.8,LAC,film_traits_missing,3.559
19,Dillon Thieneman,S,Oregon,89.86,36.2,5,0.5455,0.0,0.82,CIN,film_traits_missing,3.544
26,Dani Dennis-Sutton,EDGE,Penn State,89.65,89.0,5,0.5455,0.0,0.82,NO,film_traits_missing,3.544
38,Anthony Hill Jr.,LB,Texas Longhorns,87.8,41.17,5,0.5455,0.0,0.9,ATL,film_traits_missing,3.484
28,Spencer Fano,OT,Utah,88.98,19.56,4,0.6364,0.0,0.75,CLE,film_traits_missing,3.265
50,Chris Johnson,CB,San Diego State,85.6,63.0,4,0.6364,0.0,0.82,JAX,film_traits_missing,3.212
1,Sonny Styles,LB,Ohio State,94.32,9.25,4,0.6364,0.0,0.9,JAX,film_traits_missing,3.152
39,Jake Golday,LB,Cincinnati Bearcats,87.1,43.5,4,0.6364,0.0,0.9,ARI,film_traits_missing,3.152
44,Sam Roush,TE,Stanford,86.15,101.0,3,0.7273,0.0,0.8,CHI,film_traits_missing,2.895
