snapshot_date,source,source_url,pick,source_rank_pct,team,player_name,position,school
2026-03-04,bleacher_report,https://bleacherreport.com/articles/25401705-2026-nfl-mock-draft-post-combine-predictions-br-nfl-draft-scouting-dept,31,0.032258,New England Patriots,Chris Brazzell II,WR,Tennessee
2026-03-04,bleacher_report,https://bleacherreport.com/articles/25401705-2026-nfl-mock-draft-post-combine-predictions-br-nfl-draft-scouting-dept,32,0.0,Seattle Seahawks,Malachi Fields,WR,Notre Dame
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,1,1.0,Las Vegas Raiders,Fernando Mendoza,QB,Indiana
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,2,0.967742,New York Jets,Arvell Reese,EDGE,Ohio State
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,3,0.935484,Arizona Cardinals,Francis Mauigoa,OT,Miami
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,4,0.903226,Tennessee Titans,Jeremiyah Love,RB,Notre Dame
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,5,0.870968,New York Giants,Sonny Styles,LB,Ohio State
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,6,0.83871,Cleveland Browns,Spencer Fano,OL,Utah
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,7,0.806452,Washington Commanders,David Bailey,EDGE,Texas Tech
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,8,0.774194,New Orleans Saints,Carnell Tate,WR,Ohio State
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,9,0.741935,Kansas City Chiefs,Rueben Bain Jr.,EDGE,Miami
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,10,0.709677,Cincinnati Bengals,Caleb Downs,S,Ohio State
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,11,0.677419,Miami Dolphins,Monroe Freeling,OT,Georgia
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,12,0.645161,Dallas Cowboys,Mansoor Delane,CB,LSU
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,13,0.612903,Los Angeles Rams (from ATL),Avieon Terrell,CB,Clemson
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,14,0.580645,Baltimore Ravens,Vega Ioane,IOL,Penn State
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,15,0.548387,Tampa Bay Buccaneers,Kenyon Sadiq,TE,Oregon
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,16,0.516129,New York Jets (from IND),Makai Lemon,WR,USC
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,17,0.483871,Detroit Lions,Kadyn Proctor,OT/G,Alabama
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,18,0.451613,Minnesota Vikings,Dillon Thieneman,S,Oregon
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,19,0.419355,Carolina Panthers,Akheem Mesidor,EDGE,Miami
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,20,0.387097,Dallas Cowboys (from GB),Keldric Faulk,EDGE,Auburn
