player_name,position,school,match_status,match_confidence,matched_ras,matched_year,matched_position,matched_school,source_url
Kyle Altuner,OT,Iowa,unmatched,0,,,,,
Ethan Onianwa,OT,Ohio State,unmatched,0,,,,,
Spencer Fano,OT,Utah,kept_existing,7,9.76,2026,OT,Utah,https://ras.football/ras-information/?PlayerID=29992&ovl=Combine
Jordan Seaton,OT,Colorado,unmatched,0,,,,,
Caden Proctor,OT,Alabama,unmatched,0,,,,,
Earnest Greene III,OT,Georgia,unmatched,0,,,,,
Kevon O'Donnell,OT,Wake Forest,unmatched,0,,,,,
Evan Link,OT,Michigan,unmatched,0,,,,,
Hollin Pierce,OT,Rutgers,unmatched,0,,,,,
Fernando Carmona,OT,Arkansas,unmatched,0,,,,,
Jermayne Lole,DT,Louisville,unmatched,0,,,,,
Daniel Calhoun,OT,Texas,unmatched,0,,,,,
Xavier Chaplin,OT,Auburn,unmatched,0,,,,,
Chase Bisontis,IOL,Texas A&M,kept_existing,7,9.84,2026,IOL,Texas A&M,https://ras.football/ras-information/?PlayerID=29975&ovl=Combine
Bryce Foster,IOL,Kansas,unmatched,0,,,,,
Jaeden Roberts,IOL,Alabama,unmatched,0,,,,,
Ar'maj Reed-Adams,IOL,Texas A&M,kept_existing,7,7.94,2026,IOL,Texas A&M,https://ras.football/ras-information/?PlayerID=30012&ovl=Combine
Tanner Miller,IOL,Michigan,added,6,4.81,2025,IOL,Michigan State,https://ras.football/ras-information/?PlayerID=28085
Parker Brailsford,IOL,Alabama,kept_existing,7,8.47,2026,IOL,Alabama,https://ras.football/ras-information/?PlayerID=29977&ovl=Combine
Jake Slaughter,IOL,Florida,kept_existing,7,9.91,2026,IOL,Florida,https://ras.football/ras-information/?PlayerID=30017&ovl=Combine
Cayden Green,IOL,Missouri,unmatched,0,,,,,
Tyler Mercer,IOL,Louisville,unmatched,0,,,,,
Addison Nichols,IOL,Arkansas,unmatched,0,,,,,
Timothy McKay,IOL,NC State,unmatched,0,,,,,
Bryce Lovett,IOL,NC State,unmatched,0,,,,,
Malachi Goodman,IOL,Clemson,unmatched,0,,,,,
Gennings Dunker,IOL,Iowa,unmatched,0,,,,,
Ivan Taylor III,IOL,Iowa,unmatched,0,,,,,
Aaron Parks,IOL,Indiana,unmatched,0,,,,,
Joe Brunner,IOL,Wisconsin,unmatched,0,,,,,
Kage Casey,OT,Boise State,kept_existing,7,6.00,2026,OT,Boise State,https://ras.football/ras-information/?PlayerID=29983&ovl=Combine
C.J. Satterwhite,IOL,Clemson,unmatched,0,,,,,
Connor Tollison,IOL,Missouri,unmatched,0,,,,,
Brady Latham,IOL,Arkansas,added,6,8.77,2024,IOL,Arkansas,https://ras.football/ras-information/?PlayerID=25262
Joe Crocker Jr.,IOL,Auburn,unmatched,0,,,,,
Nolan Rucci,OT,Penn State,unmatched,0,,,,,
Colin Nova,IOL,NC State,unmatched,0,,,,,
Elijah Rushing,EDGE,Oregon,unmatched,0,,,,,
David Bailey,EDGE,Texas Tech,kept_existing,7,9.68,2026,EDGE,Texas Tech,https://ras.football/ras-information/?PlayerID=30028&ovl=Combine
Gabriel Brownlow-Dindy,DT,South Carolina,unmatched,0,,,,,
Tyre West,DT,Indiana,unmatched,0,,,,,
CJ Mims,EDGE,West Virginia,unmatched,0,,,,,
Darris Smith,EDGE,LSU,unmatched,0,,,,,
Derrick Moore,EDGE,Michigan,unmatched,0,,,,,
Xavier McLeod,DT,Georgia,unmatched,0,,,,,
Domata Peko Jr.,DT,UCLA,unmatched,0,,,,,
Jeremiah Alexander,EDGE,Alabama,unmatched,0,,,,,
Aaron Bryant,DT,Texas,unmatched,0,,,,,
Joel Starlings,DT,South Carolina,unmatched,0,,,,,
Tre Williams,DT,Clemson,unmatched,0,,,,,
Nyckoles Harbor,EDGE,South Carolina,unmatched,0,,,,,
Justice Boone,EDGE,Colorado,unmatched,0,,,,,
Devyn Bobby,S,Notre Dame,unmatched,0,,,,,
Jalyn Phillips,S,Georgia,added,4,5.71,2024,S,Clemson,https://ras.football/ras-information/?PlayerID=25385
Dillon Thieneman,S,Oregon,kept_existing,7,9.65,2026,S,Oregon,https://ras.football/ras-information/?PlayerID=30168&ovl=Combine
Winston Berglund,S,Oregon State,unmatched,0,,,,,
Isaac Smith,S,Mississippi State,unmatched,0,,,,,
Dakaari Nelson,S,Penn State,unmatched,0,,,,,
Keon Sabb,S,Alabama,unmatched,0,,,,,
Jaylen Mbakwe,S,Alabama,unmatched,0,,,,,
Branson Combs,S,Wake Forest,unmatched,0,,,,,
Keon Wylie,S,Texas Tech,unmatched,0,,,,,
KJ Bolden,S,Georgia,unmatched,0,,,,,
Jalon Daniels,S,Oklahoma,unmatched,0,,,,,
AJ Harris,CB,Penn State,unmatched,0,,,,,
Ricardo Jones Jr.,CB,Purdue,unmatched,0,,,,,
Domani Jackson,CB,Alabama,unmatched,0,,,,,
Denairius Gray,CB,Florida,unmatched,0,,,,,
Samari Matthews,CB,Texas A&M,unmatched,0,,,,,
Ashton Stamps,CB,LSU,unmatched,0,,,,,
Jeremiah Wilson,CB,Florida State,unmatched,0,,,,,
Dezz Ricks,CB,Texas A&M,unmatched,0,,,,,
Tyreak Chappell,CB,South Carolina,unmatched,0,,,,,
Ja'Keem Jackson,CB,Florida,unmatched,0,,,,,
Jordan Shaw,CB,Washington,unmatched,0,,,,,
Lorenzo Styles Jr.,CB,Ohio State,kept_existing,7,9.96,2026,CB,Ohio State,https://ras.football/ras-information/?PlayerID=30165&ovl=Combine
Kani Walker,CB,Oregon,unmatched,0,,,,,
Toriano Pride Jr.,CB,Missouri,kept_existing,7,8.20,2026,CB,Missouri,https://ras.football/ras-information/?PlayerID=30155&ovl=Combine
Malik Muhammad,CB,Texas,kept_existing,7,9.45,2026,CB,Texas,https://ras.football/ras-information/?PlayerID=30150&ovl=Combine
Treyveon McGee,CB,Georgia,unmatched,0,,,,,
Tyler Collins,CB,Mississippi State,unmatched,0,,,,,
Isaiah Paul,LB,Baylor,added,5,5.26,2025,LB,Central Florida,https://ras.football/ras-information/?PlayerID=28721
David Bailey,LB,Texas Tech,unmatched,0,,,,,
Raesjon Davis,LB,USC,unmatched,0,,,,,
Ernest Hausmann,LB,Michigan,unmatched,0,,,,,
Martavius French,LB,Tennessee,unmatched,0,,,,,
Shedrick Shropshire,LB,TCU,unmatched,0,,,,,
Popo Aumavae,LB,Oregon,unmatched,0,,,,,
Jaren Kanak,LB,Oklahoma,unmatched,0,,,,,
Tysheem Johnson,LB,Oregon,unmatched,0,,,,,
Dane Key,WR,Georgia,unmatched,0,,,,,
Nic Anderson,WR,Oklahoma,unmatched,0,,,,,
Germie Bernard,WR,Alabama,kept_existing,7,9.04,2026,WR,Alabama,https://ras.football/ras-information/?PlayerID=29904&ovl=Combine
Zachariah Branch,WR,Georgia,kept_existing,7,8.95,2026,WR,Georgia,https://ras.football/ras-information/?PlayerID=29906&ovl=Combine
Antonio Williams,WR,Clemson,kept_existing,7,8.17,2026,WR,Clemson,https://ras.football/ras-information/?PlayerID=29942&ovl=Combine
Johntay Cook,WR,Texas,unmatched,0,,,,,
Chris Bell,WR,Louisville,unmatched,0,,,,,
Isaiah Sategna,WR,Arkansas,unmatched,0,,,,,
Tanner Koziol,TE,Houston,kept_existing,7,9.72,2026,TE,Houston,https://ras.football/ras-information/?PlayerID=29958&ovl=Combine
Holden Staes,TE,Tennessee,unmatched,0,,,,,
Arlis Boardingham,TE,Florida,unmatched,0,,,,,
Eli Raridon,TE,Notre Dame,kept_existing,7,9.66,2026,TE,Notre Dame,https://ras.football/ras-information/?PlayerID=29962&ovl=Combine
RJ Maryland,TE,SMU,kept_existing,5,8.58,2026,TE,Southern Methodist,https://ras.football/ras-information/?PlayerID=29959&ovl=Combine
Oscar Cardenas,TE,UTSA,unmatched,0,,,,,
Luke Hasz,TE,Arkansas,unmatched,0,,,,,
Max Klare,TE,Purdue,unmatched,0,,,,,
