source,snapshot_date,source_rank,player_name,school,position,source_url,report_text,cbs_rank,cbs_summary
CBS_BigBoard_2026,2026-02-26,81,Chris Johnson,San Diego State,CB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Johnson has been dominant so far this season. He's yielded all of 14 catches on 33 targets for 142 yards with three picks and four pass breakups. I love his hard-nosed play style and tackling ability with only one miss on 42 attempts.,81,Johnson has been dominant so far this season. He's yielded all of 14 catches on 33 targets for 142 yards with three picks and four pass breakups. I love his hard-nosed play style and tackling ability with only one miss on 42 attempts.
CBS_BigBoard_2026,2026-02-26,82,Terrance Carter Jr.,Texas Tech,TE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"This tight end class is full of gifted athletes after the catch and Carter is right near the top of that list. Over the past two seasons, he's broken 31 tackles on 75 receptions.",82,"This tight end class is full of gifted athletes after the catch and Carter is right near the top of that list. Over the past two seasons, he's broken 31 tackles on 75 receptions."
CBS_BigBoard_2026,2026-02-26,83,Jamel Johnson,TCU,S,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Johnson has looked like a completely different player this fall than he did in his first year as a starter. His missed-tackle rate has gone from 20.7% in 2024 to 4.1% this year (on 74 attempts) and he's gone from no picks last year to four this year.,83,Johnson has looked like a completely different player this fall than he did in his first year as a starter. His missed-tackle rate has gone from 20.7% in 2024 to 4.1% this year (on 74 attempts) and he's gone from no picks last year to four this year.
CBS_BigBoard_2026,2026-02-26,84,LT Overton,Alabama,DT,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Overton has been one of the more disappointing prospects this fall. He returned for his senior season to hopefully become a first-rounder but has taken a step backward if anything. Still, he's extremely young for a senior (turned 21 last month) and has positional versatility.",84,"Overton has been one of the more disappointing prospects this fall. He returned for his senior season to hopefully become a first-rounder but has taken a step backward if anything. Still, he's extremely young for a senior (turned 21 last month) and has positional versatility."
CBS_BigBoard_2026,2026-02-26,85,Akheem Mesidor,Miami (Fla.),EDGE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Mesidor keeps overpowering opposing offensive linemen this season. He's had an injury-plagued career but finally looks like an NFL-caliber difference maker with 28 pressures this season.,85,Mesidor keeps overpowering opposing offensive linemen this season. He's had an injury-plagued career but finally looks like an NFL-caliber difference maker with 28 pressures this season.
CBS_BigBoard_2026,2026-02-26,86,Kevin Coleman Jr.,Missouri,WR,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Coleman is a jitterbug slot receiver. He may be skinny, but defenders can rarely get their hands on him for it to matter. He also has some of the best hands in the draft class with a 3.1% career drop rate.",86,"Coleman is a jitterbug slot receiver. He may be skinny, but defenders can rarely get their hands on him for it to matter. He also has some of the best hands in the draft class with a 3.1% career drop rate."
CBS_BigBoard_2026,2026-02-26,87,Hero Kanu,Texas,DT,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Kanu is a breakout prospect with a ton of high-level reps on tape this fall in his first year as a starter. He's really shined in the run game where his ability to get off blocks has been top notch.,87,Kanu is a breakout prospect with a ton of high-level reps on tape this fall in his first year as a starter. He's really shined in the run game where his ability to get off blocks has been top notch.
CBS_BigBoard_2026,2026-02-26,88,Suntarine Perkins,Ole Miss,LB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Even if he doesn't quite play a traditional linebacker role, Perkins' ability in space as well as taking on blocks looks well suited to play the position in the NFL. You won't find too many players his size that can consistently defeat blocks the way he does.",88,"Even if he doesn't quite play a traditional linebacker role, Perkins' ability in space as well as taking on blocks looks well suited to play the position in the NFL. You won't find too many players his size that can consistently defeat blocks the way he does."
CBS_BigBoard_2026,2026-02-26,89,Jadarian Price,Notre Dame,RB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"If you've followed Notre Dame closely the past two seasons, you'd know that despite having RB1 in Jeremiyah Love, the Irish offense hasn't taken that big of a step back when Price comes in the game. He's averaged 6.1 yards per attempt the past two seasons with 15 scores on 206 carries.",89,"If you've followed Notre Dame closely the past two seasons, you'd know that despite having RB1 in Jeremiyah Love, the Irish offense hasn't taken that big of a step back when Price comes in the game. He's averaged 6.1 yards per attempt the past two seasons with 15 scores on 206 carries."
CBS_BigBoard_2026,2026-02-26,90,Jaishawn Barham,Michigan,LB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"I wrote linebacker here, but it's actually been Barham's tape off the edge of late that lands him on this list. He's ferocious coming downhill and already shown some innate feel for rushing the passer. He's a perfect hybrid linebacker for modern defenses.",90,"I wrote linebacker here, but it's actually been Barham's tape off the edge of late that lands him on this list. He's ferocious coming downhill and already shown some innate feel for rushing the passer. He's a perfect hybrid linebacker for modern defenses."
CBS_BigBoard_2026,2026-02-26,91,Chase Bisontis,Texas A&M,IOL,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Bisontis has been starting since his true freshman year for the Aggies where he's developed into one of the best pass-protecting guards in the country. He's only allowed six pressures all season.,91,Bisontis has been starting since his true freshman year for the Aggies where he's developed into one of the best pass-protecting guards in the country. He's only allowed six pressures all season.
CBS_BigBoard_2026,2026-02-26,92,Red Murdock,Buffalo,LB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Murdock stuffs the stat sheet on a weekly basis and over the weekend he made history. Murdock broke Khalil Mack's FBS forced-fumbles record with his 17th against Bowling Green . His ability to consistently punch and pry balls away from running backs will be a weapon in the league.,92,Murdock stuffs the stat sheet on a weekly basis and over the weekend he made history. Murdock broke Khalil Mack's FBS forced-fumbles record with his 17th against Bowling Green . His ability to consistently punch and pry balls away from running backs will be a weapon in the league.
CBS_BigBoard_2026,2026-02-26,93,Dontay Corleone,Cincinnati,DT,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Corleone has never quite lived up to the potential he flashed early in his career, but it's still in there somewhere. He's got bowling-ball size with 3-technique explosiveness. That can still make an impact in the league.",93,"Corleone has never quite lived up to the potential he flashed early in his career, but it's still in there somewhere. He's got bowling-ball size with 3-technique explosiveness. That can still make an impact in the league."
CBS_BigBoard_2026,2026-02-26,94,Keith Abney II,Arizona State,CB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Abney is yet another corner who plays the position the correct way for the modern NFL. He's an awesome tackler with no misses on 33 attempts this season and has been consistently competitive at the catch point throughout his career.,94,Abney is yet another corner who plays the position the correct way for the modern NFL. He's an awesome tackler with no misses on 33 attempts this season and has been consistently competitive at the catch point throughout his career.
CBS_BigBoard_2026,2026-02-26,95,Carter Smith,Indiana,IOL,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Smith has been the starting left tackle the past three seasons for the Hoosiers and seen his game improve by leaps and bounds over that time. He's been fueling one of the best ground games in America and only allowed four pressures this season.,95,Smith has been the starting left tackle the past three seasons for the Hoosiers and seen his game improve by leaps and bounds over that time. He's been fueling one of the best ground games in America and only allowed four pressures this season.
CBS_BigBoard_2026,2026-02-26,96,Jahiem Lawson,Clemson,EDGE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Lawson has been a breakout star for the Tigers and is producing almost as much as his teammate 80 spots above him on this list. He has a small frame for an edge rusher, but he uses it to his advantage by shrinking his strike zone for opposing linemen.",96,"Lawson has been a breakout star for the Tigers and is producing almost as much as his teammate 80 spots above him on this list. He has a small frame for an edge rusher, but he uses it to his advantage by shrinking his strike zone for opposing linemen."
CBS_BigBoard_2026,2026-02-26,97,Trey Zuhn III,Texas A&M,IOL,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Yet another tackle-to-guard conversion. Zuhn is already such a good pass protector at tackle that you feel confident about his ability to kick inside. He's allowed only five pressures all season at left tackle.,97,Yet another tackle-to-guard conversion. Zuhn is already such a good pass protector at tackle that you feel confident about his ability to kick inside. He's allowed only five pressures all season at left tackle.
CBS_BigBoard_2026,2026-02-26,98,AJ Harris,Penn State,CB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Harris hasn't had quite the season he was hoping for to vault him into the first-round mix, but he's still a very solid all-around corner. I love his ability in space as a tackler and could even see him as a slot or safety if he continues to bulk up.",98,"Harris hasn't had quite the season he was hoping for to vault him into the first-round mix, but he's still a very solid all-around corner. I love his ability in space as a tackler and could even see him as a slot or safety if he continues to bulk up."
CBS_BigBoard_2026,2026-02-26,99,Devin Moore,Florida,CB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"At 6-foot-3, Moore is a uniquely tall corner who thrives at the line of scrimmage. He's only allowed 10 catches for 93 yards all season in his first year as a starter.",99,"At 6-foot-3, Moore is a uniquely tall corner who thrives at the line of scrimmage. He's only allowed 10 catches for 93 yards all season in his first year as a starter."
CBS_BigBoard_2026,2026-02-26,100,Clev Lubin,Louisville,EDGE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"All Lubin has done in his two seasons of Division I football is rush the passer. He had 46 pressures last year for Coastal Carolina and now has 40 already this season for Louisville. He's not going to be much more than a third-down guy, but he could be effective at that still.",100,"All Lubin has done in his two seasons of Division I football is rush the passer. He had 46 pressures last year for Coastal Carolina and now has 40 already this season for Louisville. He's not going to be much more than a third-down guy, but he could be effective at that still."
