source,snapshot_date,source_rank,player_name,school,position,source_url,report_text,cbs_rank,cbs_summary
CBS_BigBoard_2026,2026-02-26,22,Emmanuel Pregnon,Oregon,IOL,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Pregnon has been lights-out all season for the Ducks after transferring from USC. He has allowed only two pressures after yielding 18 a year ago. You won't find many offensive linemen as physically put together as Pregnon.,22,Pregnon has been lights-out all season for the Ducks after transferring from USC. He has allowed only two pressures after yielding 18 a year ago. You won't find many offensive linemen as physically put together as Pregnon.
CBS_BigBoard_2026,2026-02-26,23,Matayo Uiagalelei,Oregon,EDGE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"One of the youngest players in the class, Uiagalelei won't turn 21 until next summer. The former five-star recruit has improved every year and already has 25 pressures this season.",23,"One of the youngest players in the class, Uiagalelei won't turn 21 until next summer. The former five-star recruit has improved every year and already has 25 pressures this season."
CBS_BigBoard_2026,2026-02-26,24,CJ Allen,Georgia,LB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Allen is an enforcer at the second level. Despite relatively modest size, he consistently sends offensive linemen backward. He also rarely misses tackles, with just a 6.8% career miss rate.",24,"Allen is an enforcer at the second level. Despite relatively modest size, he consistently sends offensive linemen backward. He also rarely misses tackles, with just a 6.8% career miss rate."
CBS_BigBoard_2026,2026-02-26,25,Cashius Howell,Texas A&M,EDGE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Howell is the best pure pass rusher in the class with a full array of moves. The only thing holding him back from being a sure-fire first-rounder is his lack of size and length.,25,Howell is the best pure pass rusher in the class with a full array of moves. The only thing holding him back from being a sure-fire first-rounder is his lack of size and length.
CBS_BigBoard_2026,2026-02-26,26,David Bailey,Texas Tech,EDGE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Bailey has elite juice off the edge. He's racked up more pressures and sacks than anyone in college football this season. While he's still a little too reliant on raw athleticism, he has shown real development in the run game this year.",26,"Bailey has elite juice off the edge. He's racked up more pressures and sacks than anyone in college football this season. While he's still a little too reliant on raw athleticism, he has shown real development in the run game this year."
CBS_BigBoard_2026,2026-02-26,27,Max Klare,Ohio State,TE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Klare's production has suffered with so many mouths to feed in the Buckeyes' offense, but the tape still shows the best route-running tight end in the class. He has a natural feel for separating, even if he has only 210 yards this season.",27,"Klare's production has suffered with so many mouths to feed in the Buckeyes' offense, but the tape still shows the best route-running tight end in the class. He has a natural feel for separating, even if he has only 210 yards this season."
CBS_BigBoard_2026,2026-02-26,28,Jake Golday,Cincinnati,LB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Golday has the rare combination of edge-rusher size and safety-level athleticism. He can do it all at the second level.,28,Golday has the rare combination of edge-rusher size and safety-level athleticism. He can do it all at the second level.
CBS_BigBoard_2026,2026-02-26,29,Joshua Josephs,Tennessee,EDGE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Josephs is a long-armed edge rusher who wins with length. He may be on the lighter side, but he can still set a firm edge. He's thriving with a career-high 26 pressures this season.",29,"Josephs is a long-armed edge rusher who wins with length. He may be on the lighter side, but he can still set a firm edge. He's thriving with a career-high 26 pressures this season."
CBS_BigBoard_2026,2026-02-26,30,Sonny Styles,Ohio State,LB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Styles is a former safety who kept getting bigger -- and somehow more athletic. His sideline-to-sideline speed is the best in the class.,30,Styles is a former safety who kept getting bigger -- and somehow more athletic. His sideline-to-sideline speed is the best in the class.
CBS_BigBoard_2026,2026-02-26,31,Trevor Goosby,Texas,OT,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Goosby has a more prototypical tackle build and athletic profile than either of the Longhorns' tackles drafted last spring. He moves well and can get out in space. He's still raw in his first year as a starter, but a weaker tackle class may push him to declare early.",31,"Goosby has a more prototypical tackle build and athletic profile than either of the Longhorns' tackles drafted last spring. He moves well and can get out in space. He's still raw in his first year as a starter, but a weaker tackle class may push him to declare early."
CBS_BigBoard_2026,2026-02-26,32,Eric Singleton Jr.,Auburn,WR,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Singleton didn't land in the most favorable quarterback situation after transferring from Georgia Tech , but the tape still shows an explosive all-around athlete. His deep-threat ability has been muted with only a 5.6-yard average depth of target.",32,"Singleton didn't land in the most favorable quarterback situation after transferring from Georgia Tech , but the tape still shows an explosive all-around athlete. His deep-threat ability has been muted with only a 5.6-yard average depth of target."
CBS_BigBoard_2026,2026-02-26,33,Emmanuel McNeil-Warren,Toledo,S,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,McNeil-Warren is the best box safety in the class. His consistent impact around the line of scrimmage will translate quickly. I love that he's got a knack for forcing fumbles with 11 in his career.,33,McNeil-Warren is the best box safety in the class. His consistent impact around the line of scrimmage will translate quickly. I love that he's got a knack for forcing fumbles with 11 in his career.
CBS_BigBoard_2026,2026-02-26,34,Kayden McDonald,Ohio State,DT,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"McDonald is the best run-stuffer in the class. Whether one-on-one or against double teams, you aren't moving him. You're not getting much as a pass rusher, but he's a sure thing vs. the run.",34,"McDonald is the best run-stuffer in the class. Whether one-on-one or against double teams, you aren't moving him. You're not getting much as a pass rusher, but he's a sure thing vs. the run."
CBS_BigBoard_2026,2026-02-26,35,Omar Cooper Jr.,Indiana,WR,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Cooper continues to create yards after the catch in Indiana's offense. He leads the FBS with 17 broken tackles on 46 catches and has a running back-like build that should translate to the NFL .,35,Cooper continues to create yards after the catch in Indiana's offense. He leads the FBS with 17 broken tackles on 46 catches and has a running back-like build that should translate to the NFL .
CBS_BigBoard_2026,2026-02-26,36,Denzel Boston,Washington,WR,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Boston is a big-bodied outside receiver who can still get down the field. He already has seven deep receptions this season and can win at all three levels.,36,Boston is a big-bodied outside receiver who can still get down the field. He already has seven deep receptions this season and can win at all three levels.
CBS_BigBoard_2026,2026-02-26,37,Michael Trigg,Baylor,TE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Trigg has been the most productive tight end in the country with 40 catches for 607 yards. His highlight reel is absurd, and his catch radius is special with a 7-foot wingspan.",37,"Trigg has been the most productive tight end in the country with 40 catches for 607 yards. His highlight reel is absurd, and his catch radius is special with a 7-foot wingspan."
CBS_BigBoard_2026,2026-02-26,38,Mansoor Delane,LSU,CB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Delane isn't a high-end athlete, but no one is playing the position better right now. He has allowed only eight catches on 25 targets this season.",38,"Delane isn't a high-end athlete, but no one is playing the position better right now. He has allowed only eight catches on 25 targets this season."
CBS_BigBoard_2026,2026-02-26,39,Anthony Hill Jr.,Texas,LB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Hill moves incredibly well for a nearly 240-pound linebacker and has only three missed tackles on 70 attempts this season. There aren't many holes to poke in his game.,39,Hill moves incredibly well for a nearly 240-pound linebacker and has only three missed tackles on 70 attempts this season. There aren't many holes to poke in his game.
CBS_BigBoard_2026,2026-02-26,40,Kade Pieper,Iowa,IOL,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Pieper is almost certain to return to school for a couple reasons. He's only in his first year as a starter, and inexperienced linemen rarely declare early. He's also playing out of position at guard -- his NFL future is at center. Still, he's the most athletic lineman in college football .",40,"Pieper is almost certain to return to school for a couple reasons. He's only in his first year as a starter, and inexperienced linemen rarely declare early. He's also playing out of position at guard -- his NFL future is at center. Still, he's the most athletic lineman in college football ."
CBS_BigBoard_2026,2026-02-26,41,Colton Hood,Tennessee,CB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Even with Jermod McCoy out, the Volunteers have still had a shutdown outside corner. Hood has allowed 17 receptions on 37 targets for 196 yards after transferring from Colorado .",41,"Even with Jermod McCoy out, the Volunteers have still had a shutdown outside corner. Hood has allowed 17 receptions on 37 targets for 196 yards after transferring from Colorado ."
CBS_BigBoard_2026,2026-02-26,42,Quincy Rhodes Jr.,Arkansas,EDGE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Rhodes has been a breakout star for the Razorbacks. The 6-foot-6, 275-pounder has the ideal build to be a versatile NFL weapon. The question is whether he'll declare after just one season as a starter.",42,"Rhodes has been a breakout star for the Razorbacks. The 6-foot-6, 275-pounder has the ideal build to be a versatile NFL weapon. The question is whether he'll declare after just one season as a starter."
CBS_BigBoard_2026,2026-02-26,43,Romello Height,Texas Tech,EDGE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Height may be light and a bit older, but he can rush the passer. He plays such a tenacious brand of football despite being under 240 pounds that I can't help but root for him.",43,"Height may be light and a bit older, but he can rush the passer. He plays such a tenacious brand of football despite being under 240 pounds that I can't help but root for him."
CBS_BigBoard_2026,2026-02-26,44,Ja'Kobi Lane,USC,WR,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Lane has a basketball-type frame and uses it well, especially in the red zone. Seventeen of his 76 career catches have gone for touchdowns.",44,"Lane has a basketball-type frame and uses it well, especially in the red zone. Seventeen of his 76 career catches have gone for touchdowns."
CBS_BigBoard_2026,2026-02-26,45,KC Concepcion,Texas A&M,WR,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Concepcion is a nimble route-runner with elite start-stop quickness. His hands are the concern -- his career drop rate sits at 9.3%.,45,Concepcion is a nimble route-runner with elite start-stop quickness. His hands are the concern -- his career drop rate sits at 9.3%.
CBS_BigBoard_2026,2026-02-26,46,D'Angelo Ponds,Indiana,CB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"I held out waiting for Ponds to get exposed as long as I could before including him in my top-50. That's because 5-foot-9, 173-pound corners aren't supposed to be able to lock down receivers the way he does. He just keeps doing it, though, with only 14 catches allowed on 29 targets for 101 yards this season.",46,"I held out waiting for Ponds to get exposed as long as I could before including him in my top-50. That's because 5-foot-9, 173-pound corners aren't supposed to be able to lock down receivers the way he does. He just keeps doing it, though, with only 14 catches allowed on 29 targets for 101 yards this season."
CBS_BigBoard_2026,2026-02-26,47,Genesis Smith,Arizona,S,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Smith has everything you could want athletically to be a do-it-all safety in the NFL. In his two seasons as a starter, he's been able to consistently get his hands on footballs with nine pass breakups and four picks.",47,"Smith has everything you could want athletically to be a do-it-all safety in the NFL. In his two seasons as a starter, he's been able to consistently get his hands on footballs with nine pass breakups and four picks."
CBS_BigBoard_2026,2026-02-26,48,Parker Brailsford,Alabama,IOL,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Brailsford isn't for every scheme. Gap-heavy teams should look elsewhere, but if you want your center on the move, he's your guy. His ability to locate in space stands out in this class.",48,"Brailsford isn't for every scheme. Gap-heavy teams should look elsewhere, but if you want your center on the move, he's your guy. His ability to locate in space stands out in this class."
CBS_BigBoard_2026,2026-02-26,49,A'Mauri Washington,Oregon,DT,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Washington is a freak athlete at nose tackle, capable of being a weapon on stunts and slants. His ability to get off the football is special for a 330-pounder.",49,"Washington is a freak athlete at nose tackle, capable of being a weapon on stunts and slants. His ability to get off the football is special for a 330-pounder."
CBS_BigBoard_2026,2026-02-26,50,Josiah Trotter,Missouri,LB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"If the last name sounds familiar, it's because he's the son of former All-Pro linebacker Jeremiah Trotter. Unlike his brother Jeremiah, who's in the NFL now, Josiah has much better size to be a highly coveted prospect. He's been outstanding coming downhill this season with a knack for getting into the backfield.",50,"If the last name sounds familiar, it's because he's the son of former All-Pro linebacker Jeremiah Trotter. Unlike his brother Jeremiah, who's in the NFL now, Josiah has much better size to be a highly coveted prospect. He's been outstanding coming downhill this season with a knack for getting into the backfield."
CBS_BigBoard_2026,2026-02-26,51,Christen Miller,Georgia,DT,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Miller is a long defensive tackle who looks like a prototypical 3-4 defensive end. While he's a work in progress as a pass rusher, like many Georgia defensive linemen, he can play the run at a high level already.",51,"Miller is a long defensive tackle who looks like a prototypical 3-4 defensive end. While he's a work in progress as a pass rusher, like many Georgia defensive linemen, he can play the run at a high level already."
CBS_BigBoard_2026,2026-02-26,52,Kenyon Sadiq,Oregon,TE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Sadiq is such an explosive athlete at the tight end position, but he's struggled to develop into an all-around route runner in his first season as a starter. He's still such a good YAC weapon and move blocker to be coveted highly.",52,"Sadiq is such an explosive athlete at the tight end position, but he's struggled to develop into an all-around route runner in his first season as a starter. He's still such a good YAC weapon and move blocker to be coveted highly."
CBS_BigBoard_2026,2026-02-26,53,Mateen Ibirogba,Wake Forest,DT,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,The former Georgetown defender has been one of the breakout prospects of the college football season. He's one of the twitchier defensive tackles in the class and already has 19 pressures for the Demon Deacons.,53,The former Georgetown defender has been one of the breakout prospects of the college football season. He's one of the twitchier defensive tackles in the class and already has 19 pressures for the Demon Deacons.
CBS_BigBoard_2026,2026-02-26,54,Iapani Laloulu,Oregon,IOL,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Watching Laloulu clear out defensive tackles on double-teams is a thing of beauty. He's physical and built low to the earth to generate movement. It's why he's been starting since his freshman year in 2023.,54,Watching Laloulu clear out defensive tackles on double-teams is a thing of beauty. He's physical and built low to the earth to generate movement. It's why he's been starting since his freshman year in 2023.
CBS_BigBoard_2026,2026-02-26,55,Eli Stowers,Vanderbilt,TE,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Stowers has always been a high-end athlete, but he's had to grow into the tight end position. This has been his best season so far, with 38 catches for 543 yards and four scores.",55,"Stowers has always been a high-end athlete, but he's had to grow into the tight end position. This has been his best season so far, with 38 catches for 543 yards and four scores."
CBS_BigBoard_2026,2026-02-26,56,Josh Hoover,TCU,QB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Hoover looks unlikely to declare at this point, but I remain impressed by the NFL-translatable skills he shows on a weekly basis. He just needs to reel himself in from trying to do too much in big situations.",56,"Hoover looks unlikely to declare at this point, but I remain impressed by the NFL-translatable skills he shows on a weekly basis. He just needs to reel himself in from trying to do too much in big situations."
CBS_BigBoard_2026,2026-02-26,57,Keionte Scott,Miami (Fla.),S,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Scott is easily my favorite slot cornerback in the draft class. His short-area quickness and toughness are put on full display every week. If he could just wrap up a little more consistently, he could be a top-50 pick.",57,"Scott is easily my favorite slot cornerback in the draft class. His short-area quickness and toughness are put on full display every week. If he could just wrap up a little more consistently, he could be a top-50 pick."
CBS_BigBoard_2026,2026-02-26,58,Cayden Green,Missouri,IOL,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Green has been wildly impressive kicking out to left tackle this season after starting at left guard his first two years in college. Green has allowed only five pressures on 238 pass-blocking snaps. His home is at guard, though, where his natural power really shines.",58,"Green has been wildly impressive kicking out to left tackle this season after starting at left guard his first two years in college. Green has allowed only five pressures on 238 pass-blocking snaps. His home is at guard, though, where his natural power really shines."
CBS_BigBoard_2026,2026-02-26,59,Eric Rivers,Georgia Tech,WR,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"We got to see more of Rivers' explosiveness last year, but it's not like it's gone away. He's still arguably the most gifted all-around athlete in this receiver class. Rivers just doesn't have the size to be much more than a deep threat.",59,"We got to see more of Rivers' explosiveness last year, but it's not like it's gone away. He's still arguably the most gifted all-around athlete in this receiver class. Rivers just doesn't have the size to be much more than a deep threat."
CBS_BigBoard_2026,2026-02-26,60,A.J. Haulcy,LSU,S,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Haulcy has been another standout transfer in their secondary with two picks and three pass breakups on the season. I love his range at his size (6-foot, 222 pounds). It reminds me a bit of Colts safety Nick Cross.",60,"Haulcy has been another standout transfer in their secondary with two picks and three pass breakups on the season. I love his range at his size (6-foot, 222 pounds). It reminds me a bit of Colts safety Nick Cross."
CBS_BigBoard_2026,2026-02-26,61,John Mateer,Oklahoma,QB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Mateer's stock took a hit as he's tried to play through a thumb injury, but the guy we saw before that looked like a first-rounder. He'll be back with the Sooners next year and should factor into a crowded class.",61,"Mateer's stock took a hit as he's tried to play through a thumb injury, but the guy we saw before that looked like a first-rounder. He'll be back with the Sooners next year and should factor into a crowded class."
CBS_BigBoard_2026,2026-02-26,62,Bear Alexander,Oregon,DT,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Alexander is a well-traveled defensive tackle who's finally showing why he was a composite top-50 recruit in 2022. He's been a terror vs. the run with the highest run-stop percentage in the country among defensive tackles.,62,Alexander is a well-traveled defensive tackle who's finally showing why he was a composite top-50 recruit in 2022. He's been a terror vs. the run with the highest run-stop percentage in the country among defensive tackles.
CBS_BigBoard_2026,2026-02-26,63,Caleb Tiernan,Northwestern,OT,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Tiernan is a four-year starter for the Wildcats and has turned into one of the best pass protectors in the FBS. He's got an odd tackle build in that he's very tall at 6-foot-7 but has relatively short arms. He has swing tackle potential at the next level.,63,Tiernan is a four-year starter for the Wildcats and has turned into one of the best pass protectors in the FBS. He's got an odd tackle build in that he's very tall at 6-foot-7 but has relatively short arms. He has swing tackle potential at the next level.
CBS_BigBoard_2026,2026-02-26,64,Dillon Thieneman,Oregon,S,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Thieneman still needs to get stronger and isn't a sure thing to declare because of that. His ability in coverage is obvious, though, and he could even be a potential corner convert in the NFL.",64,"Thieneman still needs to get stronger and isn't a sure thing to declare because of that. His ability in coverage is obvious, though, and he could even be a potential corner convert in the NFL."
CBS_BigBoard_2026,2026-02-26,65,Caleb Banks,Florida,DT,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,"Banks is a specimen at 6-foot-6, 330 pounds, but we've only seen him for one game this season due to a foot injury. He has top-10 talent but inconsistent tape last year.",65,"Banks is a specimen at 6-foot-6, 330 pounds, but we've only seen him for one game this season due to a foot injury. He has top-10 talent but inconsistent tape last year."
CBS_BigBoard_2026,2026-02-26,66,Brandon Cisse,South Carolina,CB,https://www.cbssports.com/nfl/draft/news/2026-nfl-draft-top-prospects-big-board-rankings/,Cisse has thrived in South Carolina's defense after transferring from N.C. State. He's allowed only 12 catches on 28 targets for 176 yards this season. His ability to close to the catch point will make him in demand come April.,66,Cisse has thrived in South Carolina's defense after transferring from N.C. State. He's allowed only 12 catches on 28 targets for 176 yards this season. His ability to close to the catch point will make him in demand come April.
