player_name,position,school,consensus_rank,contrarian_rank,final_grade,consensus_board_mean_rank,consensus_board_source_count,contrarian_score,diamond_exception_reasons
Keeshawn Silver,DT,USC,253,2,72.72,307.5,2,92.26,dislocation=260.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Isaiah World,OT,Oregon,116,3,78.31,102.33,3,91.79,dislocation=87.3;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Harold Perkins Jr.,LB,LSU,152,4,77.14,127.5,2,91.76,dislocation=109.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Jaydn Ott,RB,Oklahoma,234,6,73.62,255.0,2,90.97,dislocation=191.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Aamil Wagner,OT,Notre Dame,167,7,76.68,159.67,3,90.71,dislocation=115.7;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Austin Barber,OT,Florida,65,8,80.55,107.0,3,90.43,dislocation=80.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Oscar Delp,TE,Georgia,195,9,75.74,146.67,3,90.42,dislocation=105.7;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Miller Moss,QB,Louisville,283,10,70.61,335.0,2,90.36,dislocation=264.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Barion Brown,WR,LSU,259,12,72.55,275.5,2,89.72,dislocation=193.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Tacario Davis,CB,Washington,175,13,76.28,160.33,3,89.65,dislocation=104.3;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Nicholas Singleton,RB,Penn State,113,14,78.44,109.5,2,89.33,dislocation=77.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Le'Veon Moss,RB,Texas A&M,201,15,75.51,192.5,2,89.21,dislocation=126.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Roman Hemby,RB,Indiana,197,18,75.6,195.5,2,88.41,dislocation=122.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Daylen Everette,CB,Georgia,74,28,80.14,101.0,3,87.53,dislocation=53.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Davison Igbinosun,CB,Ohio State,82,30,79.86,105.0,3,87.43,dislocation=54.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Demond Claiborne,RB,Wake Forest,180,34,76.18,151.67,3,87.37,dislocation=84.7;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
