player_name,position,school,consensus_rank,contrarian_rank,final_grade,consensus_board_mean_rank,consensus_board_source_count,contrarian_score,diamond_exception_reasons
Cole Payton,QB,North Dakota State,283,2,72.62,183.5,2,93.08,dislocation=148.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Keeshawn Silver,DT,USC,236,5,74.34,307.5,2,92.26,dislocation=260.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Isaiah World,OT,Oregon,83,6,78.65,102.33,3,91.79,dislocation=87.3;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Harold Perkins Jr.,LB,LSU,76,7,78.91,127.5,2,91.76,dislocation=109.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Bryce Lance,WR,North Dakota State,186,9,76.03,150.0,3,91.22,dislocation=112.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Jalon Kilgore,S,South Carolina,213,10,75.23,122.67,3,91.06,dislocation=96.7;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Jaydn Ott,RB,Oklahoma,237,11,74.26,255.0,2,90.97,dislocation=191.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Aamil Wagner,OT,Notre Dame,148,12,77.05,159.67,3,90.71,dislocation=115.7;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Austin Barber,OT,Florida,159,13,76.85,107.0,3,90.43,dislocation=80.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Miller Moss,QB,Louisville,354,14,69.78,335.0,2,90.36,dislocation=264.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Kendal Daniels,LB,Oklahoma,298,15,72.14,288.0,2,90.05,dislocation=213.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Barion Brown,WR,LSU,293,17,72.23,275.5,2,89.72,dislocation=193.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Tacario Davis,CB,Washington,270,18,73.14,160.33,3,89.65,dislocation=104.3;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Nicholas Singleton,RB,Penn State,62,19,79.43,109.5,2,89.33,dislocation=77.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Le'Veon Moss,RB,Texas A&M,182,20,76.11,192.5,2,89.21,dislocation=126.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Roman Hemby,RB,Indiana,178,23,76.22,195.5,2,88.41,dislocation=122.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Daylen Everette,CB,Georgia,43,33,80.35,101.0,3,87.53,dislocation=53.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Davison Igbinosun,CB,Ohio State,151,35,77.02,105.0,3,87.43,dislocation=54.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Demond Claiborne,RB,Wake Forest,269,39,73.18,151.67,3,87.37,dislocation=84.7;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
