team,position,depth_delta,future_need_1y_delta,future_need_2y_delta,starter_quality_delta,roster_count_delta,transaction_count,event_summary,window_days,source_url
ARI,CB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-13 confirmed Starling Thomas V (Re-signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
ARI,DT,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-11 confirmed Roy Lopez (Signed/unrest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
ARI,EDGE,0.03,0.036,0.016,-0.022,-0.2,2,2026-03-06 confirmed Dalvin Tomlinson (Cut) | 2026-03-10 confirmed L.J. Collier (Re-signed One-year extension (through 2026)),7,https://www.cbssports.com/nfl/transactions/
ARI,OT,-0.18,-0.132,-0.072,0.144,1.2,3,2026-03-12 confirmed Jonah Williams (Signed/unrest FA One-year contract (through 2026)) | 2026-03-12 confirmed Elijah Wilkinson (Signed/unrest FA Two-year contract (through 2027)) | 2026-03-12 confirmed Matt Pryor (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
ARI,QB,0.03,0.036,0.016,-0.022,-0.2,2,2026-03-11 confirmed Kyler Murray (Cut) | 2026-03-12 confirmed Gardner Minshew (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
ARI,RB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Tyler Allgeier (Signed/unrest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
ARI,WR,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-13 confirmed Kendrick Bourne (Signed/unrest FA Two-year contract (through 2027)) | 2026-03-13 confirmed Simi Fehoko (Re-signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
ATL,CB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-09 confirmed Natrone Brooks (Re-signed/excl. FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
ATL,DT,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-12 confirmed LaCale London (Re-signed/unrest FA One-year contract (through 2026)) | 2026-03-13 confirmed Chris Williams (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
ATL,EDGE,-0.18,-0.132,-0.072,0.144,1.2,3,2026-03-09 confirmed Elijah Garcia (Re-signed/excl. FA One-year contract (through 2026)) | 2026-03-12 confirmed Cameron Thomas (Signed/unrest FA One-year contract (through 2026)) | 2026-03-13 confirmed Da'Shawn Hand (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
ATL,LB,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-12 confirmed Christian Harris (Signed/unrest FA One-year contract (through 2026)) | 2026-03-13 confirmed Channing Tindall (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
ATL,QB,0.03,0.036,0.016,-0.022,-0.2,2,2026-03-11 confirmed Kirk Cousins (Cut) | 2026-03-13 confirmed Tua Tagovailoa (Signed One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
ATL,TE,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Austin Hooper (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
ATL,WR,0.12,0.116,0.056,-0.092,-0.8,3,2026-03-09 confirmed Khadarel Hodge (Cut) | 2026-03-09 confirmed Darnell Mooney (Cut) | 2026-03-12 confirmed Jahan Dotson (Signed/unrest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
BAL,CB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Chidobe Awuzie (Re-signed One-year extension (through 2026)),7,https://www.cbssports.com/nfl/transactions/
BAL,EDGE,-0.135,-0.099,-0.054,0.108,0.9,2,2026-03-06 confirmed Maxx Crosby (traded) | 2026-03-12 confirmed Trey Hendrickson (Signed/unrest FA Four-year contract (through 2029)),7,https://www.cbssports.com/nfl/transactions/
BAL,QB,0.03,0.036,0.016,-0.022,-0.2,2,2026-03-09 confirmed Tyler Huntley (Re-signed Two-year extension (through 2027)) | 2026-03-11 confirmed Cooper Rush (Cut),7,https://www.cbssports.com/nfl/transactions/
BAL,S,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Jaylinn Hawkins (Signed/unrest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
BAL,TE,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Durham Smythe (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
BUF,CB,0.03,0.036,0.016,-0.022,-0.2,2,2026-03-06 confirmed Dane Jackson (Cut) | 2026-03-12 confirmed Dee Alford (Signed/unrest FA Three-year contract (through 2028)),7,https://www.cbssports.com/nfl/transactions/
BUF,LB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Bradley Chubb (Signed Three-year contract (through 2028)),7,https://www.cbssports.com/nfl/transactions/
BUF,QB,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-12 confirmed Kyle Allen (Signed/unrest FA Two-year contract (through 2027)),7,https://www.cbssports.com/nfl/transactions/
BUF,S,0.03,0.036,0.016,-0.022,-0.2,2,2026-03-06 confirmed Taylor Rapp (Cut) | 2026-03-13 confirmed Geno Stone (Signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
BUF,TE,-0.06,-0.044,-0.024,0.048,0.4,1,2026-03-10 confirmed Dawson Knox (Re-signed Two-year extension (through 2028)),7,https://www.cbssports.com/nfl/transactions/
BUF,WR,0.18,0.16,0.08,-0.14,-1.2,2,2026-03-06 confirmed Curtis Samuel (Cut) | 2026-03-07 confirmed Amari Cooper (retired),7,https://www.cbssports.com/nfl/transactions/
CAR,CB,-0.12,-0.088,-0.048,0.096,0.8,2,2026-03-09 confirmed Robert Rochell (Re-signed One-year extension (through 2026)) | 2026-03-11 confirmed Akayleb Evans (Re-signed One-year extension (through 2026)),7,https://www.cbssports.com/nfl/transactions/
CAR,DT,0.03,0.036,0.016,-0.022,-0.2,2,2026-03-10 confirmed Popo Aumavae (Cut) | 2026-03-10 confirmed LaBryan Ray (Re-signed One-year extension (through 2026)),7,https://www.cbssports.com/nfl/transactions/
CAR,EDGE,0.03,0.036,0.016,-0.022,-0.2,2,2026-03-10 confirmed A'Shawn Robinson (Cut) | 2026-03-11 confirmed Trevis Gipson (Re-signed One-year extension (through 2026)),7,https://www.cbssports.com/nfl/transactions/
CAR,LB,-0.3,-0.22,-0.12,0.24,2.0,5,2026-03-10 confirmed Isaiah Simmons (Re-signed One-year extension (through 2026)) | 2026-03-10 confirmed Thomas Incoom (Re-signed One-year extension (through 2026)) | 2026-03-12 confirmed Jaelan Phillips (Signed/unrest FA Four-year contract (through 2029)) | 2026-03-12 confirmed Devin Lloyd (Signed/unrest FA Three-year contract (through 2028)) | 2026-03-13 confirmed Claudin Cherelus (Re-signed/unrest FA One-year contract (through 2026)),7,https://www.cbssports.com/nfl/transactions/
